#Frame             d1           d2
       1       2.7510       5.0261
       2       2.7404       4.8388
       3       2.9261       4.7907
       4       2.7650       4.8864
       5       2.6384       4.3941
       6       2.6924       4.2957
       7       2.7865       4.2084
       8       2.8363       5.0950
       9       2.7083       4.3003
      10       2.7717       4.0555
      11       2.7254       4.0470
      12       2.6353       3.6096
      13       2.8623       4.2618
      14       2.7082       3.9922
      15       2.7347       4.1405
      16       2.7847       4.1784
      17       2.7855       4.2459
      18       2.7102       4.7610
      19       2.7911       4.4223
      20       2.7983       4.2192
      21       2.7346       3.8896
      22       2.7950       4.1926
      23       2.8961       3.8918
      24       2.8068       4.2032
      25       2.7445       4.7947
      26       2.8697       4.2784
      27       3.8607       5.1906
      28       5.0695       4.7014
      29       3.6727       4.2815
      30       2.7975       4.4771
      31       2.9235       4.3648
      32       3.0011       5.0537
      33       2.6539       4.6472
      34       2.9115       4.3957
      35       2.9021       4.5243
      36       2.8539       4.3726
      37       2.7614       4.6589
      38       2.7663       4.8545
      39       2.8224       5.1854
      40       2.7520       4.7140
      41       2.8513       5.1311
      42       2.6587       4.5162
      43       2.9020       4.7136
      44       2.7908       4.8237
      45       2.7649       4.9538
      46       2.7134       4.6953
      47       2.7985       5.9671
      48       2.7929       5.6846
      49       2.7896       5.1744
      50       2.7303       5.8596
      51       2.7920       6.4387
      52       3.0481       6.4610
      53       2.7797       6.2872
      54       2.8979       6.0879
      55       2.8565       5.7500
      56       2.8337       6.2212
      57       2.8410       5.7503
      58       2.7112       5.7844
      59       2.6143       5.3478
      60       2.7300       5.3189
      61       2.9327       5.6242
      62       2.6932       5.5610
      63       2.7527       6.3955
      64       2.8045       5.1121
      65       2.6610       5.1701
      66       2.8668       5.2993
      67       2.8487       6.0639
      68       2.8205       5.8907
      69       2.7809       5.7788
      70       2.8293       5.5117
      71       2.7913       5.5338
      72       2.8679       5.1498
      73       2.8448       7.6013
      74       2.9123       6.4379
      75       2.8404       7.1448
      76       2.7529       5.9365
      77       2.8197       6.2970
      78       2.7531       7.3318
      79       3.1155       7.3453
      80       2.8413       6.6432
      81       2.8940       8.1601
      82       4.2106       7.3040
      83       4.4708       6.9943
      84       3.8054       8.3468
      85       6.0148       8.2923
      86       3.6465       7.7329
      87       4.3558       8.8566
      88       4.1958       7.9468
      89       4.8382       8.1727
      90       2.6015       8.4746
      91       4.6566       8.7138
      92       5.0583       9.5212
      93       4.6799       7.8660
      94       4.7661       8.7945
      95       5.1910       6.8943
      96       5.0354       7.7916
      97       5.3125       7.9529
      98       4.7347      10.1240
      99       5.4550       9.2773
     100       4.4812       7.4138
     101       4.3119       7.7508
     102       4.3353       8.3398
     103       4.9584       9.3132
     104       5.0316       6.9935
     105       6.1450       6.6059
     106       8.2505       7.5036
     107       7.7593       6.4391
     108       8.0521       7.0135
     109       8.4579       5.6795
     110       8.3083       6.6380
     111       8.4483       7.1478
     112       7.1308       6.5324
     113       8.0369       6.2089
     114       6.9207       6.3999
     115       5.3066       6.6155
     116       5.1190       5.9568
     117       5.7000       5.1022
     118       5.0271       5.6106
     119       4.8158       5.8677
     120       5.1640       6.2425
     121       5.9417       6.7873
