#Frame             d1           d2
       1       3.1774       4.4898
       2       2.6793       4.8244
       3       2.8063       4.2674
       4       2.8252       4.1756
       5       2.8672       4.1435
       6       2.9676       4.2001
       7       2.6548       5.4940
       8       2.6515       4.9766
       9       2.8575       4.4368
      10       2.8341       4.4463
      11       2.7765       4.2338
      12       2.7048       3.9611
      13       2.8821       4.4794
      14       2.9574       4.2132
      15       2.8930       3.9941
      16       3.0094       4.0621
      17       2.7164       5.2081
      18       3.0583       4.5457
      19       3.9622       4.1287
      20       3.4389       4.1005
      21       2.9541       4.3913
      22       2.8313       4.8913
      23       3.0331       4.3357
      24       2.7894       4.5580
      25       2.9522       4.1882
      26       2.7193       4.4834
      27       2.8896       4.3727
      28       2.8701       5.0318
      29       2.6752       4.2494
      30       2.6368       4.8566
      31       3.0705       4.1087
      32       3.1170       4.4838
      33       2.8769       4.9408
      34       2.9003       4.7879
      35       2.8043       4.4980
      36       2.8271       3.9381
      37       3.0413       4.3110
      38       2.7640       4.0579
      39       3.2052       4.1410
      40       3.3953       3.8554
      41       2.9595       3.7881
      42       3.3002       4.8545
      43       2.8880       3.9623
      44       2.7304       4.9211
      45       2.7894       4.6440
      46       2.9157       4.9750
      47       2.8011       5.0169
      48       3.2870       4.7308
      49       2.9819       4.0435
      50       2.7920       3.9302
      51       2.8845       5.6708
      52       3.0210       5.0863
      53       3.0059       3.9079
      54       2.6711       4.2037
      55       2.7520       3.8792
      56       2.9026       4.4659
      57       2.9995       4.1783
      58       2.9939       4.4000
      59       2.9722       4.4955
      60       2.8298       4.8282
      61       3.0113       4.4237
      62       2.8125       4.7744
      63       3.2874       4.7042
      64       3.0637       3.9652
      65       2.9951       4.5352
      66       3.1865       4.3811
      67       3.3072       4.6220
      68       3.1086       5.6495
      69       2.7717       5.3610
      70       2.8924       6.6088
      71       3.0238       5.4671
      72       2.7474       4.4820
      73       2.9173       4.4965
      74       3.6157       3.8635
      75       2.8656       4.7448
      76       2.9186       4.9995
      77       2.8728       4.5508
      78       2.7823       4.9496
      79       2.8321       5.4276
      80       3.0311       5.1077
      81       2.8545       5.4309
      82       2.8891       5.5144
      83       2.7859       5.2156
      84       2.7716       4.5742
      85       2.8681       4.0821
      86       2.8093       4.0299
      87       2.8464       4.6696
      88       2.8872       5.9157
      89       2.6884       5.1723
      90       2.8989       4.5082
      91       2.8855       4.8621
      92       2.7717       4.4975
      93       2.7819       4.5997
      94       2.7382       4.2318
      95       2.7111       4.1269
      96       2.7052       4.3486
      97       3.0555       4.4055
      98       2.8540       4.7197
      99       2.7533       5.1619
     100       2.8751       4.8350
     101       2.8679       4.5507
     102       2.7479       5.3735
     103       2.7637       4.1793
     104       3.8487       4.9031
     105       2.8901       4.5885
     106       3.1033       5.2231
     107       3.0386       4.2536
     108       2.9502       4.9252
     109       2.9266       5.4686
     110       2.6657       5.4405
     111       2.6884       5.0299
     112       2.9167       5.3496
