#Frame             d1           d2
       1       2.7060       5.4216
       2       2.7475       6.9736
       3       2.7035       6.2205
       4       2.7143       7.1249
       5       3.5139       8.4393
       6       2.7787       6.4934
       7       2.6711       5.3489
       8       2.7831       6.1436
       9       2.8975       6.1834
      10       3.0645       6.3507
      11       5.7028       7.5170
      12       5.5576       6.4496
      13       5.9157       7.2979
      14       6.1896       8.1261
      15       7.1854       8.1300
      16       8.1925       8.6605
      17       6.5174       8.1379
      18       5.6790       7.0445
      19       5.8429       7.5391
      20       5.3800       9.2108
      21       5.3605       8.0803
      22       6.8239       8.0062
      23       6.6478       7.6672
      24       5.8724       7.8988
      25       7.2865       6.8117
      26       6.4922       5.6090
      27       5.9000       4.8664
      28       5.4045       5.0550
      29       4.1586       5.2668
      30       6.2210       6.3767
      31       5.9749       5.8532
      32       5.7770       5.9597
      33       6.6440       5.4630
      34       6.8478       5.4501
      35       5.8900       5.6454
      36       5.3035       7.6215
      37       5.6613       6.2318
      38       4.1329       5.4978
      39       4.7935       5.2328
      40       4.9824       4.3971
      41       5.3379       5.4746
      42       5.4712       6.1779
      43       5.1599       5.0601
      44       3.3598       5.5844
      45       5.8301       6.0255
      46       6.5725       5.3685
      47       7.3342       6.3096
      48       6.0448       6.2303
      49       6.0424       4.8293
      50       4.2732       4.9701
      51       4.1096       4.9402
      52       4.3894       5.7469
      53       5.3700       4.9964
      54       6.2390       4.4513
      55       6.5936       4.6402
      56       4.9596       6.2801
      57       5.7107       6.5247
      58       6.2645       5.4378
      59       6.8013       5.8750
      60       6.6761       5.0692
      61       4.7447       4.6300
      62       6.9954       5.0707
      63       7.6000       4.4999
      64       7.5045       4.8261
      65       6.5129       4.5354
      66       6.6569       4.8593
      67       6.8346       5.0919
      68       8.1226       5.2552
      69       7.4679       6.2363
      70       8.1440       5.6239
      71       8.7556       6.5464
      72       9.4570       6.1885
      73       9.1490       6.4307
      74       9.3279       6.0888
      75      10.6254       5.8800
      76       9.1540       6.1379
      77       8.3784       6.3493
      78       8.9007       6.2676
      79       8.9206       6.9357
      80       7.7188       6.7102
      81       9.5223       6.5785
      82       9.5563       5.9801
      83      10.1128       6.2046
      84      10.1854       6.2097
      85      11.0667       5.9635
      86      10.1258       5.4706
      87      10.5037       5.9846
      88       9.3777       5.8505
      89      10.8440       6.1878
      90      11.9883       5.5752
      91      10.3815       4.5250
      92      11.4082       5.2946
      93      10.2072       5.4386
      94       9.8923       4.9488
      95      11.9239       5.6444
      96      12.1309       6.2100
      97      11.0285       5.8524
      98      10.7917       4.9885
      99      11.7942       4.3864
     100      12.7866       5.8570
     101      12.8717       4.8402
     102      13.9741       4.2871
     103      11.7707       5.3672
     104      11.5729       5.1827
     105      12.3554       5.9813
     106      12.4805       5.2253
     107      13.3345       5.1855
     108      13.2735       5.9576
     109      13.1694       5.3971
     110      11.6692       5.9925
     111      11.8930       5.4671
     112      11.3852       5.5919
     113      11.8275       5.1291
     114      11.4034       4.1787
     115      10.8934       5.2380
     116      11.2707       5.1864
     117      11.5795       4.8525
     118      12.0693       5.6583
     119      11.5346       5.2050
     120      11.3926       5.3006
     121      12.6444       5.5785
     122      12.9969       5.3907
     123      13.4249       5.3165
     124      13.3716       4.2130
     125      10.9468       4.2778
     126      10.8363       3.9870
     127      10.4859       4.6947
     128      10.3968       4.7130
     129      10.6775       4.6937
     130      10.2407       4.4186
     131      10.8383       3.8328
     132      11.0007       3.7372
     133      12.9283       5.4578
     134      13.0997       3.7626
     135      12.4352       4.9870
     136      10.7338       4.2245
     137      10.3869       4.4900
     138      11.7827       4.9893
     139      11.1638       4.6342
