#Frame             d1           d2
       1       5.3345       6.0364
       2       5.0239       5.5897
       3       5.6299       6.3768
       4       5.0728       5.6874
       5       5.6649       5.2556
       6       7.7826       6.5706
       7       7.5370       7.2292
       8       7.1327       5.8281
       9       4.3435       5.9678
      10       5.0397       6.4654
      11       4.9897       7.2167
      12       4.7708       7.2663
      13       5.8168       6.5320
      14       5.7776       6.2635
      15       4.7119       5.9791
      16       6.9802       7.2324
      17       5.1369       7.6906
      18       4.9699       7.6446
      19       5.7868       5.5766
      20       5.2735       5.7358
      21       4.9523       3.9051
      22       5.3478       4.4599
      23       5.3747       5.0384
      24       5.3953       4.6754
      25       5.3592       4.5946
      26       5.1162       4.2829
      27       4.9757       4.3361
      28       5.3491       4.8201
      29       5.1886       4.8966
      30       5.4816       5.3124
      31       5.0934       5.3364
      32       5.0656       5.2728
      33       4.3043       6.0385
      34       5.0300       4.9793
      35       5.6861       4.7496
      36       5.3968       4.9380
      37       5.7668       6.9658
      38       5.7536       6.8828
      39       6.3243       5.7724
      40       5.7545       5.3803
      41       6.0039       5.1128
      42       5.2592       4.7362
      43       8.2002       4.4690
      44       7.9574       5.2417
      45       5.9038       5.4032
      46       4.5947       4.5667
      47       5.3003       4.7254
      48       6.6055       4.7019
      49       5.5274       5.2877
      50       5.1362       4.2324
      51       5.2277       4.3283
      52       4.7564       4.3263
      53       4.6193       3.7353
      54       4.3705       4.1614
      55       4.8880       3.9298
      56       6.2403       4.5941
      57       6.5639       4.1779
      58       5.5490       4.2994
      59       6.8976       4.1607
      60       6.8336       4.8950
      61       6.5677       4.5266
      62       7.0037       4.2074
      63       7.9605       3.8008
      64       7.6754       4.2255
      65       6.0447       5.0926
      66       7.3680       5.2615
      67       7.6917       3.9753
      68       8.7784       4.2053
      69       7.7578       4.4217
      70       7.0460       4.3453
      71       6.7026       4.0329
      72       7.4732       3.4122
      73       7.5427       3.9622
      74       7.7498       4.5268
      75       7.1867       3.9618
      76       7.8042       3.6720
      77       8.0808       4.9505
