#Frame           phi1         psi1
       1    -140.3857      90.7119
       2    -127.1059     117.3676
       3    -118.1588      72.8417
       4    -146.4912      85.6422
       5    -146.6091      89.3879
       6    -139.6269     115.4262
       7    -133.6504     102.5129
       8    -141.0530     103.1138
       9    -133.7407      79.6672
      10    -121.0596      89.0946
      11    -132.7834      68.8926
      12    -154.3367      77.2982
      13     -99.0626      73.5567
      14    -151.9871      81.8729
      15     -86.0917      78.8616
      16    -101.4465     110.1753
      17    -142.6908      94.1229
      18    -124.2494      71.3838
      19    -132.3713      71.1772
      20    -145.6613      98.4642
      21    -109.9431     108.2405
      22    -129.2937     117.6647
      23    -126.7498     132.6382
      24    -127.1860     137.6823
      25     -94.3689     122.5861
      26     -83.3811      95.0302
      27     -89.1982     114.2180
      28     -80.2986      90.5630
      29    -118.7528     120.9111
      30     -71.3123      87.9772
      31     -74.5527     119.2240
      32     -69.9352     108.5518
      33     -79.4817      76.2557
      34     -96.3494     125.7717
      35     -80.5139      85.7789
      36     -84.9207     120.9848
      37     -70.1498      97.6823
      38     -68.6682     148.7611
      39     -58.6826     141.0113
      40    -103.8259     136.2830
      41    -106.9702     139.7047
      42     -95.8159     138.9473
      43    -144.0515     151.5674
      44     -92.0269     159.6158
      45    -142.1598     161.7549
      46    -115.3546     177.5271
      47    -112.6862     164.4514
      48    -120.3273     165.4959
      49     -90.9609    -178.1634
      50     -91.7769     153.5241
      51    -121.1193     153.8430
      52     -81.2797     166.6270
      53     -88.4513     160.2469
      54     -82.7786     157.0073
      55     -84.4691     171.9664
      56     -84.6202     155.6622
      57    -111.5299     154.2227
      58     -76.8895     155.2296
      59    -100.2469     176.1304
      60     -94.1592     172.3673
      61    -114.6857     156.8665
      62    -103.0011     150.2398
      63    -116.2181     131.4494
      64    -131.4498     129.0573
      65     -82.5704     121.2133
      66    -109.4309     104.5487
      67     -73.8398     151.1190
      68     -92.8593     139.2874
      69    -103.1213     155.7088
      70     -74.1532     132.4307
      71     -87.0851     158.9628
      72     -98.2126     131.0919
      73    -111.2474     141.0790
      74    -127.9877     111.5018
      75     -91.7538     166.9668
      76    -124.4735     134.9041
      77    -127.7552     144.8458
      78    -118.8716     137.3151
      79    -106.5270     114.9165
      80     -99.5167     167.2178
      81    -107.2947     163.2998
      82    -127.2825     155.5442
      83     -82.8005     156.7011
      84     -65.7954     149.7450
      85     -55.1024     132.1077
      86     -76.6643     140.4087
      87    -100.5516     151.0718
      88     -81.8792     145.6886
      89    -114.7705     119.7352
      90     -97.0254     132.6589
      91    -105.9600     118.9044
      92    -114.1427     150.2419
      93     -82.7538     116.9843
      94    -124.5667     131.8296
      95    -148.4242     143.9947
      96    -116.6018     163.0932
      97    -126.9479     139.3296
      98    -127.8368     138.5945
      99    -116.6116     144.6876
     100     -92.2691     140.6337
     101     -84.5140     154.4142
     102     -76.6864     135.1581
     103     -82.2255     121.3900
     104     -84.2460     112.3072
     105    -100.6728     141.3741
     106     -65.5490     143.4777
     107     -88.3964     129.6168
     108     -87.8916     119.3272
     109     -91.6004     127.8446
     110     -81.1331     110.8694
     111     -72.6443      49.8543
     112     -97.2253      80.1850
     113    -114.9205     141.9535
     114    -125.1159     103.2507
     115    -121.7214     108.6722
     116    -103.3317      99.9219
     117     -96.8055     108.1791
     118    -106.2574     109.1289
     119     -95.6886      87.7048
     120    -103.1391     108.3970
     121    -101.0045     117.0071
     122    -118.4712      51.5227
     123    -133.5523      12.8233
     124    -116.4545      36.8038
     125     -98.9967     111.7591
     126    -106.6118     115.6619
     127    -109.2032     114.5038
     128    -112.0532     156.2425
     129    -109.8786     153.7863
     130    -122.1062     101.5868
     131    -111.6859     104.1095
     132     -78.0000     133.4177
     133    -102.2287     108.3370
     134    -108.7902     115.5676
     135     -98.3322     127.2260
     136    -114.9243     139.6646
     137     -82.8438      75.2469
     138     -95.7680     105.7724
     139    -105.1225     141.1339
     140     -82.0757     157.4344
     141     -71.0693     160.2944
     142    -108.6131     167.1084
     143    -126.4543     158.5635
     144    -120.7892     151.6026
     145    -151.1408    -175.2925
     146    -150.9106     163.5811
     147    -153.0954     156.8145
     148    -143.2030     146.3244
     149    -140.2056     167.4702
     150    -148.9603     169.7704
     151    -146.7212     155.5973
     152    -127.4589     139.1827
     153     -73.0313     137.6208
     154     -79.5053     152.5018
     155     -92.8027     160.5619
