#Frame           phi1         psi1
       1    -107.8729      92.0953
       2     -84.4862     104.8262
       3     -73.9272     114.1099
       4     -81.9719     109.2203
       5     -99.2403     113.6737
       6    -120.8071      92.5177
       7    -111.7782      97.2755
       8     -94.3907     109.5056
       9    -104.6250     100.3798
      10     -91.2646     108.6094
      11    -120.3302     109.7515
      12    -107.7957      95.7615
      13    -124.6682      77.3828
      14    -125.0815      78.0902
      15    -135.8071     105.1398
      16    -139.9011      81.3075
      17    -147.1004      93.4887
      18    -140.9455      86.0786
      19    -104.5797      87.0893
      20    -106.1776     101.3461
      21    -111.9264      86.8806
      22     -98.3920     108.6636
      23     -68.1170     111.6393
      24      27.8544      78.7628
      25      34.2277      62.0785
      26      46.3157      76.7640
      27      19.9429      73.6753
      28      30.4356      71.4354
      29      34.8315      61.0760
      30      27.3523      72.1125
      31      43.2792      77.7064
      32      20.4986      85.6653
      33      24.7769      73.9840
      34      44.4064      62.4155
      35      29.5517      75.5882
      36      22.5806      74.7116
      37      22.1986      71.8048
      38      11.9201      73.7012
      39      20.2935      73.5900
      40      35.2160      75.7513
      41      34.5267      62.7932
      42      24.3521      71.0396
      43      12.1940      83.0346
      44      25.0433      81.3288
      45      33.7080      72.7511
      46      31.3080      65.5697
      47      11.1013      78.0922
      48      34.1380      64.6341
      49      31.9622      61.5791
      50      -4.5685      91.5024
      51      24.2000      69.4509
      52      27.0667      59.0548
      53      40.7605      65.7273
      54      38.2266      69.9371
      55      16.5682      84.0164
      56      -1.3121      83.2711
      57      37.4205      70.7290
      58       9.0402      80.2772
      59      40.1800      62.1904
      60      21.9131      72.3243
      61      18.6065      84.0170
      62      34.7292      74.4972
      63      34.0597      67.2466
      64      33.0281      72.6700
      65      17.5844      79.5354
      66      25.6977      62.7533
      67      45.7833      61.4015
      68      25.4628      66.4131
      69      12.1483      86.9348
      70      43.1671      64.3207
      71      42.3030      60.7637
      72      25.2614      83.6337
      73      20.9227      72.8021
      74      44.7422      57.7344
      75      36.0533      65.0583
      76      27.1648      73.4117
      77      40.9566      62.5761
      78      14.9682      80.8581
      79      20.1921      82.0829
      80      29.7482      71.9325
      81      29.6888      77.5693
      82      31.9287      74.5845
      83      -5.0344      89.4682
      84      18.1842      75.7708
      85      15.5976      86.5289
      86      46.3899      63.3269
      87      30.0312      64.7487
      88      20.2645      69.0436
      89      41.7015      50.3486
      90      38.9324      69.4757
      91      28.8126      88.8877
      92      32.9391      62.7946
      93      40.6356      71.2869
      94      46.5228      71.5959
      95       8.0929      77.9635
      96       9.6164      70.2304
      97      42.2027      68.3818
      98      25.9790      80.4050
      99      46.9566      70.3509
     100      22.6665      81.7056
     101      31.3258      63.4654
     102      33.3504      65.0404
     103      38.1414      65.7961
     104      44.2922      73.8915
     105      28.3164      65.0294
     106       9.5597      75.8203
     107      46.9010      66.6699
     108       9.2887      69.0887
     109      52.1530      63.4053
     110      26.3662      76.7981
     111      21.4497      73.2104
     112      52.2802      70.3407
     113      27.1073      63.9389
     114      35.9438      51.9542
     115      23.9052      80.0786
     116      51.9812      73.2963
     117      40.0044      66.7842
     118      21.1399      79.5970
     119      26.0406      73.9216
     120      39.0874      65.0505
     121      26.1294      72.4973
     122      29.1116      83.9880
     123      34.1084      68.9767
     124      41.3617      71.7307
     125      11.5546      74.3185
     126      31.0521      78.1065
     127      39.2904      78.5924
     128      25.9083      83.3152
     129      30.2901      78.1385
     130      39.1773      72.9789
     131      17.9282      77.8182
     132      35.6626      65.5214
     133      26.9117      72.6469
     134      -6.0958      92.8753
     135      35.3142      72.6336
     136       8.9789      75.6042
     137      41.2511      70.8042
     138      34.1502      70.6926
     139      31.5379      53.0447
     140      32.6437      66.5212
     141      43.3185      82.3424
     142      41.4555      61.3855
     143      26.2407      71.8278
     144      40.3515      77.5838
     145      29.2709      79.6471
     146      50.1848      75.2425
     147      41.1872      57.2767
     148      33.5727      63.3483
     149      35.8430      63.2765
     150      41.9170      54.6434
     151      44.3670      52.7056
     152      34.9676      59.1942
     153      27.7972      65.5142
     154      21.7368      73.0088
     155      34.4540      64.9499
     156      14.4645      72.7834
     157      18.2296      71.5958
     158      35.0612      66.8389
     159      43.7370      67.0790
     160      54.8628      79.9074
     161      42.2850      83.0918
     162      44.0115      62.0930
     163      49.7612      56.6141
     164      27.6129      63.2502
     165      41.1118      62.4166
     166      44.0221      66.2990
     167      40.8927      57.8734
     168      54.1041      52.9271
     169      51.5344      60.7131
     170      37.6449      75.1729
     171      39.7940      73.8949
     172      50.4445      54.9881
     173      43.7254      65.9091
     174      35.3558      80.4361
     175      26.5295      62.1111
     176      20.0755      67.5873
     177      34.6685      73.0210
     178      51.2186      80.0933
     179      47.8639      65.7097
     180      36.3914      63.7482
     181      34.2410      89.3870
     182      17.5024      77.8686
     183      27.1751      79.5554
     184      42.5618      68.9721
     185      46.8025      85.0323
     186      56.2418      80.5475
     187      48.5772      81.6863
     188      26.6459      86.3741
     189      31.0680      70.9808
     190       7.7483      89.0127
     191      38.3118      68.0123
     192      40.3721      70.7643
     193      31.8278      59.6023
     194      53.1256      83.0126
     195      31.7120      81.1719
     196      37.6419      76.7301
     197      30.8871      78.4037
     198      33.8696      82.1064
     199      40.1107      69.6639
     200      57.0417      63.7646
     201      48.5261      69.7269
     202      48.9181      59.3812
     203      44.4191      77.5336
     204      40.8955      81.0675
     205      45.8696      52.9539
     206      51.4288      64.8731
     207      37.4115      69.1394
     208      46.4477      65.2835
     209      48.3723      64.4930
     210      40.8522      65.5900
     211      52.9969      73.2083
     212      33.6022      78.7652
     213      29.6012      92.9596
     214      49.8991      68.1827
     215      56.6860      65.5419
     216      25.8141      81.1146
     217      35.1709      67.6918
     218      55.8556      52.9292
     219       9.4566      88.2398
     220      29.3887      71.4690
     221      -0.5893      82.1713
     222      11.9281      77.6507
     223      27.3349      67.5107
     224      45.8613      68.8142
     225      52.6267      75.4688
     226      37.5517      66.8375
     227      51.2335      82.6860
     228      41.4701      70.0809
     229      37.6287      75.6338
     230      25.3516      81.5761
     231      32.2084      76.9441
     232      29.3211      57.4046
     233      41.4309      65.3565
     234      47.2136      69.6990
     235      40.7190      78.7176
     236      30.2892      70.1730
     237      49.8017      50.4896
     238      36.2404      77.4176
     239      47.5459      85.3507
     240      50.0599      70.1015
     241      45.2609      63.0584
     242      55.2958      70.2469
     243      40.7249      89.5612
     244      12.0928      87.4470
     245      31.6659      59.3478
     246      42.4153      68.6237
     247      32.9492      70.5245
     248      38.7975      80.6935
     249      46.3514      62.8249
     250      15.8125      80.3050
     251      35.5562      70.3874
     252      13.9515      93.3294
     253      24.7953      80.4456
     254      42.0987      95.4867
     255      33.8554      91.7369
     256      18.8684      84.3728
     257      46.4969      77.8037
     258      27.8030      85.0947
     259      41.6154      80.8215
     260      35.2550      63.6956
     261      29.8812      74.0502
     262    -102.8941     113.4719
     263    -113.0181     111.9453
     264    -130.1580      98.0493
     265    -109.5609      97.7076
     266     -83.2251     120.5738
     267     -59.3267     118.9917
     268     -78.3811     125.3269
     269    -117.2536     105.2269
     270    -115.5804     116.7409
     271     -93.1688     109.2806
     272    -105.0791      93.3056
     273     -85.1847     112.6994
     274    -116.4234      91.8331
     275    -101.5185     114.0586
     276    -106.5241     110.0495
     277     -93.0980     125.5259
     278    -111.6358     100.5386
     279    -124.9949      88.5366
     280     -84.5665     120.3274
     281     -84.4159     122.1626
     282     -68.9078     114.9850
     283     -91.1292     111.6689
     284     -99.5375     103.6572
     285     -80.8761     113.4464
     286    -128.2153     125.2054
     287    -111.2316     102.1498
     288    -126.0488      87.6670
     289    -127.8110      82.3650
     290    -122.5025      95.2772
     291    -108.5321      92.7973
     292    -123.3394      71.2660
     293    -136.5998      80.6261
     294    -129.2320      95.2311
     295    -127.8176      85.5968
     296     -87.5901     111.1010
     297    -144.5983     108.6764
     298    -127.7530      85.4988
     299    -142.2911      87.2019
     300    -142.8757      71.1134
     301    -111.9236      78.0889
     302    -129.4068      81.8398
     303    -109.2728      71.2551
     304    -154.1660      64.4033
     305    -117.8413      62.8021
     306    -144.2287      69.2798
     307    -123.5130      65.9471
     308    -127.1052      79.8432
     309    -136.2282      68.4746
     310    -139.6544      78.6302
     311    -122.2929     123.5139
     312    -112.2521     110.6795
     313    -138.7016     118.4184
     314    -126.0340      87.2449
     315    -123.9590      68.0612
     316    -117.6910      67.9251
     317    -110.7518      61.0554
     318    -128.7614      68.6692
     319    -104.6390      83.7059
     320    -106.9571      79.4903
     321    -123.8572      69.6016
     322    -113.5507      71.5810
     323    -129.3303      72.5931
     324    -112.7727      60.4146
     325    -103.9193      95.4004
     326    -102.9445      76.2353
     327    -114.6234      61.4506
     328    -110.1526      84.4125
     329    -110.5166      52.8291
     330    -100.6851      92.3655
     331    -118.3540      66.5836
     332    -123.8201      71.5380
     333    -111.3559      75.8518
     334    -112.4748      84.7251
     335    -128.0015      47.9158
     336    -129.0784      86.0450
     337    -103.1368      87.2554
     338    -125.7273      62.5211
     339    -119.3422      94.8612
     340    -101.2117      84.3833
     341    -107.2656      94.0954
     342    -131.3058      56.4279
     343    -118.8718      89.9396
     344    -124.9480      57.0281
     345    -116.1148      65.2411
     346    -118.4527      70.9489
     347    -113.0857      65.5901
     348    -122.1094      85.0002
     349     -98.0551     106.8543
     350    -122.0560     122.0105
     351    -104.9734     107.1419
     352     -92.4045     104.5389
     353    -117.6924     113.0143
     354    -111.7565     118.3158
     355     -67.2338     118.2886
     356    -129.5137     132.6475
     357    -100.4487     112.3768
     358     -96.4663     106.5177
     359    -136.9280     151.6546
     360    -113.0180     143.0887
     361    -145.8629     139.0188
     362    -134.1478     148.0352
     363     -89.2069     125.6090
     364    -116.2068     129.5540
     365    -123.1438     130.3890
     366    -148.1842     129.0034
     367    -102.7037     141.8421
     368    -115.2629     141.8233
     369    -129.2107     139.4210
     370    -149.7665     151.3941
     371    -137.2573     133.7208
     372     -74.3989     151.6678
     373    -131.2130     151.4243
     374     -58.7895     132.1949
     375     -87.0376     144.3569
     376    -148.3535     138.1942
     377    -132.0406     147.1669
     378     -77.1892     140.6556
     379    -147.1184     136.8789
     380    -139.3621     145.8084
     381    -127.8095     138.0360
     382    -151.0743     150.7973
     383    -148.6704     112.7178
     384    -128.4109     151.6079
     385     -89.1137     140.6747
     386    -110.8062     139.5594
     387    -120.7022     128.2288
     388     -90.5029     125.3233
     389    -121.9773     151.6696
     390     -98.5832     154.8537
     391    -109.6727     141.6299
     392     -74.6965     122.5459
     393     -90.8155     134.4056
     394     -83.3795     159.1349
     395     -82.5949     148.2498
     396     -71.4994     121.7332
     397     -82.5981     131.9771
     398     -70.2014     144.4805
     399     -63.2397     122.6768
     400     -71.4468     141.3684
     401     -89.1745     140.2931
     402     -84.7593     146.0134
     403     -62.6963     143.5170
     404    -112.5965     137.9174
     405     -84.7963     150.1199
     406     -85.8965     146.9279
     407     -82.3828     129.9095
     408    -144.3757     151.4237
     409    -130.3216     151.1900
     410     -76.0120     119.3723
     411     -71.6199     154.2560
     412     -87.3971     149.3913
     413     -96.7994     132.1023
     414     -55.6994     118.6417
     415    -119.9715     135.5566
     416     -83.9065     156.7691
     417     -65.0019     147.4646
     418     -74.9137     150.7149
     419     -99.4086     146.8895
     420    -114.8286     158.2301
     421    -139.1857     153.8642
     422    -103.3430     163.6177
     423     -90.3195     157.8048
     424    -103.2382     152.1193
     425     -92.9836     152.7474
     426     -64.8814     156.8403
     427     -57.2489     148.7298
     428    -128.2504     156.9460
     429     -77.3816     149.2218
     430     -92.1373     160.6478
     431    -127.2236     144.5549
     432    -148.9159     138.5959
     433    -146.1674     144.0552
     434    -138.5523     157.9148
     435    -129.3818     147.4077
     436     -91.8067     162.6653
     437    -123.8843     163.2505
     438    -101.4587     151.5056
     439    -101.5324     142.2134
     440     -95.8582     150.8396
     441     -88.5374     147.9191
     442     -77.6979     151.8300
     443     -78.8626     163.5379
     444    -150.9908     157.7005
     445    -131.4762     152.2723
     446    -136.7038     156.4044
     447    -146.9482     158.7938
     448    -121.2606     147.2309
     449    -112.3535     153.2933
     450    -148.0341     145.7213
     451    -131.7080     147.3440
     452    -118.9194     170.0749
     453    -138.7520     147.1998
     454    -153.3741     150.4171
     455    -149.4507     157.7622
     456    -142.0790     148.3970
     457    -106.4974     151.8929
     458    -125.1432     157.1232
     459    -125.8162     160.8903
     460    -100.3603     152.1451
     461     -68.7035     159.4157
     462     -99.8889     156.7463
     463    -139.6402     160.0321
     464     -87.6496     148.9320
     465     -96.6078     136.5257
     466     -55.5640     133.0062
     467     -83.0383     143.7275
     468    -132.1600     137.1117
     469    -144.9151     146.9624
     470    -127.2743     138.6261
     471    -143.6711     147.1199
     472    -109.9887     126.0832
     473    -140.1188     150.7795
     474    -147.1133     135.8685
     475    -152.9346     142.8640
     476    -147.4975     160.2178
     477    -132.3054     144.7503
     478     -91.7317     155.1156
     479     -99.3527     149.6340
     480    -115.0576     149.9909
     481     -94.2129     171.5595
     482    -117.6113     142.0412
     483    -110.7020     169.4924
     484     -84.9512     157.7016
     485     -53.9203     153.4188
     486    -113.1269     151.2324
     487     -92.3991     151.7583
     488    -142.9983     151.3567
     489    -144.4852     152.5379
     490    -144.7270     154.9221
     491    -137.6607     159.3467
     492    -120.8752     148.7790
     493     -86.5372     136.4758
     494     -89.8042     144.2482
     495    -108.6547     161.7999
     496    -132.9827     140.3352
     497    -142.8075     138.4717
     498    -159.3452     150.8863
     499    -127.7568     148.6686
     500    -128.4615     144.3228
     501    -143.8586     145.5165
     502     -71.3821     131.2563
     503    -126.4355     145.1260
     504    -155.2905     140.7481
     505    -142.0664     141.5529
     506    -133.6483     142.1731
     507    -150.4354     151.5135
     508    -132.1032     134.5144
     509    -149.8932     141.9624
     510    -141.5967     136.1787
     511    -135.6456     141.6373
     512    -129.6770     139.9403
     513    -154.8843     142.7595
     514    -147.8674     142.3699
     515    -137.2760     137.2225
     516    -132.8562     144.0619
     517    -140.8854     149.7228
     518    -112.4157     158.4967
     519    -112.1371     154.0371
     520    -113.0718     149.9963
     521    -123.2221     138.0096
     522    -128.5173     141.5208
     523    -121.6963     149.9536
     524    -140.2064     138.4306
     525    -127.8542     143.8836
     526    -136.0537     149.9166
     527    -142.8864     152.2582
     528     -85.6612     149.7474
     529    -143.0074     148.1229
     530    -141.8003     141.1970
     531    -141.8816     145.7014
     532    -139.0151     130.3973
     533    -114.4000     132.9580
     534    -101.8476     133.5660
     535    -130.3057     143.6256
     536    -105.2058     128.1794
     537     -97.2635     136.0121
     538    -147.4986     136.5447
     539    -127.3679     143.5711
     540    -118.1375     137.9586
     541    -143.4942     118.6771
     542    -138.2459     147.9875
     543    -151.8763     131.2015
     544    -119.7824     144.2403
     545    -128.6254     155.3913
     546    -136.4671     152.6371
     547    -112.4053     139.8810
     548    -138.3491     148.3066
     549     -75.1359     148.6660
     550    -134.4714     137.2122
     551    -135.0967     133.2379
     552    -140.5445     144.8445
     553    -116.0200     142.0361
     554    -138.1872     140.8484
     555    -143.6897     150.3434
     556    -133.0681     144.0556
     557    -141.8822     146.5396
     558    -129.6152     124.5942
     559     -92.7233     135.0360
     560    -122.5369     143.9975
     561    -134.6848     155.3817
     562    -127.7537     151.2790
     563    -129.6887     149.1324
