#Frame           phi1         psi1
       1    -116.6870     106.7386
       2    -122.8140      69.9720
       3    -130.2479      61.2936
       4    -121.7541      67.7835
       5    -126.9357      74.9282
       6    -150.4797      83.1084
       7    -137.7188      76.7632
       8    -117.8017      58.0575
       9    -128.7098      58.4380
      10    -115.1864      76.7101
      11    -105.0781     118.1386
      12    -110.3246     123.5583
      13    -115.7763     121.5520
      14     -92.7748     129.9320
      15    -114.6914     119.7855
      16    -136.4267      59.6978
      17    -128.7469      63.5156
      18    -125.6437      56.0632
      19    -127.0054      59.2196
      20    -132.0563      63.0016
      21    -109.9233      44.3426
      22    -130.1643      73.9058
      23    -130.8253      50.4896
      24    -135.6321      54.6187
      25    -128.4334      70.3519
      26    -128.6904      83.6739
      27    -121.7671      71.3408
      28    -128.1183      65.6950
      29    -136.5566      64.0696
      30    -119.9290      87.3136
      31    -120.2157      66.7195
      32    -126.0167      65.2649
      33    -122.8690      63.5364
      34    -124.9548      84.4130
      35    -118.7638      66.8581
      36    -128.3483      57.6398
      37    -124.5291      61.3993
      38    -130.4515      62.8275
      39    -131.2418      66.8546
      40    -133.7202      87.2717
      41    -124.3554      59.2946
      42    -131.7734     100.5624
      43    -122.2068      50.0670
      44    -125.3154      48.0545
      45    -132.9128      57.5541
      46    -127.5339      51.3579
      47    -116.1095      39.8198
      48    -121.8306      61.9067
      49    -122.0204      60.2469
      50    -123.9700      70.2848
      51    -122.3044      48.0653
      52    -106.3621      63.0289
      53    -129.0044      70.1451
      54    -126.6888      69.3756
      55    -121.0244      48.9899
      56    -122.6354      70.0985
      57    -122.2988      57.9362
      58    -125.1899      60.0362
      59    -120.4598      58.4942
      60    -121.7106      66.7941
      61    -113.0005      68.0556
      62    -126.9414      65.8303
      63    -121.4091      66.0673
      64    -124.5076      70.3241
      65    -125.9704      63.9598
      66    -120.0854      76.5413
      67    -118.4781      65.8403
      68    -111.0787      73.7386
      69    -130.1173      75.4856
      70    -126.9994      77.0179
      71    -121.3786      73.6985
      72    -115.8810      48.9819
      73    -113.8769      63.5021
      74    -127.6960      67.5788
      75    -126.7864      47.2340
      76    -123.3799      55.7845
      77    -124.9548      67.3250
      78    -134.5978      50.0646
      79    -131.0353      52.1328
      80    -139.8057      55.4189
      81    -130.7213      54.5506
      82    -118.9182      55.7327
      83    -115.8897      66.4232
      84    -125.9728      69.2967
      85    -123.2822      55.1133
      86    -125.3276      53.0702
      87    -123.7347      47.3423
      88    -132.4322      54.2317
      89    -123.9964      51.8762
      90    -120.4849      42.3399
      91    -121.4594      63.6772
      92    -132.1787      52.7518
      93    -135.1339      54.1169
      94    -128.0471      50.4381
      95    -128.8682      52.2048
      96    -145.5609      55.3675
      97    -118.3731      50.7776
      98    -125.4170      30.7239
      99    -128.8636      61.0483
     100    -130.9049      44.8138
     101    -129.3599      40.3299
     102    -136.1344      37.5000
     103    -130.0383      56.8021
     104    -123.7334      59.0719
     105    -126.8260      68.7241
     106    -119.2703      34.0509
     107    -132.6388      63.9971
     108    -133.2400      57.9311
     109    -133.9382      58.4774
     110    -127.6670      58.1364
     111    -124.3130      62.1934
     112    -122.4931      50.1964
     113    -131.4173      42.9967
     114    -134.1959      33.0576
     115    -138.9460      71.4955
     116    -141.2470      25.1499
     117    -119.6410      55.3733
     118    -115.0202      46.0913
     119    -123.7892      56.8012
     120    -141.6228      48.0951
     121    -123.1344      49.4419
     122    -128.6093      63.9954
     123    -124.4018      52.2123
     124    -134.1337      63.6604
     125    -133.8211      53.3195
     126    -135.3364      60.9354
     127    -120.4923      60.2119
     128    -126.8033      57.7269
     129    -120.5657      61.2345
     130    -116.2131      55.8400
     131    -137.4131      63.6532
     132    -127.1745      63.2337
     133    -129.3021      61.8388
     134    -130.9371      70.8688
     135    -136.2086      58.0271
     136    -123.3082      58.2164
     137    -121.3512      60.3011
     138    -122.4973      64.9381
     139    -117.9550      59.6312
     140    -116.4202      60.7973
     141    -117.6006      49.0500
     142    -137.8169      68.8059
     143    -148.2581      66.3512
     144    -125.3975      64.9877
     145    -127.8331      78.9579
     146    -125.6089      74.7379
     147    -120.1854      45.1359
     148    -123.9834      64.3129
     149    -118.1694      68.0657
     150    -128.1653      69.7542
     151    -118.2645      64.4501
     152    -129.0157      64.6356
     153    -121.4001      74.3441
     154    -123.1282      45.1220
     155    -124.4720      66.2082
     156    -122.8411      65.8639
     157    -137.1148      63.1811
     158    -124.7168      54.4069
     159    -129.4372      59.4826
     160    -124.1538      64.2776
     161    -132.0752      63.2338
     162    -132.8458      68.9430
     163    -120.0604      70.6148
     164    -124.7653      70.6808
     165    -124.1509      73.5584
     166    -131.0865      66.0088
     167    -133.1731      63.6687
     168    -118.1645      49.7325
     169    -111.6399      41.9000
     170    -134.1489      71.6060
     171    -127.1959      64.3942
     172    -118.1654      75.4608
     173    -121.1455      65.4807
     174    -140.4547      71.7377
     175    -136.7223      76.5657
     176    -124.7242      48.9536
     177    -127.0086      63.0947
     178    -122.9218      60.2869
     179    -131.7228      65.2914
     180    -121.1691      58.2013
     181    -125.6709      53.3984
     182    -130.0643      67.7476
     183    -125.8134      59.0153
     184    -130.7049      62.8170
     185    -121.9525      52.2704
     186    -127.8553      60.5825
     187    -143.4931      58.5521
     188    -129.5586      62.0836
     189    -128.3567      71.9734
     190    -124.2941      64.9718
     191    -130.4486      66.1124
     192    -125.2291      67.9035
     193    -130.4263      71.2440
     194    -130.4870      79.4888
     195    -121.4397      62.8190
     196    -131.9028      59.6954
     197    -131.4134      80.8641
     198    -120.8214      74.5302
     199    -120.6609      82.4811
     200    -133.7752      70.5489
     201    -124.4376      78.8982
     202    -112.2760      80.4956
     203    -130.4915      70.5722
     204    -129.3645      73.5587
     205    -117.0809      74.6902
     206    -122.1206      70.5966
     207    -122.9480      69.9256
     208    -136.4617      69.4274
     209    -118.1933      65.4990
     210    -132.8694      69.8876
     211    -123.9162      69.4529
     212    -117.5965      81.4796
     213    -134.1336      66.4844
     214    -126.0684      61.1225
     215    -124.2868      66.2079
     216    -123.0128      74.9446
     217    -124.3184      84.8044
     218    -127.1408      77.2476
     219    -117.9540      54.4301
     220    -121.5332      65.1137
     221    -110.6719      68.8202
     222    -121.9136      68.7508
     223    -128.4687      72.9385
     224    -130.0743      70.0621
     225    -127.0982      67.9136
     226    -141.7929      73.2697
     227    -112.6139      68.7269
     228    -134.2731      75.3722
     229    -136.1780      73.8592
     230    -131.0189      79.8730
     231    -133.1543      65.0318
     232    -122.0211      77.6772
     233    -128.1131      81.5683
     234    -130.5049      75.4709
     235    -124.1638      78.4320
     236    -125.6271      82.3620
     237    -134.4063      77.9694
     238    -125.4497      61.8935
     239    -126.5927      58.1094
     240    -130.8068      67.6757
     241    -128.1000      66.4310
     242    -121.0230      65.6068
     243    -125.0641      65.6898
     244    -121.1920      77.2500
     245    -129.5958      70.2495
     246    -125.7693      74.3638
     247    -136.6797      69.5212
     248    -118.8366      70.2388
     249    -111.5663      46.1227
     250    -142.9438      69.9999
     251    -108.2618      75.9967
     252    -118.7154      89.4298
     253    -122.0920      75.5876
     254    -121.7588      75.7458
     255    -127.1213      77.7944
     256    -122.7433      78.2922
     257    -125.6453      62.1774
     258    -130.4156      64.8373
     259    -126.3338      85.9987
     260    -124.7551      85.3475
     261    -135.7505      77.8880
     262    -132.9884      68.5764
     263    -125.0188      82.9730
     264    -132.4356      68.8383
     265    -140.1986      69.6315
     266    -133.3570      78.5813
     267    -119.1133      78.4209
     268    -104.7279      77.9169
     269    -111.8443      85.6308
     270    -139.4714      71.1668
     271    -124.3169      82.6636
     272    -130.7804      82.7709
     273    -120.0360      75.8171
     274    -115.2031      78.3400
     275    -130.3313      80.9997
     276    -127.8883      79.9567
     277    -121.0485      78.8730
     278    -125.6907      66.4939
     279    -122.8054      69.6223
     280    -120.8463      73.5265
     281    -110.9211      77.2701
     282    -126.3577      80.5713
     283    -136.1071      74.9462
     284    -133.8303      81.4106
     285    -137.5705      76.0423
     286    -128.0944      82.9345
     287    -121.0176      63.4871
     288    -126.6192      56.3470
     289    -116.6787      87.7165
     290    -121.2128      66.9476
     291    -125.6283      61.8607
