#Frame           phi1         psi1
       1    -132.0062      41.7993
       2    -132.1211      45.4219
       3    -120.2117      36.4419
       4    -120.9727      47.6874
       5    -113.1764      31.5155
       6    -136.3691      46.7768
       7    -119.1523      54.4282
       8    -129.0829      46.8561
       9    -136.4079      47.1878
      10    -123.8463      29.1842
      11    -128.3943      48.3323
      12    -133.9686      45.1841
      13    -124.1287      39.0150
      14    -121.4654      56.5360
      15    -123.4913      50.4390
      16    -128.0354      37.3480
      17    -121.6523      45.6164
      18    -132.9621      61.5410
      19    -130.7716      56.1018
      20    -141.7436      47.5151
      21    -128.5032      37.6110
      22    -135.4156      52.6736
      23    -143.6383      52.3356
      24    -127.6528      46.6178
      25    -109.4428      36.8058
      26    -134.6154      41.0074
      27    -122.2908      42.8686
      28    -127.7016      68.1020
      29    -122.4856      55.3805
      30    -125.1868      43.2449
      31    -120.7848      37.0105
      32    -152.4520      43.0602
      33    -108.7658      39.1821
      34    -124.5410      50.8115
      35    -130.4206      66.9594
      36    -132.8251      58.2810
      37    -120.8021      40.0413
      38    -141.6464      60.5601
      39    -117.3129      50.6762
      40    -127.8396      37.0645
      41    -143.2732      35.0731
      42    -140.5136      43.7252
      43    -120.9100      44.4785
      44    -128.7410      51.6716
      45    -131.0910      52.2306
      46    -128.0705      39.2832
      47    -123.0335      37.9221
      48    -129.3535      55.3513
      49    -126.5460      52.5442
      50    -128.5812      40.1786
      51    -128.1547      43.8763
      52    -134.6461      39.3123
      53    -134.8889      42.8179
      54    -129.7032      54.0138
      55    -115.7427      32.0425
      56    -126.9332      36.0358
      57    -124.6964      59.3894
      58    -118.9380      38.0744
      59    -130.7040      39.5863
      60    -138.7016      48.6359
      61    -117.6666      42.7927
      62    -132.1077      50.1301
      63    -125.9697      43.1933
      64    -127.0321      41.8113
      65    -133.6980      53.4627
      66    -128.5764      47.9202
      67    -120.9763      46.9944
      68    -139.6677      46.6597
      69    -131.7448      48.0257
      70    -119.0901      61.7178
      71    -131.9784      52.9431
      72    -126.1826      56.7263
      73    -132.4055      36.0462
      74    -119.2761      57.0841
      75    -137.3884      50.8275
      76    -129.8231      60.9230
      77    -128.7301      61.3768
      78    -132.3703      41.6733
      79    -127.5826      56.5334
      80    -133.7973      43.6881
      81    -126.0390      46.7111
      82    -128.8974      32.1085
      83    -121.2055      56.4671
      84    -124.1539      37.9996
      85    -128.8796      50.7008
      86    -137.3999      63.0038
      87    -132.8881      42.9952
      88    -121.5495      55.8281
      89    -120.1220      56.7979
      90    -140.0077      70.7814
      91    -121.4633      43.6111
      92    -136.3834      49.7071
      93    -128.3030      59.6657
      94    -119.9535      38.3592
      95    -134.7898      34.3581
      96    -118.3952      41.7262
      97    -140.3024      54.2142
      98    -130.6549      40.8028
      99    -125.1226      52.9730
     100    -139.7956      50.3408
     101    -130.7955      62.1389
     102    -140.6411      56.6088
     103    -123.5314      47.5924
     104    -118.2818      42.3161
     105    -116.9209      18.9397
     106    -126.1482      51.6987
     107    -128.9060      28.4444
     108    -119.8150      29.2043
     109    -128.7393      53.0964
     110    -123.6984      39.4249
     111    -109.9801      32.5681
     112    -117.8442      49.3304
     113    -121.1243      47.5958
     114    -125.6974      54.5052
     115    -131.3302      61.2428
     116    -128.3487      38.1519
     117    -140.0481      47.9400
     118    -123.9203      48.5216
     119    -132.8211      56.6209
     120    -129.5929      73.5336
     121    -127.5866      56.6906
     122    -126.6580      58.2794
     123    -121.9487      63.5407
     124    -126.9107      63.4831
     125    -126.1096      59.1023
     126    -129.1765      54.0060
     127    -127.4013      61.4865
     128    -120.7468      51.5274
     129    -117.0836      36.0365
     130    -128.6490      55.4672
     131    -123.9855      42.2745
     132    -122.2888      47.5944
     133    -131.0786      60.3787
     134    -125.7724      55.0827
     135    -122.9859      52.1577
     136    -131.7639      59.3923
     137    -129.4525      55.3964
     138    -124.5896      35.1875
     139    -126.7448      45.2714
     140    -125.1549      45.9644
     141    -103.6472      26.4204
     142    -114.5620      53.6549
     143    -103.0772      29.7260
     144    -111.4060      41.2807
     145    -125.1446      50.3223
     146    -124.7380      42.8873
     147    -125.2638      48.6047
     148    -130.0446      66.2246
     149    -129.1966      57.3564
     150    -122.5994      48.4433
     151    -130.1400      55.7961
     152    -112.5056      30.3485
     153    -118.9706      56.6666
     154    -138.2042      56.7407
     155    -128.7693      41.8350
     156    -109.6562      34.7802
     157    -110.5815      38.6262
     158    -125.3352      41.4628
     159    -130.8537      48.1950
     160    -119.7553      51.0364
     161    -114.3508      42.1967
     162    -123.5800      52.7474
     163    -136.4144      64.6606
     164    -121.9966      43.4668
     165    -138.9309      65.3728
     166    -118.8503      51.9122
     167    -128.4630      61.0391
     168    -108.9750      40.7288
     169    -124.3941      41.1564
     170    -121.3931      27.5202
     171    -125.9472      57.6284
     172    -129.1104      75.5146
     173    -122.8653      61.4563
     174    -122.9858      63.5515
     175    -132.8817      46.4375
     176    -118.0293      38.1687
     177    -115.9643      47.8611
     178    -125.0257      38.8865
     179    -133.5168      49.4958
     180    -126.3795      40.6807
     181    -124.5372      41.2219
     182    -125.7372      26.8661
     183    -123.4285      29.4393
     184    -126.7855      57.6152
     185    -126.9728      63.2182
     186    -116.2803      39.6120
     187    -124.0908      62.8999
     188    -127.2738      41.4941
     189    -133.2599      42.0980
