#Frame           phi1         psi1
       1     -73.8831     -30.3781
       2     -78.4074     -12.8416
       3     -62.9708     -24.4486
       4     -70.7436     -16.2589
       5     -61.4675     -29.9663
       6     -74.8819     -41.5468
       7     -69.3443     -11.2555
       8     -64.6379      -2.9096
       9     -64.4701     -34.6275
      10     -84.0771     -14.5174
      11     -62.6596     -11.5079
      12     -89.6180     -24.0896
      13     -97.7634      -7.8916
      14     -67.3843       4.6026
      15     -98.8737     -28.6507
      16     -86.2467     -36.1255
      17     -75.9088     -12.8249
      18     -66.4382      -6.0511
      19     -55.8541     -16.8245
      20     -58.2318      -4.5017
      21     -80.7460     -13.4253
      22     -78.9781     -34.6851
      23     -87.0706      -6.8818
      24     -64.4626      -1.1956
      25     -73.0703      -8.0712
      26     -78.1031      -1.9493
      27     -72.8379       8.9168
      28     -71.8243     -13.1410
      29     -71.9844      -9.5933
      30     -84.8539     -13.5289
      31     -62.0725     -29.4066
      32     -59.4881     -28.5173
      33     -62.9716     -11.7924
      34     -67.1921     -10.0433
      35     -64.0851     -34.9831
      36     -99.9948     -22.3741
      37     -81.5849     -12.2448
      38     -69.2822      -4.8618
      39     -66.4515     -35.2609
      40     -80.5301     -17.5088
      41     -53.9444     -19.4129
      42     -85.1210     -20.1857
      43     -65.9879     -33.7423
      44     -73.7748     -25.9620
      45     -90.3254      18.4428
      46     -96.3292       6.8681
      47     -95.7101       8.4489
      48     -99.3097     -15.1882
      49     -59.7566     -18.2153
      50     -69.2609      -8.2623
      51     -69.5611      -1.2930
      52     -57.2969     -29.8353
      53     -84.2560      -4.7327
      54     -92.1991      -4.7083
      55     -80.2547      -9.5044
      56     -70.2620     -25.2916
      57     -67.2576     -10.9566
      58     -77.3354       2.4533
      59     -86.6531       0.0189
      60     -63.3581     -13.0291
      61     -91.2564      -6.0752
      62     -65.7813       5.4652
      63     -62.7794      -9.0387
      64     -69.3194      -9.8161
      65     -75.5582       8.2849
      66     -63.4383     -25.7707
      67     -55.7790     -20.6975
      68     -66.6806     -11.1792
      69     -60.4630     -31.0222
      70     -69.8872     -17.9276
      71     -68.8238     -11.8810
      72     -65.5802     -29.0041
      73     -66.5954     -13.6066
      74     -61.1153      -5.5288
      75     -81.3425     -11.3894
      76     -67.2111      -8.9924
      77     -69.1399     -11.9812
      78     -71.8251       5.6407
      79     -74.4749      -8.2527
      80     -69.5859     -23.0407
      81     -77.7169      -5.8269
      82     -66.2519      -2.0719
      83     -57.1957      -2.8037
      84     -57.4190     -11.6690
      85     -55.7254      -8.3232
      86     -67.5769     -13.7960
      87     -68.1410      -4.3410
      88     -63.5205     -20.3997
      89     -65.8957     -22.4199
      90     -66.1527     -20.0961
      91     -66.0739      -6.1679
      92     -68.8254      -3.4412
      93     -62.5030     -35.6570
      94     -60.3402     -21.4500
      95     -90.9637      -3.1972
      96     -84.9430      13.2995
      97     -64.4246       2.5662
      98     -81.6746      -2.1232
      99     -65.1129      -0.1102
     100     -69.5940      16.2747
     101     -58.0146      -0.8311
     102     -85.1589      -5.6328
     103    -108.0635      -2.7369
     104     -75.0616      -4.2134
     105    -100.9926     -21.9871
     106     -56.1375     -20.0496
     107     -95.7310      -7.4510
     108     -51.8632     -35.2520
     109     -64.3974     -16.3722
     110     -66.8944      -7.7395
     111     -75.8059     -26.3375
     112     -70.3510      -9.4438
     113     -75.7514       7.3261
     114     -58.8780      -6.3083
     115     -71.5802     -20.9155
     116     -68.7611     -19.1868
     117     -84.2473     -10.2709
     118     -70.8893     -13.4554
     119     -76.2757      -0.8290
     120     -68.2970      16.9118
     121     -72.4938     -11.3181
     122     -58.0130      -4.7014
     123     -68.6093     -36.5288
     124     -75.8681     -27.6306
     125     -80.7163     -18.3241
     126     -75.8718      -7.9552
     127     -73.0580       4.0713
     128     -72.1321      -7.6403
     129     -47.8092     -46.4009
     130     -52.9988     -32.2936
     131     -70.0530      -9.5727
     132     -77.4762     -13.0458
     133     -69.1661      -1.6676
     134     -69.4622      -5.5334
     135     -68.6260       1.4665
     136     -86.5060      -1.3535
     137     -64.0370      -8.0668
     138     -69.6106      17.2032
     139     -76.8346       3.0441
     140     -64.9424      -1.3711
     141     -77.0566      -4.2765
     142     -73.5126     -13.0289
     143     -83.0363       0.3723
     144     -79.8482       6.5778
     145     -57.2367      -9.1694
     146     -70.4968      -8.5085
     147     -93.6579     -15.9696
     148     -65.2389      -5.2964
     149     -85.4232      -5.3683
     150     -75.5748      -9.5700
     151     -81.6781       7.8422
     152     -75.9491     -10.8217
     153    -135.3931     -48.7374
     154    -133.1849       1.3665
     155    -137.6972     -21.0936
     156    -168.0352     -57.3966
     157    -151.6380      -4.6721
     158    -149.9908     -44.6638
     159    -148.8174     -11.0470
     160    -147.2541     -37.9195
     161    -146.8370     -18.1072
     162    -166.8558     -60.2247
     163    -160.0641     -36.9735
     164    -160.8930     -23.5710
