#Frame           phi1         psi1
       1    -136.3214     -47.3124
       2    -136.3511     -52.8948
       3    -124.3962     -41.0343
       4    -136.9518     -64.7631
       5    -142.4425     -56.0691
       6    -133.7677     -58.5830
       7    -133.5346     -54.2102
       8    -141.9738     -60.1067
       9    -131.0591     -42.3866
      10    -141.9681     -64.7438
      11    -128.3205     -61.0469
      12    -132.0996     -56.0743
      13    -130.9484     -49.6705
      14    -129.4529     -57.9288
      15    -128.1148     -62.7707
      16    -134.0663     -59.7934
      17    -125.9101     -60.7706
      18    -136.0770     -52.6001
      19    -117.4358     -65.4712
      20    -129.8790     -41.8730
      21    -135.6404     -53.7269
      22    -119.0498     -63.4499
      23    -131.9773     -58.8619
      24    -129.8986     -49.4806
      25    -132.2686     -82.9970
      26    -133.4471     -51.4231
      27    -154.2336     -49.1916
      28    -156.9311     -57.7939
      29    -125.0406     -59.1722
      30    -138.9621     -64.8552
      31    -143.5508     -68.2195
      32    -138.4363     -76.7682
      33    -124.4919     -49.2349
      34    -137.3764     -50.6006
      35    -127.8058     -59.7887
      36    -141.2781     -47.3008
      37    -132.7719     -52.1095
      38    -133.2406     -65.2866
      39    -120.7548     -54.2614
      40    -134.4584     -59.9168
      41    -122.1554     -56.2667
      42    -134.2372     -75.5598
      43    -129.4936     -73.3073
      44    -129.3538     -68.8705
      45    -137.0030     -52.3069
      46    -130.9640     -55.6415
      47    -133.5370     -54.1975
      48    -107.9277     -41.3262
      49     -88.0430     -62.5359
      50    -136.9029     -63.9044
      51     -92.6535     -61.6323
      52     -96.4325     -49.5453
      53     -91.0319     -45.8332
      54    -117.6251     -35.2538
      55     -98.9833     -34.9181
      56     -58.5644     -40.4828
      57    -128.1987     -43.6184
      58    -115.8348     -56.6480
      59    -129.1500     -63.4616
      60    -134.4464     -75.8755
      61    -133.0402     -51.9255
      62    -112.1811     -40.3514
      63    -158.4052     -50.7178
      64    -154.1126     -46.9751
      65    -155.8463     -61.6466
      66    -157.2789     -38.7671
      67     -99.9698     -38.9252
      68     -82.9161     -39.6420
      69     -79.8533     -42.7163
      70    -160.4637     -46.4726
      71    -117.3980     -35.3357
      72     -75.3457     -43.9324
      73     -82.9496     -47.0199
      74     -75.5819     -44.2816
      75     -77.3744     -19.3240
      76     -73.4838     -28.7282
      77     -77.9394     -20.7769
      78     -71.3102     -36.2909
      79     -55.0544     -65.5253
      80     -83.2329     -50.4916
      81     -82.4021     -27.6714
      82    -131.0047       1.9957
      83    -156.0746     -30.4914
      84    -134.2683     -11.4458
      85    -132.8103     -23.8641
      86    -155.6837     -47.2029
      87    -134.8921     -47.1354
      88    -142.8235     -72.3428
      89    -166.8636     -61.0265
      90    -133.5322     -56.8488
      91    -130.9102     -26.2473
      92    -134.7084     -34.5558
      93    -138.2226     -23.6248
      94    -139.9221     -20.0086
      95    -132.1710     -51.5078
      96    -120.9773     -62.4050
      97    -126.4457      -1.9652
      98    -119.1946     -36.1069
      99    -126.4144     -33.2021
     100    -125.7406     -43.9196
     101    -134.7585     -25.8608
     102    -131.5749     -42.8593
     103    -135.0040     -33.5561
     104    -132.6992     -37.8101
     105    -148.1125     -28.3450
     106    -132.3372     -56.7677
     107    -126.5067     -31.0725
     108    -129.4483      -5.5361
     109    -137.4237     -45.1948
     110    -136.7084     -63.7285
     111    -118.6383     -45.8185
     112    -116.8749     -49.3554
     113    -152.6287     -54.4686
     114    -136.0221     -50.4844
     115    -123.1858     -72.2656
     116    -132.0913     -53.8060
     117    -127.4229     -56.5090
     118    -115.0096     -54.0568
     119    -133.0733     -69.3346
     120    -122.9445     -43.6277
     121    -126.7480     -52.5896
     122    -119.7713     -53.8107
     123    -127.8670     -56.9674
     124    -134.7463     -38.2281
     125    -139.3813     -46.6000
     126    -130.0678     -59.9225
     127    -134.2848     -53.7685
     128    -140.6747     -41.2811
     129    -130.1915     -71.3133
     130    -130.1474     -42.3075
     131    -126.2399     -52.5686
     132    -117.3617     -60.8777
     133    -137.7811     -47.9702
     134    -116.4000     -44.6810
     135    -134.8651     -45.3530
     136    -158.5462     -48.7292
     137    -130.7420     -50.6216
     138    -130.9836     -61.8484
     139    -125.2754     -50.9846
     140    -116.8847     -52.1600
     141    -133.7771     -48.5682
     142    -112.4398     -63.9766
     143    -122.5791     -49.1355
     144    -139.5528     -63.9884
     145    -139.9982     -51.2963
     146    -139.9598     -43.6789
     147    -119.4509     -55.4308
     148    -144.3975     -61.4048
     149    -141.9329     -50.1358
     150    -125.6494     -66.1327
     151    -133.0305     -53.6939
     152    -165.1247     -74.9663
     153    -142.7548     -61.1143
     154    -136.6984     -67.6093
     155    -140.9410     -53.7031
     156    -125.8616     -54.6748
     157    -131.3405     -48.9877
     158    -128.3990     -59.9908
     159    -125.7143     -53.5928
     160    -131.1718     -44.3163
     161    -129.2515     -66.0534
     162    -125.8282     -50.7064
     163    -136.7424     -43.5909
     164    -123.9208     -55.0186
