#Frame           phi1         psi1
       1     -64.8239     -20.9753
       2     -73.8630     -22.5223
       3     -59.3901     -32.5238
       4     -44.6684     -36.6057
       5     -84.9506     -21.5228
       6     -66.0934     -34.1319
       7     -63.4861     -33.3260
       8     -78.0639     -31.4070
       9     -57.8594     -40.8522
      10     -73.0962     -46.3525
      11     -56.6106     -55.1189
      12     -94.9149     -47.4140
      13     -96.3097     -29.7353
      14     -83.9039     -51.4050
      15     -67.0020     -32.3089
      16     -74.1984     -41.8630
      17     -90.0508     -12.5516
      18     -58.7503     -37.2325
      19     -76.5092     -29.0584
      20     -75.6411     -20.6668
      21    -106.6747      -3.4566
      22     -73.0402     -12.5690
      23     -85.1247     -24.9799
      24     -68.0409     -42.9037
      25     -79.0937     -14.1945
      26     -77.8994     -45.0517
      27     -73.4422     -18.0930
      28     -77.4969     -23.2998
      29     -80.4226     -29.1263
      30     -93.7493     -54.0315
      31    -101.8843     -56.2231
      32    -105.4757     -34.9816
      33     -94.9893     -32.8149
      34     -77.3437     -33.6785
      35     -90.0487     -37.8367
      36     -78.8406     -50.6830
      37     -95.7088     -23.0937
      38     -75.3744     -29.2097
      39     -67.5543     -32.7200
      40     -59.7690     -13.3466
      41     -58.4948     -36.7474
      42     -83.8576     -28.8335
      43     -57.7472     -52.9634
      44     -72.2447     -34.2510
      45    -101.0642     -46.2777
      46     -74.6473     -36.1475
      47     -86.3751     -31.8366
      48     -83.7991     -35.9398
      49     -79.5156      -8.1791
      50     -68.9879     -38.9424
      51     -73.4234     -16.0236
      52     -59.0369     -18.5650
      53     -72.9747     -39.7719
      54     -64.8827     -23.7350
      55     -74.8738     -29.8158
      56     -72.7068     -44.2738
      57    -121.1752     -43.2885
      58    -102.2130     -31.4588
      59    -128.9936     -40.3282
      60    -114.9164     -50.7587
      61    -110.0171     -31.0110
      62    -105.5172     -56.6048
      63     -65.0542     -27.6636
      64     -97.2796     -36.4151
      65    -124.3068     -44.5774
      66    -155.2221     -62.3274
      67    -125.9214     -48.9028
      68    -105.7737     -43.1962
      69    -134.1823     -56.1539
      70    -150.1109     -29.1017
      71    -163.8930     -71.0683
      72    -142.7339     -57.8779
      73    -144.1540     -25.7197
      74    -145.8043     -52.4329
      75    -144.9993     -38.2883
      76    -149.7223     -17.1744
      77    -150.5010     -20.8639
      78    -161.5896     -27.3895
      79    -152.1608     -18.1454
      80    -151.6577     -18.7745
      81    -138.9576     -19.9320
      82    -144.9849     -30.3922
      83    -149.4427     -24.4413
      84    -130.4782     -14.4706
      85    -131.9013      -5.5050
      86    -161.8966     -19.1869
      87    -149.1476     -11.7331
      88    -148.3230     -19.3188
      89    -169.9032     -42.6151
      90    -135.1794     -42.0532
      91    -151.2091     -55.5818
      92    -140.0593     -22.6441
      93    -137.4254     -17.1458
      94    -153.4027     -32.0491
      95    -151.1157     -24.1712
      96    -151.1595     -18.0745
      97    -143.8314     -41.2618
      98    -171.4708     -50.4263
      99    -152.1712     -62.0423
     100    -156.7722     -43.5832
     101    -162.3332     -32.0981
     102    -151.9961     -25.5941
     103    -138.8602     -21.0897
     104    -159.5477     -18.5501
     105    -134.6543     -18.8425
     106    -165.4332     -28.2767
     107    -150.7203     -16.9799
     108    -145.0814     -17.8411
     109    -159.5179     -34.7866
     110    -149.1352     -34.1671
     111    -156.3566     -16.1207
     112    -130.7405     -51.8023
     113    -159.9139     -52.1487
     114    -152.8487     -53.6341
     115    -147.4285     -29.9726
     116    -153.2219     -37.5093
     117    -139.7689     -48.3907
     118    -154.3594     -46.6494
     119    -143.5822     -26.4681
     120    -138.6341     -38.0105
     121    -138.5686     -39.5277
     122    -139.8255     -57.2257
     123    -157.2828     -32.5011
     124    -146.8938     -58.7090
     125    -155.4666     -35.1693
     126    -142.7942     -31.2541
     127    -152.0865     -44.9100
     128    -146.5350     -41.0634
     129    -146.9098     -44.4643
     130    -141.0723     -45.2806
     131    -162.3826     -36.4186
     132    -160.6091     -35.5176
     133    -145.3125     -46.5605
     134    -129.0655     -42.0111
     135    -150.6223     -53.7377
     136    -145.6805     -44.7577
     137    -144.0733     -62.8537
     138    -167.6875     -57.3359
     139    -142.6312     -87.2337
     140    -137.0984     -42.3070
     141    -140.1040     -53.7220
     142    -134.1029     -28.5221
     143    -136.0176     -27.0371
     144    -151.4672     -25.4844
     145    -156.9174     -55.5707
     146    -155.8269     -25.1394
     147    -136.2342     -29.8761
     148    -142.6556     -37.8501
     149    -145.5710     -26.0095
     150    -173.5646     -41.4238
     151    -153.7435     -31.5111
     152    -142.1707     -24.9634
     153    -165.5632     -28.1878
     154    -148.5837     -30.7128
     155    -155.5359     -49.5393
     156    -151.2698     -35.5207
     157    -151.1317     -43.6992
