#Frame           phi1         psi1
       1     -89.0200     -31.5211
       2     -72.3235     -31.1511
       3     -92.1881     -30.8051
       4     -67.4897     -47.3449
       5     -80.1292     -32.4725
       6     -79.1229     -11.5501
       7    -114.0582     -30.3016
       8     -86.2728       2.5004
       9     -74.4177     -28.2433
      10     -81.0652     -25.3674
      11    -119.4084     -47.7384
      12    -112.6967     -44.0054
      13     -88.7856     -39.0703
      14     -84.8394     -31.6839
      15     -55.3337     -42.9080
      16     -67.6014     -36.6646
      17     -82.3443     -28.9020
      18     -92.7760     -23.1685
      19     -94.5214     -23.2473
      20     -72.3806     -35.0683
      21    -117.1724    -154.9175
      22     -56.9276    -131.6981
      23     -99.2787    -127.1532
      24    -107.2926    -152.2546
      25    -105.8603    -156.0878
      26    -104.2298    -120.7440
      27    -104.7771     -64.9647
      28     -94.5896     -90.4171
      29     -92.0089     174.8963
      30     -86.0355    -145.0741
      31    -111.9110     -58.5948
      32     -96.6732     -73.6943
      33    -108.0558     -83.1243
      34    -103.8369     -67.4645
      35    -103.0168     -81.3607
      36    -102.1807    -122.1876
      37    -108.3091    -147.2041
      38    -112.4761     -97.8851
      39    -121.9000    -161.9230
      40    -153.8208    -170.5383
      41    -145.7505    -124.8945
      42    -134.4593    -115.1668
      43    -120.8694    -115.9495
      44    -125.2466    -132.6080
      45    -139.5597    -110.7878
      46    -136.6815     -97.0173
      47    -133.4317     -90.2782
      48    -145.7194     -71.4811
      49    -135.0355    -122.3097
      50    -135.3181     -76.1331
      51    -132.8856     -54.7712
      52    -146.9223     -58.4992
      53    -137.8651     -33.4949
      54    -140.7806     -61.0905
      55    -132.9551    -120.1032
      56    -134.5972     -76.8128
      57    -136.6565     -16.9108
      58    -146.3282     -42.2519
      59    -133.3835     -58.1212
      60    -161.7854    -132.3932
      61    -134.8447     -63.0400
      62    -128.2459     -38.8356
      63    -145.3745     -83.1487
      64    -156.1958     -55.5646
      65    -131.7628     -73.8045
      66    -146.8962     -59.9265
      67    -121.9075     -45.6012
      68    -133.6137     -65.7141
      69    -126.6858    -138.5540
      70    -135.7743    -147.1872
      71    -139.7426    -114.7712
      72    -125.9303    -158.1278
      73    -150.0160     172.4770
      74    -130.5248    -158.3612
      75    -120.4356    -153.7254
      76    -130.4093    -161.4003
      77    -148.1755     177.1915
      78    -133.6718    -164.6428
      79    -141.4567     161.6975
      80    -149.0058     164.6432
      81    -122.0231     161.9160
      82    -129.7213    -165.1960
      83    -137.6079     167.4453
      84    -134.5019     159.3123
      85    -162.1983     157.8583
      86    -130.1325     155.4643
      87    -140.2729     162.6039
      88    -147.1906     178.8327
      89    -145.0130     163.2655
      90    -120.5024     179.7826
      91    -132.9381    -176.2455
      92    -150.5396     173.0120
      93    -139.1668    -163.4842
      94    -146.8205    -176.1377
      95    -137.2393     172.2986
      96    -127.4145    -176.5189
      97    -154.8990     144.1157
      98    -140.9372     175.2957
      99    -155.8973     167.9734
     100    -155.3426     169.7078
     101    -143.1893    -175.6939
     102    -134.8931     172.2157
     103    -143.1489     177.3687
     104    -131.9485     174.2267
     105    -131.9964     149.1504
     106    -133.9854     179.6727
     107    -113.6741     165.0590
     108    -124.1289     166.6974
     109    -144.6640     168.7893
     110    -132.4034    -178.4324
     111    -153.1136     174.5800
     112    -142.5725     177.6329
     113    -139.0605    -175.7201
     114    -111.6242     176.1189
     115    -156.1479    -170.1427
     116    -164.2152     176.0643
     117    -128.4186     176.7108
     118    -124.7465    -178.0679
     119    -140.4235    -164.8987
     120    -144.2502    -177.7933
     121    -131.1407     170.8086
     122    -148.4317     160.1272
     123    -135.1349     161.4889
     124    -142.9181     174.4874
     125    -135.3955     170.3056
     126    -135.7672     166.2722
     127    -159.8180     153.2247
     128    -136.2405     163.6208
     129    -133.3909     173.8429
     130    -147.6460     168.5368
     131    -137.8280    -161.3937
     132    -132.1660     175.3906
     133    -141.4554     171.6250
     134    -121.3373    -179.6336
     135    -137.0874     174.3235
     136    -132.9239     169.7444
     137    -148.4719     171.8142
     138    -137.7900     171.9262
     139    -143.6112     177.3738
     140    -142.6341     172.3577
     141    -125.9393     151.6104
     142    -144.7012     149.4100
     143    -121.4120     152.2363
     144    -120.6231    -177.2906
     145    -140.1280     177.7220
     146    -130.9447     165.6653
     147    -118.7886     172.5839
     148    -135.0714    -178.7570
     149    -139.9620     176.8859
     150    -148.4305     178.2610
     151    -139.3512     171.7095
     152    -150.2744     173.7607
     153    -137.9840     173.2837
     154    -138.3319     165.1892
     155    -118.7130     168.4238
     156    -132.6464     161.7615
     157    -120.7597     174.4791
     158    -141.8048     152.6106
     159    -115.7304     135.0705
     160    -143.1466     146.5861
     161    -145.4049     134.8518
     162    -143.8615     141.2455
     163    -150.5091     169.5292
     164    -143.0288     140.8658
     165    -129.9304     143.5075
     166    -142.0261     166.1659
     167    -136.8504     165.4976
     168    -131.6218    -160.7289
     169    -115.3139    -171.5484
     170    -151.6202     156.8295
     171    -140.4511     140.7551
     172    -144.7090     176.3147
     173    -154.3712     165.8372
     174    -143.1419    -147.8669
     175    -137.4374     140.9347
     176    -131.2083     160.7495
     177    -128.9074     159.5512
     178    -103.9295     161.5260
     179    -138.5493     161.7547
     180    -130.3174     144.5677
     181    -123.3535     161.4498
     182    -142.0075     153.3798
     183    -140.0201     170.3768
     184    -157.2299     150.9744
     185    -137.6437     159.1403
     186    -131.7130     156.4771
     187    -156.6218     141.7151
     188    -159.2345     161.8160
     189    -139.4084     150.3977
     190    -122.7419     166.0687
     191    -128.2181     179.2762
     192    -132.9756     167.0964
     193    -151.0072     157.7811
     194    -133.8360     164.9588
     195    -140.2614     157.4567
     196    -130.3856     163.6800
     197    -122.2991     152.4196
     198    -130.9120     178.4203
     199    -155.6026    -175.2221
     200    -142.3542     159.2355
     201    -135.8401     139.5553
     202    -145.0604     153.5237
     203    -146.3213     154.8456
     204    -120.5424     173.8038
     205    -142.3136     171.6165
     206    -139.9769     169.1193
     207    -141.7410     158.4007
     208    -149.1546     171.4434
     209    -140.5602     155.9771
     210    -152.7639    -174.6851
     211    -143.1159     136.8863
     212    -149.9501     144.9076
     213    -149.5002     146.6984
     214    -149.3522     140.6215
     215    -158.2075     145.0309
     216    -143.3980     149.9336
     217    -160.2885     158.3378
     218    -142.3895     159.4909
     219    -123.4144     150.3107
     220    -142.2383     162.4378
     221    -145.2636    -171.8889
     222    -147.2018     172.6631
     223    -135.0269     161.1232
     224    -142.3985     169.9774
     225    -144.8795     161.1436
     226    -149.4104     159.7965
     227    -150.5265     164.3765
     228    -155.5576     155.0155
     229    -144.0033    -173.1787
     230    -135.6856    -171.8673
     231    -138.9819     174.2339
     232    -145.0111     159.5778
     233    -149.5869     166.7649
     234    -148.0110     169.3553
     235    -152.5424     167.9739
     236    -145.4776     163.4905
     237    -149.9034     153.2913
     238    -130.0707     144.6725
     239    -152.9454     179.9160
     240    -142.4644     157.0321
     241    -144.7389     150.7696
     242    -138.8707     164.2897
     243    -132.6498     167.7540
     244    -142.9316     156.1520
     245    -140.2987     160.6622
     246    -144.1659     164.3326
     247    -141.7159     159.7493
     248    -140.1422     172.6570
     249    -148.0927     175.6513
     250    -142.6422    -172.7580
     251    -138.2083    -179.4236
     252    -143.4690     159.1074
     253    -142.8967     156.8397
     254    -137.8513    -178.3851
     255    -143.6696     167.5177
     256    -134.1105     174.3715
     257    -127.4695     159.2038
     258    -140.7070     165.5749
     259    -150.2943     159.4550
     260    -145.8096     164.2156
     261    -159.4652     147.7165
     262    -153.0505     170.3028
     263    -145.0122     162.6416
     264    -144.6625     141.5724
     265    -153.0553     171.5306
     266    -141.7557     150.0515
     267    -152.4888     166.7512
     268    -151.0403     162.4451
     269    -161.3904     150.0870
     270    -155.1092     153.6152
     271    -157.5903     150.1955
     272    -137.7105     136.8713
     273    -125.2233     159.0851
     274    -125.8960    -178.8733
     275    -138.5684     158.1354
     276    -147.0181     148.2594
     277    -136.9987     160.2469
     278    -163.7109     123.7226
     279    -131.2720     169.8781
     280    -131.7581     136.1839
     281    -147.2720     141.4889
     282    -136.3510     140.8122
     283    -161.7181     149.0870
     284    -150.6308     135.4438
     285    -135.0614     144.5060
     286    -135.6445     167.8580
     287    -150.7960     155.8228
     288    -143.1026     133.7824
     289    -152.1982     150.4868
     290    -156.2790     143.7381
     291    -148.9742     165.6856
     292    -143.2650     137.2594
     293    -140.2077     153.8439
     294    -129.5696     155.1123
     295    -145.9210     167.7575
     296    -134.3377     142.1808
     297    -138.4415     134.4221
     298    -139.4262     147.9041
     299    -150.7977     146.5018
     300    -143.2178     158.6618
     301    -137.3857     170.1402
     302    -151.2013     146.1698
     303    -152.5702     144.2784
     304    -152.2038     150.3236
     305    -155.8589     163.1199
     306    -150.3560     137.7838
     307    -158.9345     171.7484
     308    -129.3757     159.9416
     309    -132.2730     157.0451
     310    -145.1054    -177.8450
     311    -151.6015     151.2832
     312    -155.2714     144.8542
     313    -139.9723     155.7736
     314    -124.5019     163.1641
     315    -140.6788     163.2434
     316    -141.9914     148.7031
     317    -133.6547     171.7866
     318    -133.2641     140.9790
     319    -154.5299     143.0471
     320    -128.0225     138.5038
     321    -141.3628    -179.0156
     322    -138.6126     166.1867
     323    -155.8643     158.6044
     324    -143.8302     156.2442
     325    -153.1034     157.7820
     326    -137.6620     168.0277
     327    -140.9183     160.0108
     328    -159.5477     169.2191
     329    -131.6076     152.9479
     330    -151.1794     130.5269
     331    -155.6761     157.7988
     332    -157.5272     156.9057
     333    -138.1537     153.4353
     334    -142.1783     146.8749
     335    -146.5804     137.8186
     336    -140.8167     155.7520
     337    -133.1859     152.3430
     338    -146.2583     138.8074
     339    -150.4104     143.1645
     340    -135.6608     151.0099
     341    -131.1003     145.6620
     342    -146.8455     158.0019
     343    -148.5973     142.9502
     344    -137.1136     139.7114
     345    -139.6072     140.0423
     346    -136.6319     151.8262
     347    -122.7903     153.7070
     348    -152.7673     155.3108
     349    -141.2050     147.4925
     350    -135.1001     156.8610
     351    -117.5494    -174.1349
     352    -171.1593     167.7293
     353    -145.8223     158.3100
     354    -154.9478     158.9399
     355    -150.3715     148.0806
     356    -137.8658     161.2618
     357    -134.1657     154.6108
     358    -134.4273     161.1429
     359    -150.7405     152.4335
     360    -138.0202     161.3352
     361    -146.3374     166.2534
     362    -135.4045    -171.7778
     363    -140.7835     178.4396
     364    -139.1450     178.0684
     365    -118.1479     173.7568
     366    -147.5354    -171.2865
     367    -138.1555     162.2974
     368    -137.6630     165.4212
     369    -148.7117     165.4123
     370    -144.2772     172.6997
     371    -151.8531     163.4799
     372    -147.8015     168.0014
     373    -143.1321     174.1415
     374    -146.2798     158.6731
     375    -133.8846     173.7934
     376    -139.4034     176.3652
     377    -138.0234     160.1546
     378    -138.3504     166.1464
     379    -152.9268     165.8986
     380    -142.0964     157.5306
     381    -144.6169     157.1606
     382    -123.3503     173.5163
     383    -130.2092     179.0560
     384    -132.0800     162.1379
     385    -128.4304     156.0607
     386    -155.1286     151.5528
     387    -153.1361     167.9207
     388    -128.9601     172.1453
     389    -133.6893     166.0210
     390    -146.6680     172.9811
     391    -136.4664     174.9991
     392    -140.3335    -179.2678
     393    -148.8914    -169.4454
     394    -129.7168    -173.3304
     395    -160.7631     175.8277
     396    -148.2895     155.6567
     397    -146.1326     170.4152
     398    -140.5840    -175.4469
     399    -151.0783    -171.1941
     400    -150.2176     165.2478
     401    -145.7224     167.2408
     402    -157.7284     173.3303
     403    -139.6316    -173.0116
     404    -115.1456    -164.9656
     405    -125.5992    -177.0720
     406    -132.6102     179.3665
     407    -143.4590     179.4060
     408    -134.2458     169.7602
     409    -145.3563     151.2445
     410    -133.2557     147.2938
     411    -131.1786    -172.5283
     412    -160.1499     161.0337
     413    -132.4865    -178.0275
     414    -151.3920    -169.8050
     415    -150.1512     139.6776
