#Frame           phi1         psi1
       1      51.2294      28.1016
       2      75.1937      22.2214
       3      78.0950      13.5839
       4      81.3134      -2.5129
       5      71.2582      -3.0034
       6      82.8580      13.0897
       7      75.2321      10.0443
       8      66.8646      10.4076
       9      59.8283      39.3755
      10      70.9826      41.8401
      11      53.1267      43.0018
      12      49.5364      24.7800
      13      52.7247      37.4363
      14      84.6250      22.6982
      15      70.7352      13.5383
      16      90.0783      -6.6761
      17      65.4373       0.9000
      18      70.9450      23.4102
      19      67.5348      30.0281
      20      81.0637      30.6508
      21      64.5252      26.8351
      22      68.9147      12.5049
      23      61.7646       2.2181
      24      83.2971       9.1215
      25      86.2459       3.4316
      26      48.3129      29.2168
      27      67.4023      15.5131
      28      80.6646     -33.5310
      29      87.1912     -12.4707
      30      59.1269      11.2871
      31      71.0038      17.5436
      32      69.8000      14.7618
      33      73.2274      11.2415
      34      69.8264       7.1082
      35      71.9356      22.3001
      36      48.2237      40.5359
      37      67.1602      38.8693
      38      55.5347      50.4183
      39      70.3286      29.4841
      40      60.3411      47.6125
      41      55.9834      55.2231
      42      62.7009      30.6132
      43      74.5500      24.9415
      44      87.5198      -3.6880
      45      77.2515       3.5325
      46      75.6351      27.1765
      47      79.8689      28.1339
      48      62.6181      30.1919
      49      59.5224      41.6456
      50      73.5650       4.6990
      51      56.0762      32.4791
      52      61.9207      42.5770
      53      54.7889      43.6089
      54      72.4072      12.5086
      55      58.8328      31.7770
      56      58.8790      43.5063
      57      39.9922      68.1735
      58      64.1093      31.6212
      59      53.1984      60.0432
      60      46.7046      43.0259
      61      52.0209      54.4040
      62      48.9338      46.8002
      63      41.2630      54.7650
      64      60.7599      55.9078
      65      61.2110      24.7393
      66      71.6426      36.6884
      67      47.9155      50.9042
      68      71.4434      30.7200
      69      40.5545      60.6663
      70      23.4207      58.6957
      71      48.6082      71.9245
      72      57.7609      62.3346
      73      34.9544      71.1171
      74      68.4516      54.0238
      75      47.2655      70.7412
      76      35.3004      68.5138
      77      40.8132      62.7772
      78      55.7710      40.2204
      79      63.2910      72.3874
      80      59.9602      76.9426
      81      53.9272      62.9468
      82      53.7428      51.5192
      83      41.2269      61.5537
      84      61.0859      70.4241
      85      45.9056      45.4285
      86      62.2902      49.2713
      87      46.8303      43.7722
      88      51.2520      64.6449
      89      66.0588      67.3888
      90      67.2666      30.8957
      91      83.8948      20.1819
      92      58.9396      92.1506
      93      16.4832     116.6569
      94      52.5067      66.8626
      95      40.4586      43.0714
      96      50.2823      68.2116
      97      58.2976      44.3785
      98      56.9861      77.8654
      99      60.9672     107.2560
     100      63.5396      62.3054
     101      50.4236      71.7768
     102      60.9471      65.0734
     103      70.2802      83.5394
     104      69.0967     106.3236
     105     111.1563      88.7059
     106      90.8929     128.7525
     107     126.9393     133.1635
     108     127.1099     147.6165
     109      94.8348     136.3784
     110      97.1553     148.2675
     111      89.8545      99.5239
     112      61.8314     104.6807
     113      61.7815     113.1776
     114      92.6799     109.8012
     115      85.6820     109.6482
     116      73.3903     136.1649
     117      91.2486     130.1796
     118      79.9812     156.1120
     119    -156.7386     132.4202
     120    -157.8338     140.8645
     121    -147.4419     143.9570
     122     136.9798     117.7357
     123     135.4594     127.2575
     124      61.3431     170.4047
     125      90.1890     146.0154
     126      91.9742     124.8894
     127      66.3980     131.8179
     128      78.6707     144.8946
     129      52.4630     171.7610
     130      83.6559     164.1784
     131      92.3999     117.3197
     132      71.9747     119.0519
     133      69.3381    -167.3638
     134      70.0299     161.0022
     135      98.0455     155.5874
     136      81.2324     143.5445
     137     105.5002     132.3537
     138     102.6237     132.9532
     139      74.0940     149.9321
     140      70.6613     170.9392
     141      57.4553     155.7329
     142      78.4821     155.2104
     143      66.4873     137.9476
     144      82.7418     148.3366
     145      48.3162      75.4165
     146      73.2608      95.7319
     147      62.2671     129.3036
     148      58.2778     104.8418
     149      61.3436     105.3143
     150     101.9438     127.7401
     151      74.2584     160.5933
     152      71.8125     142.2156
     153      61.6709     174.9249
     154      74.1915     156.4824
     155      70.8478     167.4557
     156      76.7857     169.0259
     157      72.9378    -162.0084
     158      60.2235    -166.6263
     159      75.7223     144.0145
     160      94.5694     139.7066
     161      83.1809     100.2124
     162      67.8889     140.5629
     163      72.6437     158.8511
     164      71.1600     163.7310
     165      45.4365     117.5576
     166      68.0424      72.8939
     167      63.9498      33.4248
     168      74.0821    -173.0169
     169      69.2656     146.9598
     170      64.9225     162.0517
     171      77.3287     146.0945
     172      88.8978     146.2589
     173      99.5354     138.7716
     174      80.5686     122.6113
     175     136.1680     121.1476
     176      79.8860     136.2827
     177      74.2807     133.6680
     178      91.2216     131.6656
     179      90.1963     116.4398
     180      71.7191      65.4756
     181      76.8274     108.6775
     182      67.4186     100.6616
     183      75.5668      98.2237
     184      81.3073      96.7410
     185      74.3001     146.3691
     186      86.4423     112.8324
     187      67.4205      85.4361
     188      70.2960     107.6989
     189      77.0764     112.5704
     190      78.0730     156.2907
     191      72.7777     106.1662
     192      90.9840     129.4907
     193      62.5856     151.6178
     194      83.3739     144.4046
     195      74.5077     157.8996
     196      50.4523     155.5815
     197      75.5869     136.3757
     198      61.9963      53.8589
     199      67.7135      48.8158
     200      53.0911      74.8427
     201      53.4861      45.9400
     202      58.9480      49.5696
     203      53.8759      55.4157
     204      43.7358      63.2634
     205      51.1732      61.6442
     206      61.5353      29.3103
     207      67.2645      28.2740
     208      65.9125      26.3777
     209      55.3510      60.5257
     210      60.4418      39.4605
     211      62.4874      28.6826
     212      67.6281      47.1595
     213      41.9764      43.1575
     214      43.5053      39.0684
     215      83.2935      59.6329
     216      86.4079      13.4839
     217      73.7248     -13.2158
     218      66.8196      20.8924
     219      44.2029      30.3045
     220      61.3806      34.2340
     221      64.8478      41.1811
     222      62.1706      27.1625
     223      63.9414      40.2889
     224      64.7305      16.4783
     225      64.9030      41.6594
     226      76.6446       6.0359
     227      57.4633       9.5719
     228      74.7704       5.6042
     229      82.8158     -19.8316
     230      81.6219      -4.8243
     231      56.0224      40.4345
     232      47.4992      34.6645
     233      40.7103      54.1044
     234      55.7587      45.7501
     235      41.3389      67.6247
     236      59.8177       7.0703
     237      91.3896       8.3536
     238      61.1307     -20.0313
     239      73.4762      36.7936
     240      -3.3417      80.4010
     241      51.4992      26.3025
     242      54.7638      48.7681
     243      48.4807      50.2695
     244      48.9158      50.2829
     245      51.7203      63.3022
     246      48.4107      61.4882
     247      81.2949       4.4086
     248      87.5552      -3.7424
     249      90.1176       7.0497
     250      96.7922     -10.7927
     251      74.2887     -14.8257
     252      57.7722      32.6245
     253      53.4420     -31.1032
     254      67.5440      10.9175
     255      83.9732     -16.7819
     256      86.4722       0.9505
     257      70.5953     -15.9529
     258      75.0437      19.8008
     259      66.9637      29.4068
     260      81.1901      -8.2029
     261      91.9864       3.8326
     262      58.4214      12.0499
     263      53.8251      49.4337
     264      68.4166     -13.6723
     265      71.1124      15.3634
     266      63.8094      29.9111
     267      59.0970      33.2498
     268      69.1833      21.2752
     269      67.0681      33.5047
     270      72.0256      30.1755
     271      46.7485      49.7904
     272     100.3595      52.4791
     273      53.7409      45.8127
     274      46.4771      72.4198
     275      71.2838      33.5754
     276      65.3496      37.8961
     277      42.4381      60.9652
     278      45.2063      53.8409
     279      40.6460      61.9995
     280      58.3746      41.9817
     281      76.6986      14.7316
     282      64.5642      23.2715
     283      61.4173      33.1182
     284      63.4470      15.2545
     285      51.1560      23.0085
     286      54.5462      64.4045
     287      58.3685      34.3468
     288      62.8809      25.5745
     289      76.1316       0.5448
     290      39.0498      75.5010
     291      87.7077     105.8666
     292      70.5280     124.0416
     293      71.0300     166.9538
     294      67.9070      85.0008
     295      59.8813      67.1146
     296      71.8964     103.2027
     297      78.9697     101.8625
     298      73.3902      81.5730
     299      61.7011      73.1418
     300      63.1942      96.4967
     301      46.5730      36.7295
     302      90.6656     110.2676
     303      77.7646      83.0900
     304      54.1905      68.0696
     305      43.6136      74.7936
     306      95.6140      33.8367
     307      51.5129      37.9604
     308      63.4302      46.0771
     309      64.6742      19.4339
     310      55.1776      46.7284
     311      56.9535      60.4001
     312      62.3385      49.2187
     313      50.6796      41.4861
     314      72.6193       2.4275
     315      61.7246      51.9000
     316      57.2166      49.8076
     317      80.6558      85.3961
     318      84.6835     140.8407
     319      82.0214     100.7495
     320      68.6051      88.3792
