#Frame           phi1         psi1
       1     -84.6006     -47.1314
       2     -66.6758     -19.5350
       3     -45.3632     -30.9373
       4     -79.1782     -33.6639
       5     -91.5634     -29.0538
       6     -78.0294     -46.1915
       7     -58.8504     -46.8848
       8     -66.0748     -42.6700
       9     -70.7303     -36.0053
      10     -67.3223     -14.4656
      11     -73.5716     -27.8401
      12     -54.4870     -30.8934
      13     -69.3601     -22.6539
      14    -105.2100     -30.7973
      15     -58.8486     -49.0971
      16     -56.8537     -18.9591
      17     -91.3906     -22.1703
      18     -63.0724     -38.3663
      19     -61.9790     -35.0324
      20     -68.1261     -14.9987
      21     -76.5103     -62.4877
      22     -49.6602     -41.9118
      23     -70.2509     -43.2691
      24     -61.0427     -32.6676
      25     -69.3297     -32.5060
      26     -75.7559     -17.7296
      27     -60.0347     -33.3760
      28     -70.5851     -41.8909
      29     -82.0644     -43.8255
      30     -64.3315     -30.8878
      31     -63.4798     -52.7781
      32     -81.0789     -15.2552
      33     -62.1981     -15.1240
      34     -58.3670     -20.5722
      35    -105.1182     -30.1446
      36    -105.0037       4.8157
      37     -83.7490     -16.2734
      38    -108.7180     -26.9461
      39     -81.7969     -20.2456
      40     -67.8440      -3.1487
      41     -89.8641      -8.5556
      42     -69.7178     -15.2770
      43     -77.2070     -29.9648
      44     -66.7943     -24.9212
      45     -66.9800     -21.0919
      46     -78.0336       1.5328
      47     -58.0879     -22.8760
      48     -90.1572       1.4223
      49     -81.1078      -1.5615
      50     -66.9622     -18.6493
      51     -68.1631     -25.0304
      52     -85.0157       2.0222
      53     -67.8241     -13.4482
      54     -73.8822     -28.9199
      55     -70.1010     -29.0043
      56     -69.9908     -15.8726
      57     -88.9107     -44.3927
      58     -51.9624     -36.0423
      59     -60.0815     -10.8524
      60     -61.1473     -45.2438
      61     -53.9365     -31.4645
      62     -68.2012     -34.0597
      63     -86.2346     -12.2689
      64     -62.4972     -33.3151
      65     -68.1816     -12.1846
      66     -76.8443      13.8713
      67     -78.3120     -13.4506
      68     -80.3236     -28.1272
      69     -74.3576     -22.7962
      70     -74.5880     -25.8961
      71     -78.4109     -35.0772
      72     -74.2274     -13.8441
      73     -67.9828     -36.1103
      74     -80.1582     -29.0887
      75     -67.2019     -26.2554
      76     -76.6974     -28.7288
      77     -87.6353     -31.4213
      78     -63.9012     -34.2061
      79     -76.4088     -11.8874
      80    -104.8561     -29.5095
      81     -74.4302     -45.7058
      82     -88.4086     -29.2473
      83     -61.5013     -29.6259
      84     -77.8513     -26.5384
      85     -71.7541     -34.7266
      86     -66.9259     -35.7737
      87     -62.6400     -25.5429
      88     -73.5068     -26.3750
      89     -93.4091      28.5851
      90     -76.5269     -31.1141
      91     -77.4421      -9.4441
      92    -117.2945      19.4014
      93     -81.5889      -2.4225
      94     -81.7137     -31.7815
      95     -68.3818     -34.6962
      96     -50.8818     -59.0321
      97     -58.4800     -27.6126
      98     -68.8122     -35.4951
      99     -55.6216     -33.8333
     100     -82.2122     -29.6041
     101     -81.9047     -30.4726
     102     -67.2262     -37.0620
     103     -87.9612      -7.1646
     104     -64.9095     -19.0495
     105     -60.9196     -19.7795
     106     -92.0334     -21.8527
     107     -71.0107     -23.0574
     108     -72.9292     -25.1410
     109     -65.3608     -19.5874
     110     -66.1225     -30.6589
     111     -78.2946     -20.0652
     112     -76.7654     -39.6107
     113     -58.8666     -34.0438
     114     -70.4131     -29.8022
     115     -95.4038     -17.5332
     116     -72.3841     -25.6457
     117     -70.1186     -39.9135
     118     -70.4948     -14.8126
     119     -62.5214     -46.1607
     120     -71.8110     -33.8663
     121     -66.0546     -25.8366
     122     -80.3851     -27.2522
     123     -59.1551     -27.2339
     124     -75.9079     -19.3538
     125     -67.5089     -37.1262
     126     -73.6734     -19.0711
     127     -58.0084     -19.7394
     128     -62.6061     -40.0936
     129     -70.9075     -17.5137
     130     -77.3286     -37.6070
     131     -64.2073     -37.0962
