#Frame           phi1         psi1
       1    -138.0187     -27.0616
       2    -144.2072      -4.4473
       3    -112.1182     -22.3047
       4    -102.2683     -34.8015
       5     -94.0788     -23.4777
       6    -104.0388     -35.2312
       7    -121.2937     -29.6031
       8     -97.4523     -45.3199
       9     -82.4282     -53.6044
      10     -91.9848     -41.7803
      11     -84.5503     -35.3074
      12     -95.7600     -31.4852
      13     -70.0633     -35.4868
      14     -83.0703     -52.3994
      15     -89.9270     -44.0160
      16     -77.1091     -30.9177
      17    -108.3420     -77.0739
      18    -118.2979     -67.6654
      19     -86.9813     -76.0932
      20    -108.9362     -29.5057
      21     -68.1274     -20.5600
      22    -109.4113     -66.5477
      23     -77.9856     -46.1570
      24     -89.1868     -21.1918
      25     -76.6715     -46.4492
      26    -105.6750     -48.7565
      27     -87.7807     -54.1735
      28     -84.4228     -15.3397
      29    -117.4051     -33.1181
      30    -101.0987     -44.8532
      31    -109.8549     -31.8151
      32    -106.0851     -39.0169
      33     -80.8212     -30.6049
      34     -82.2190      -2.0082
      35     -83.1216     -28.6844
      36     -75.7728     -29.5978
      37     -89.9766     -42.7916
      38     -73.0051     -32.6182
      39     -62.5622     -34.4134
      40     -63.2072     -48.6305
      41     -75.8190      -8.3741
      42     -78.9715     -41.0741
      43     -86.4935     -61.9966
      44     -82.1932     -33.2545
      45     -68.9639     -55.8187
      46     -82.1514     -63.2382
      47     -81.4470     -44.4519
      48    -114.3192     -23.1583
      49     -93.7791     -15.9292
      50     -97.4860      -9.2371
      51     -91.7001     -10.3621
      52     -86.8590     -16.0965
      53     -70.9934     -39.9401
      54     -70.6658     -59.5322
      55     -68.0999     -40.8097
      56     -55.1135     -54.1968
      57     -92.4540     -16.0708
      58     -96.6881     -25.9779
      59     -71.4213     -15.2741
      60     -67.0448     -24.1482
      61     -85.6202     -41.1035
      62     -79.4891     -48.5693
      63     -65.5117     -34.8501
      64     -74.9975     -24.2686
      65     -83.3570     -17.4248
      66     -80.0458     -19.6039
      67    -126.7766     -50.4352
      68     -82.1396     -34.1629
      69     -71.8053     -39.4272
      70     -62.6175     -46.8643
      71     -56.3771     -48.3047
      72     -72.6805     -52.0432
      73     -91.5770     -37.0531
      74     -98.3571     -42.2961
      75    -116.8772     -40.9834
      76    -106.1689     -31.3412
      77     -80.1495     -55.1662
      78    -116.6463     -47.1007
      79    -117.8658     -34.9993
      80     -99.9809     -29.3578
      81    -109.8166     -42.5109
      82    -119.4842     -45.4603
      83     -89.5572     -32.1632
      84     -76.6292     -35.0071
      85     -76.8449     -50.9570
      86     -72.4642     -53.6991
      87    -100.1662     -78.9932
      88     -77.0950     -66.8559
      89     -78.7764     -35.4953
      90     -67.0359     -34.5344
      91     -80.5544     -34.0338
      92    -108.0999     -49.4025
      93    -135.7660     -45.1287
      94    -144.7581     -49.3492
      95     -89.1409     -61.3614
      96     -64.4935     -46.5765
      97     -73.5478     -51.5510
      98     -92.6684     -38.0021
      99    -114.2820     -56.3002
     100    -120.1936     -54.0179
     101    -106.9916     -54.5812
     102     -77.8417     -34.5186
     103     -83.4057     -49.3817
     104     -73.6834     -38.7778
     105     -67.6394     -24.2344
     106     -72.1002     -24.7801
     107     -57.6421     -37.3929
     108     -65.6220     -41.8411
     109     -66.4505     -52.6072
     110     -76.7582     -27.1247
     111     -66.8815     -43.9736
     112     -61.3869     -48.5732
     113     -60.7723     -37.8956
     114     -74.6501     -24.7556
     115     -65.3503     -40.5726
     116     -93.8195     -38.8165
     117     -60.6988     -45.7217
     118     -78.3013     -48.2700
     119    -100.4164     -29.1677
     120     -81.8609     -22.9967
     121     -87.6964     -36.2097
     122     -61.1394     -39.9839
     123     -57.2129     -36.2301
     124     -62.1546     -39.1239
     125     -93.6955     -41.6415
     126     -68.5484     -46.7639
     127     -48.8684     -57.9758
     128     -66.6948     -42.0902
     129     -80.5920     -26.1825
     130     -76.6661     -57.1600
     131     -40.3699     -55.6387
     132     -78.5332     -36.7222
     133     -60.1849     -39.3124
     134     -83.9338     -43.8028
     135     -68.6322     -30.6834
     136     -64.0000     -69.3462
     137    -107.1770     -53.6420
     138     -93.5521     -76.2954
     139     -92.8411     -40.3511
     140     -70.9494     -65.7626
     141     -72.0621     -42.3537
     142    -121.1594     -52.9462
     143    -121.1086     -31.4389
     144     -86.6395     -65.5743
     145     -76.9110     -31.6422
     146     -58.6727     -49.9820
     147     -95.9680     -58.0158
     148     -98.6886     -38.0691
     149     -97.8619     -40.2196
     150    -118.0484     -46.7973
     151     -90.5047     -23.9686
     152    -109.8524     -41.3390
     153     -66.4722     -57.4226
     154     -68.4034     -54.4789
     155     -87.4737     -15.2937
     156     -78.4144     -32.8183
     157     -83.4294     -24.9609
     158     -90.4040      -7.2914
     159     -82.1164     -28.8355
     160     -77.7259     -15.5317
     161     -81.3516     -19.8442
     162     -83.5946     -21.6520
     163     -82.6914      -8.3873
     164     -72.6151     -19.6644
     165     -83.3878     -11.0730
     166     -75.5028     -20.3728
     167     -82.4308      -8.1395
     168     -76.4045       1.4862
     169     -70.9343     -16.9405
     170     -66.6487     -25.2667
     171     -69.7318     -42.4104
     172     -87.2649     -28.6295
     173     -78.8613      -4.0309
     174     -64.8200     -16.4085
     175     -65.1123     -29.7598
     176     -83.0177     -19.6732
     177     -62.4938     -30.6084
     178     -66.4695     -28.2682
     179     -86.9404      -8.3234
     180     -94.8986      -6.9290
     181     -84.3500       3.7810
     182     -91.0361      -0.0552
     183    -109.3069      25.1541
     184     -72.8074     -13.9746
     185     -97.5341      -0.5218
     186     -88.2966      -2.8660
     187     -84.6086       6.4007
     188     -76.9544     -16.8271
     189     -91.3852      -5.5608
     190     -77.7993     -36.0086
     191     -64.3590     -11.0315
     192     -72.5862     -13.8701
     193     -78.3287       1.4750
     194     -75.8213     -12.7009
     195     -81.0821      -1.4883
     196     -90.2751      -1.4151
     197     -81.8304     -46.4983
     198     -71.0110     -46.7311
     199    -115.3404     -26.8524
     200     -95.5444     -30.0001
     201    -103.2913      -9.1109
     202    -111.2589       5.8306
     203     -99.6144       9.4270
     204    -122.6475      23.6395
     205    -139.0900      33.7418
     206    -134.1102      23.4581
     207    -111.0045      24.2656
     208     -93.7196      -8.4612
     209    -124.5223       7.3343
     210    -135.9395      15.5988
     211    -112.6753       5.7083
     212    -110.4604       0.7870
     213    -102.3372      17.9047
     214    -103.1205       8.9801
     215    -100.4661       3.9366
     216    -100.7295      -0.9562
     217    -121.1206       1.7649
     218    -110.9484      -2.6366
     219    -106.2363     -32.3698
     220     -95.8467     -15.3415
     221    -117.0858     -60.8368
     222    -115.9283     -16.9305
     223     -79.1086     -85.4089
     224     -98.0021     -38.9032
     225    -119.2786     -44.1904
     226    -102.0838     -47.4344
     227    -112.8490     -59.3412
     228    -122.2591     -49.3510
     229    -119.3293     -46.0922
     230    -130.9606     -26.3062
     231    -129.3657     -38.1653
     232    -116.0019     -31.4777
     233    -114.8618     -40.0800
     234    -119.9202     -32.1454
     235    -123.0892     -42.5891
     236    -123.2382     -41.8727
     237     -87.3371     -36.3321
     238     -80.0796     -43.0479
     239     -81.9085     -21.2668
     240    -118.5680     -41.4456
     241     -93.4614     -31.4972
     242     -66.5605     -44.1628
     243     -63.8488     -37.8469
     244    -128.1724     -57.4522
     245     -90.3972     -29.3849
     246     -81.2928     -59.9143
     247     -70.4264     -46.4011
     248    -123.8337     -55.8926
     249    -128.7723     -34.3525
     250    -144.5298     -45.4921
     251    -145.8305     -37.7573
     252    -154.5667     -46.1049
     253    -152.6949     -29.5553
     254    -136.7480     -42.6236
     255    -127.8648     -26.8612
     256    -148.2075     -48.3208
     257    -122.4464     -53.5901
     258    -116.7098     -42.7772
     259    -142.4574       2.7678
     260    -135.5135     -23.6430
     261    -151.1347     -41.8980
     262    -153.1114     -52.7838
     263     -99.2130     -22.0062
     264    -141.3249     -15.0824
     265    -130.7961      -9.3893
     266    -133.2686     -32.2524
     267     -98.9525     -60.1589
     268     -92.1742     -69.4722
     269     -92.0837     -33.1300
     270    -120.6639     -54.1269
     271    -113.1688     -58.5609
     272     -84.5736     -64.8314
     273     -80.1749     -50.1337
     274    -103.6197     -60.9958
     275    -102.6742     -59.7764
     276     -87.2777     -91.0485
     277    -110.3249     -51.8280
     278    -101.3935     -39.3790
     279    -104.1224     -28.8000
     280     -79.6661     -49.9939
     281     -83.4200     -63.3151
     282     -92.7113     -59.7464
     283     -77.5869     -27.3338
     284    -103.6682     -59.7546
     285    -106.8613     -40.6093
     286    -102.8776     -47.1925
     287     -98.7001     -48.6901
     288     -97.1662     -44.6857
     289     -96.6277     -48.7520
     290    -103.6421     -28.4424
     291    -120.0645     -32.0398
     292     -99.4465     -21.8242
     293    -101.7928     -26.4247
     294    -126.8229     -50.1859
     295    -108.4877     -39.5440
     296    -121.5675     -56.5036
     297    -103.9325     -28.4628
     298    -126.3705     -26.0752
     299    -139.4589     -47.6821
     300    -103.0602     -56.3194
     301    -111.9265     -40.9263
     302     -98.8608     -35.7099
     303    -101.6223     -34.1517
     304    -132.9072     -16.7880
     305    -142.8077     -10.2348
     306    -109.7370     -13.7507
     307    -125.5415     -24.8800
     308    -127.0267     -48.8096
     309    -102.3591     -19.4538
     310    -121.2262     -44.0827
     311    -117.6652     -37.5354
     312    -104.6797     -49.5760
     313     -79.2508     -24.3549
     314    -103.3282     -47.7308
     315    -109.5216     -44.5183
     316    -105.7112     -54.6225
     317     -95.8596     -37.5303
     318    -101.7097     -47.7751
     319     -63.0013     -55.6183
     320    -120.7265     -50.6833
     321    -117.5458     -48.4811
     322    -122.2352     -40.6746
     323    -138.4206     -35.3386
     324    -121.8251     -38.3420
     325    -114.1371     -15.2342
     326    -125.3002     -12.8260
     327    -100.2264     -45.9206
     328     -91.7271     -50.8483
     329     -95.7310     -45.9853
     330     -93.1324     -64.7882
     331     -98.9226     -74.6533
     332     -98.5165     -40.2315
     333     -67.1512     -28.9635
     334     -63.5270     -85.5469
     335     -76.2300     -31.3243
     336     -64.8096     -48.0311
     337     -76.0146     -46.5513
     338     -89.2267     -46.4334
     339    -102.1470     -22.4716
     340     -74.6548     -16.8841
     341     -78.7379     -42.9530
     342    -115.1026     -56.2198
     343    -124.6172     -42.8316
     344    -114.9174     -65.7831
     345    -121.5921     -39.1025
     346    -148.4874     -55.7692
     347    -107.1700     -37.8330
     348    -130.9994     -48.8214
     349     -88.7140     -63.8819
     350     -97.3109     -72.6486
     351     -57.6336     -54.5161
     352     -96.0688     -51.0194
     353    -145.4824     -89.7081
     354    -113.5084     -72.1913
     355     -79.5022     -31.0317
     356    -111.0852     -38.7276
     357     -74.4503     -45.2322
     358    -117.8569     -60.3634
     359     -91.7578     -36.9987
     360     -70.3218     -36.5411
     361     -62.8798     -47.6616
     362     -86.0422     -68.9256
     363     -53.9443     -50.5624
     364     -83.8181     -60.8966
     365     -63.6010     -40.6310
     366     -68.4275     -38.5261
     367     -57.5675     -42.6199
     368     -64.0861     -20.3483
     369     -87.3848     -57.6017
     370     -74.8386     -27.9937
     371     -83.1042     -64.8919
     372    -115.4041     -83.4812
     373    -111.9824     -60.1778
     374     -94.4771     -49.2432
     375     -96.7021     -78.9282
     376    -104.3612     -44.6900
     377     -94.0750     -38.1684
     378     -90.6560     -72.1956
     379     -58.9269     -58.1276
     380     -69.3971     -38.1960
     381     -60.8138     -51.1498
     382    -101.9367     -28.9602
     383     -61.0413     -47.6883
     384     -58.2542     -42.5044
     385     -67.4990     -35.4199
     386     -53.5825     -84.5587
     387     -85.8420     -37.2330
     388     -60.0171     -56.9198
     389     -60.3420     -97.3829
     390     -64.3853     -43.6120
     391     -93.6606     -79.3052
     392     -90.8808     -53.7557
     393    -122.5921     -71.9835
     394    -164.2435     -63.0545
     395    -163.5765     -44.1927
     396    -103.5015     -42.9510
     397    -106.4641     -25.8134
     398     -73.7255     -47.8129
     399     -78.2531     -36.3367
     400     -64.0533     -28.4017
     401     -60.4258     -36.3253
     402     -82.0511     -23.2191
     403     -54.8713     -65.6547
     404     -75.5005     -18.9798
     405     -69.2426     -36.7365
     406     -67.0966     -61.2276
     407     -49.0594     -53.6617
     408     -87.9321     -15.9111
     409     -65.7723     -21.5899
     410     -67.7790     -30.8903
     411     -65.8302     -36.0859
     412     -68.6091     -31.3476
     413     -59.3531     -43.9891
     414     -65.7857     -45.3596
     415     -61.8682     -47.6158
     416     -86.3064      -4.8085
     417     -63.3633     -38.4384
     418     -23.7888     -63.9121
     419     -54.4968     -66.2615
     420     -87.9363     -70.3994
     421     -65.0947     -63.2587
     422     -65.1663     -41.5935
     423     -76.6584     -46.8255
     424     -76.6132     -39.4137
     425     -83.4155     -34.1292
     426     -83.0892     -11.3064
     427     -60.9265     -26.9152
     428     -70.8681     -18.0060
     429     -77.8327     -25.7785
     430     -70.5385     -23.9559
     431     -69.9513     -20.1932
     432     -70.8898     -16.7200
     433     -77.5500      -7.4881
     434     -68.9895     -25.0080
     435     -72.0460     -14.2227
     436     -73.7715     -24.3286
     437     -70.9416     -41.0709
     438     -81.9061     -17.8449
     439     -73.2176       0.3804
     440     -71.8960     -27.6517
     441     -75.2883      -1.5619
     442     -55.1931     -36.7736
     443     -82.4956       1.7591
     444     -72.1686     -10.2734
     445     -75.9334     -25.6223
     446     -77.9621     -15.4327
     447     -85.9410     -24.4061
     448     -76.6567     -23.6996
     449     -86.1987      -4.3922
     450    -118.5835     -27.5685
     451     -68.0607     -33.8376
     452     -84.0011     -22.8905
     453     -97.9704      -1.9319
     454     -93.9906      -1.3081
     455     -78.0038     -58.9897
     456     -84.7628     -22.3355
     457     -46.6227     -61.4227
     458     -67.5532     -18.8718
     459     -55.3791     -30.2450
     460     -93.3023     -28.9993
     461     -85.3774      -5.8522
     462     -77.7467     -31.3145
     463     -94.4814     -20.9662
     464     -82.5006     -34.0052
     465     -74.4346     -32.2495
     466     -76.0574       3.7756
     467     -73.5595     -18.5564
     468     -62.7198     -33.4906
     469     -84.1829      -5.1461
     470     -63.3706     -43.4401
     471     -66.1930     -36.2826
     472     -70.3724     -51.0214
     473     -80.3687     -37.1263
     474     -85.5931      -0.3513
     475     -71.8623     -17.0093
     476     -69.5233      -4.5172
     477     -67.7711     -31.0391
     478     -77.6676     -21.3425
     479     -64.9120     -22.4030
     480     -80.4837     -25.7006
     481     -83.3064      -2.5632
     482     -59.8228     -26.9196
     483     -73.8905     -14.4702
     484     -64.5706     -16.2721
     485     -74.6373     -29.9575
     486     -60.2853     -35.4002
     487     -70.1524     -17.9334
     488     -88.0770       4.9925
     489     -66.9077      -8.8185
     490     -67.3287     -33.3437
     491     -84.1599       5.1953
