#Frame           phi1         psi1
       1     -73.1488     -36.0177
       2     -66.1168     -34.9030
       3     -73.4046     -34.4928
       4     -53.2454     -40.8230
       5     -62.3152     -51.4042
       6     -65.3930     -36.5366
       7     -48.5001     -44.2352
       8     -72.8346     -35.1928
       9     -56.6927     -43.2771
      10     -69.2405     -35.6329
      11     -65.2546     -29.6573
      12     -61.7012     -33.0095
      13     -79.7751     -35.0343
      14     -69.3923      -9.0736
      15     -91.7506     -27.0052
      16     -57.5228     -26.9921
      17     -73.2907     -31.5867
      18     -69.5536     -15.5812
      19     -66.6135     -24.8968
      20     -95.7989     -25.3462
      21     -60.0450     -27.0498
      22     -77.5353     -16.5383
      23     -62.0685     -48.3062
      24     -69.8411     -14.7599
      25     -75.7898     -10.8247
      26     -47.8912     -27.3297
      27     -71.6148     -31.7139
      28     -88.0835     -19.9050
      29     -81.6275     -30.9739
      30     -61.7565     -27.0747
      31     -68.6827     -48.0238
      32     -86.6511     -36.9169
      33     -67.5838     -40.5952
      34     -73.7105     -39.1465
      35     -66.8562     -34.9581
      36     -69.6098     -22.6780
      37     -95.4405     -17.1837
      38     -59.2584     -45.2276
      39     -59.3118     -29.0005
      40     -96.4126     -33.3020
      41    -101.9831     -40.1627
      42    -103.2857     -26.8945
      43     -91.3291     -37.6121
      44     -85.9514     -22.6058
      45    -106.8331     -42.8084
      46     -77.1511     -22.8659
      47     -70.9321     -42.8073
      48     -76.1699     -35.0775
      49     -97.7551     -30.0792
      50     -64.8154     -23.6305
      51     -61.2055     -22.9553
      52     -74.2046     -32.2411
      53     -66.9736     -39.7421
      54     -69.3466     -49.1292
      55     -57.4066     -36.9061
      56     -61.0391     -48.5473
      57     -65.2870     -28.6291
      58     -64.2351     -44.1121
      59     -59.7613     -25.1684
      60     -63.8094     -49.5475
      61     -70.8949     -45.1776
      62     -66.5304     -50.1324
      63     -66.4389     -51.2118
      64     -61.8121     -44.1501
      65     -59.1422     -39.7305
      66     -80.8060     -48.0486
      67     -54.3712     -37.7678
      68     -73.7646     -26.2616
      69     -67.0121     -38.8499
      70     -62.6630     -17.8596
      71     -69.4054      -8.6250
      72     -60.2372      -9.0610
      73     -72.1597     -20.7589
      74     -69.0077     -36.2391
      75     -59.6142     -37.6109
      76     -92.6939     -34.8448
      77     -59.3198     -35.1583
      78     -71.3421     -38.5435
      79     -62.7756     -53.2469
