#Frame           phi1         psi1
       1     -81.8772     -42.0781
       2     -68.6305     -52.0126
       3     -76.4014     -41.0069
       4     -53.2642     -45.8817
       5     -65.6541     -61.9287
       6     -66.5521     -50.2563
       7     -59.7116     -56.8717
       8     -78.3193     -47.9328
       9     -74.6339     -38.2381
      10     -85.7533     -59.3361
      11     -53.6138     -67.9366
      12     -57.3150     -58.2787
      13     -62.0418     -58.3228
      14     -78.3298     -56.8766
      15     -55.0553     -55.3861
      16     -66.4676     -53.6080
      17    -103.0980     -60.7331
      18     -85.4905     -47.7276
      19     -82.6596     -44.4166
      20     -69.5718     -55.0636
      21     -84.9863     -50.9671
      22     -86.7935     -57.1767
      23     -73.2642     -29.3703
      24     -88.6329     -53.6830
      25     -66.7281     -54.8515
      26     -98.4422     -63.7346
      27    -108.3379     -62.0949
      28     -90.7485     -44.6840
      29     -71.8553     -43.6653
      30     -71.4309     -42.7687
      31     -84.1073     -53.1051
      32    -101.6248     -42.5320
      33     -94.5332     -37.8655
      34     -88.6931     -49.6201
      35     -84.5336     -67.3469
      36     -94.1475     -39.7273
      37     -95.0655     -39.7744
      38     -82.2419     -43.2758
      39     -88.2945     -27.9478
      40     -80.1409     -44.8382
      41    -100.1821     -54.2074
      42     -98.5332     -48.1149
      43    -106.1887     -53.8239
      44    -125.7118     -55.7789
      45    -107.7305     -51.7626
      46    -115.9194     -46.8527
      47     -79.0519     -63.2543
      48     -89.3356     -62.1655
      49     -74.0709     -38.8620
      50    -108.1506     -64.7149
      51     -87.0318     -45.9524
      52     -82.1667     -42.3155
      53     -95.3956     -56.0596
      54     -99.5899     -53.3522
      55     -94.2103     -52.4638
      56    -107.3695     -45.5150
      57     -94.1029     -36.7140
      58     -76.4780     -37.3505
      59     -65.9928     -47.8342
      60     -77.0735     -47.3984
      61     -79.0252     -64.1993
      62     -87.3025     -65.7732
      63    -103.6498     -59.4764
      64     -93.7131     -61.8284
      65     -81.9510     -53.4041
      66    -104.8869     -54.9021
      67     -86.5072     -38.1888
      68     -78.0669     -51.7689
      69     -91.6541     -52.4928
      70     -86.2978     -57.6110
      71    -100.6437     -40.3452
      72     -97.5009     -37.0622
      73     -96.9554     -54.1023
      74     -73.8411     -45.4932
      75     -93.2240     -31.8029
      76     -82.6958     -37.6145
      77     -85.6266     -61.9977
      78     -90.0799     -57.6426
      79     -76.1324     -26.6775
      80     -79.7728     -54.6201
      81     -93.4253     -55.1599
      82     -58.7898     -53.3979
      83     -63.5286     -41.5451
      84     -90.5340     -52.9699
      85     -72.6128     -49.6457
      86    -105.5345     -47.5236
      87     -89.9039     -47.7850
      88     -91.9641     -60.9753
      89     -83.0149     -60.7808
      90     -82.8773     -40.1448
      91     -82.4409     -49.0194
      92     -95.6990     -46.1665
      93     -73.1844     -33.8517
      94     -75.8224     -52.4238
      95    -115.2294     -40.4063
      96     -67.0657     -59.2891
      97     -75.4159     -50.0525
      98     -76.0794     -33.8847
      99     -73.1032     -29.4051
     100     -88.0969     -54.4759
     101     -73.9675     -61.5633
     102     -95.0890     -46.6914
     103     -66.3927     -46.9879
     104     -69.6232     -49.9045
     105    -111.3202     -69.8056
     106     -74.7055     -47.9877
     107     -77.6505     -41.8476
     108     -83.4309     -43.5719
     109     -92.6620     -54.7309
     110     -73.0334     -47.8074
