#Frame           phi1         psi1
       1     -58.8991     -20.9637
       2     -82.2287     -13.2734
       3     -75.9981      -8.0764
       4     -77.1739     -17.8266
       5     -55.1797     -24.4902
       6     -67.6824     -22.6158
       7     -67.1560     -17.9904
       8     -62.3281     -31.5098
       9     -49.8864     -24.2280
      10     -52.4273     -24.5116
      11     -51.0658     -29.1347
      12     -64.1881     -20.4271
      13     -60.9019     -23.1184
      14     -70.3943      -1.6627
      15     -63.2930     -15.9017
      16     -75.6075     -10.7448
      17     -70.7930     -10.1637
      18     -57.4296     -37.9388
      19     -77.5478     -15.0854
      20     -65.7153     -24.6594
      21     -75.7666     -13.6528
      22     -70.1868     -16.8193
      23     -57.7746     -17.6544
      24     -75.6253     -13.2114
      25     -69.4067     -24.0045
      26     -69.0616     -12.0615
      27     -81.0439      -6.3163
      28     -77.5648     -31.4293
      29     -66.1057     -11.4993
      30     -55.4752      -7.9596
      31     -56.8846     -29.2211
      32     -75.0943     -21.8421
      33     -91.9409      29.2508
      34     -82.8425       6.3479
      35     -69.2954      -3.4389
      36     -73.5514      -8.7491
      37     -71.7668     -23.7575
      38     -64.3249     -12.3173
      39     -84.0268     -10.5002
      40     -82.3371     -10.7244
      41     -83.2958       1.8315
      42     -94.3395       2.5654
      43     -98.2860       7.5417
      44     -81.9412      17.4835
      45     -69.4841     -11.9577
      46     -68.8898     -24.2001
      47     -81.4684     -33.2411
      48     -74.9969      -8.4261
      49     -54.7642     -23.7707
      50     -79.9682      10.1147
      51     -78.1258     -10.1748
      52     -80.1984      -6.4905
      53    -104.8203      12.1943
      54    -101.7838      -0.1627
      55     -69.5527     -23.0308
      56     -80.6433     -18.7877
      57     -69.4227     -16.6856
      58    -136.8986       1.3926
      59    -136.1892       8.7886
      60    -120.8691      17.6330
      61    -120.2093      12.4194
      62     -80.0303      46.8820
      63     -86.0453      -3.6256
      64     -96.1406      -4.7780
      65     -74.5385      -3.6231
      66     -81.0051       8.5062
      67     -92.2449      -2.7856
      68     -86.1704     -10.0222
      69     -66.5995     -30.1240
      70     -81.4971      -8.6584
      71     -75.0242      -5.6165
      72     -60.0382       0.3997
      73     -80.1449     -14.4059
      74     -79.7481      -8.3289
      75     -73.1813     -33.9372
      76     -69.1561     -40.8506
      77     -68.9887     -26.5599
      78     -78.8525     -14.3358
      79     -89.4032     -23.9389
      80     -64.5902      -5.6823
      81     -79.9048     -22.7159
      82     -88.3881      -8.9134
      83     -84.5702      -3.9014
      84    -100.5266     -13.9156
      85    -106.1883     -20.3699
      86     -81.4132     -19.3570
      87     -86.2737     -21.3900
      88     -97.1672     -19.7276
      89     -98.4348       6.9988
      90     -76.8922      -4.1274
      91     -90.0078      -0.2709
      92     -70.7806     -41.9043
      93     -92.9530     -12.7274
      94     -93.2050      13.8939
      95    -101.9576      -3.0216
      96     -98.7915      16.3158
      97     -69.8753     -17.4080
      98    -103.1972      -6.9461
      99     -87.6008     -23.7356
     100     -69.1764     -26.6031
     101    -101.5121     -33.5161
     102     -86.0706     -38.1685
     103     -86.8315     -40.2782
     104     -85.2716     -69.0419
     105    -108.6048     -49.4731
     106     -88.9227     -56.4228
     107     -66.0872     -47.7462
     108     -69.5162     -30.5709
     109     -90.7766     -58.5544
     110     -68.4098     -69.3062
     111     -50.6022     -40.7515
     112     -70.3812     -51.8716
     113     -69.2419     -46.7090
     114     -90.3149     -25.7729
     115     -93.2471     -46.8862
     116     -85.2247     -52.3323
     117     -97.6948     -48.6317
     118     -87.1880     -49.9536
     119     -62.1712     -33.3192
     120     -57.3149     -70.7263
     121     -71.9846     -45.8680
     122     -69.2624     -60.5397
     123     -71.4540     -55.8740
     124     -60.7840     -47.5171
     125     -66.4560     -61.7835
     126     -66.3492     -49.8042
     127     -67.5453     -45.9765
     128     -73.4276     -51.7522
     129     -40.9900     -52.0790
     130     -49.2311     -41.0592
     131     -69.3850     -37.8059
     132     -71.0186     -48.2447
     133     -73.9503     -50.1409
     134     -69.1273     -50.1848
     135     -94.1964     -45.9575
     136     -69.5690     -51.4143
     137     -74.4445     -32.3283
     138     -75.4443     -58.1880
     139     -73.8342     -54.7349
     140     -60.7904     -62.9465
     141    -110.1838     -46.9347
     142     -70.4724     -37.9043
     143     -58.3207     -47.8983
     144     -74.0829     -41.4235
     145     -67.9463     -34.3537
     146     -69.9437     -22.8631
     147     -67.5801     -49.7800
     148    -101.6208     -50.9960
     149     -62.8870     -64.7359
     150     -64.2079     -60.3658
     151     -68.5548     -67.1357
     152     -67.8497     -62.2992
     153     -73.2192     -49.7275
     154     -80.3493     -55.7125
     155    -103.4086     -44.1386
     156     -84.0520     -53.8832
     157     -70.9149     -44.0919
     158     -84.4086     -38.6867
     159     -79.7869     -22.4616
     160     -67.1822     -58.7378
     161     -57.0106     -52.9880
     162     -91.9812     -72.2315
     163     -82.1140     -54.2506
     164     -83.8031     -45.5665
     165     -58.1135     -60.1840
     166     -63.6824     -62.3823
     167     -90.6216     -46.3727
     168     -89.9533     -62.4344
     169     -89.4629     -54.2360
     170     -61.7448     -60.9743
     171     -69.8814     -69.0897
     172     -60.1730     -46.5423
     173     -64.1544     -43.9651
     174     -95.1865     -65.2577
     175     -80.1621     -41.9794
     176     -85.9898     -59.3721
     177     -90.7139     -41.2465
     178    -118.5822     -40.7526
     179     -91.8089     -57.2389
     180    -136.0636     -46.3196
     181     -98.8194     -38.0585
     182     -82.0180     -43.8648
     183     -58.6309     -56.2464
     184     -88.3763     -67.7433
     185     -76.8528     -57.2085
     186     -83.4281     -35.5164
     187     -55.1164     -45.6565
     188     -73.2175     -37.5026
     189    -100.4131     -63.2385
     190     -85.9190     -35.4514
     191     -79.0886     -28.5005
     192     -70.3275     -38.9769
     193     -67.6634     -44.9893
     194     -57.2744     -51.0301
     195     -52.4990     -34.9817
     196     -79.9839     -29.7611
