#Frame           phi1         psi1
       1     -50.5295     -29.8138
       2     -61.9118     -38.9327
       3     -68.8771     -22.6018
       4     -62.4352     -32.7558
       5     -57.0654     -34.4690
       6     -43.9961     -33.9415
       7     -77.7791     -10.6363
       8     -78.8746     -13.4921
       9     -77.8594      -3.2831
      10     -74.6110     -50.0106
      11     -80.1248       2.7087
      12     -83.4762      -8.5956
      13     -73.4549      -0.8125
      14     -71.9238     -16.9086
      15     -78.7833      -5.6596
      16     -84.6533     -10.6569
      17     -71.9705     -43.2209
      18     -71.8563     -42.0374
      19     -55.5582     -44.2683
      20     -79.1154      -0.2782
      21     -69.8268     -27.7527
      22     -71.1084       2.5356
      23     -86.4642     -11.6782
      24     -77.7103     -13.2418
      25     -77.0243     -22.4386
      26     -82.3656     -13.4966
      27     -56.3287     -28.9789
      28    -103.9953       4.6250
      29     -81.7358       0.8245
      30     -76.0051     -20.4183
      31     -91.5503      -1.3298
      32     -79.7927       9.9115
      33     -73.7881      -7.2142
      34     -85.9552      -9.2904
      35     -92.2688       0.7930
      36     -99.8013      15.7116
      37     -76.2696      -7.9591
      38     -87.4004      10.5326
      39     -82.3981      -1.7903
      40     -83.7217     -13.0401
      41     -82.1043     -23.8910
      42     -83.9450      -8.4124
      43     -83.5300       5.1673
      44     -82.9367       8.3636
      45     -83.6119       4.8632
      46     -89.5572     -14.4883
      47     -90.2619       6.3378
      48     -76.9583       6.2884
      49     -78.0032      -4.4103
      50     -92.9922     -11.1567
      51     -77.4336     -10.0707
      52     -84.7430       6.8391
      53     -79.2704     -18.0724
      54     -90.0859      -2.5601
      55     -82.4133      -8.1892
      56     -91.6115      14.1159
      57     -82.5116      13.4885
      58     -63.3918     -13.3208
      59     -77.0616     -35.6361
      60     -76.9550     -10.8034
      61     -66.9711     -20.1693
      62     -56.2025     -25.6790
      63     -50.2528     -34.5313
      64     -75.5893     -17.5504
      65     -82.3304     -30.9033
      66     -80.3434     -10.7960
      67     -76.8032      -1.6563
      68     -77.1319      -9.6281
      69     -70.0862     -30.9652
      70     -81.7176     -16.1885
      71     -84.2250      -3.6914
      72     -87.1603     -16.6224
      73     -98.8157     -17.3896
      74     -89.2718     -17.8372
      75     -63.9764     -44.4022
      76     -90.7933       6.2824
      77     -72.2562     -20.8313
      78     -81.2175       0.0821
      79    -101.3783       2.0210
      80     -94.5523      18.9344
      81     -96.9512      -3.0379
      82     -93.8599       3.9086
      83     -81.7708     -13.6844
      84     -91.7827      -5.6826
      85     -84.0910       1.6249
      86     -63.8838     -41.6887
      87     -70.6529     -24.0103
      88     -83.5393       6.9390
      89     -86.3831     -10.4682
      90     -67.6594     -15.6729
      91     -83.1772      -6.5392
      92     -70.7628      -6.9629
      93     -74.7348     -19.8171
      94     -52.4885     -28.0054
      95     -77.9832     -18.7850
      96     -73.7974     -24.8555
      97     -95.0137     -28.9150
      98     -81.4051     -15.6302
      99     -75.8308     -21.4453
     100     -65.4664     -38.9916
     101     -83.2516     -22.9388
     102     -52.4321     -34.7430
     103     -74.9372     -27.8623
     104     -83.2813      -9.0954
     105     -68.8110     -16.4551
     106     -89.2159     -25.1421
     107    -102.1591      -7.1743
     108     -83.8525      -1.0236
     109     -95.4589       4.3796
     110     -82.0506      10.8564
     111     -95.2082      12.4128
     112     -81.3297     -14.5860
     113     -94.4206     -16.1400
     114     -92.1134      -8.2246
     115     -89.7225     -19.3420
     116     -86.4533     -23.8700
     117     -82.1645     -27.1605
     118     -88.5665       5.8303
     119     -86.6635     -12.5466
     120     -78.4401     -26.2975
     121     -86.7999       1.6866
     122     -85.8800     -26.0532
     123     -83.0345     -19.7612
     124     -64.5711     -16.1629
     125     -83.1743      -3.4241
     126     -93.7110      -0.7425
     127     -91.5672       0.4443
     128     -84.0298       5.5687
     129     -84.6230      -4.1407
     130     -86.8860      15.1021
     131     -76.9716     -21.0660
     132     -83.1355     -30.2229
     133     -63.9465     -19.9022
     134     -62.3457     -34.8463
     135     -68.7976     -24.5125
     136     -59.9574     -47.6482
     137     -60.0441     -25.4756
     138     -71.1222     -11.2766
     139     -89.1818       3.4137
     140     -80.8597      -6.6730
     141     -66.3843     -34.1266
     142     -83.9204     -37.9548
     143     -67.6799     -27.0631
     144     -65.0157     -23.2854
     145     -86.7716      11.9611
     146     -77.2897      10.2065
     147     -78.6053       3.3333
     148     -82.4386       0.7774
     149     -80.4955       6.4498
     150     -74.1852      -4.3580
     151     -70.0365     -20.1291
     152     -82.0101      -0.6207
     153     -64.4288     -22.8764
     154     -79.0771     -34.1821
     155     -88.5610     -24.2848
     156     -64.2868     -45.1905
     157     -76.8037     -18.8090
     158     -72.0048     -32.2917
     159     -89.6039      -9.7923
     160     -93.3433     -11.4830
     161     -77.8686     -30.1825
     162     -95.3786     -18.0073
     163    -100.8513      -1.2614
     164     -84.6518     -10.3794
     165     -75.8326     -20.3687
     166     -70.0454     -22.6409
     167    -108.7801     -38.8335
     168    -106.7664     -33.6275
     169     -72.4331     -31.4436
     170     -79.9885       0.3571
     171     -85.8438     -28.1259
     172     -73.0840     -13.2639
     173     -80.9879      -7.4421
     174     -71.0272     -30.2256
     175     -82.6019     -15.9178
     176     -73.2842     -17.4120
     177     -77.9370     -16.9571
     178     -77.5174      -2.3613
     179     -85.9110     -29.9088
     180     -70.7244     -35.0657
     181     -64.2390      -1.0335
     182     -78.8758     -15.8378
     183     -75.6297     -25.3267
     184     -74.7252     -32.7160
     185     -68.6150     -22.1968
     186     -75.3888     -13.1520
     187     -88.5624      -8.1835
     188     -83.5448      -6.0669
     189     -87.0303      -8.2650
     190     -74.2193       3.0417
     191     -77.5959       3.0882
     192     -79.7960       0.8543
     193     -75.5240     -13.4349
     194     -68.4990     -26.4501
     195     -86.2975     -16.6317
     196     -72.9730     -14.1676
     197     -79.6536     -17.4634
     198     -90.7408     -14.0474
     199     -76.5847     -19.9666
     200     -69.8866     -36.2914
     201     -65.7818     -41.2729
     202     -78.3633     -20.5447
     203     -75.2400     -22.3310
     204     -74.0899     -27.3623
     205     -73.9667     -11.0420
     206     -75.0454     -13.2403
     207     -76.4891     -22.7905
     208     -74.2719     -24.6720
     209     -86.8822     -26.5257
     210     -71.6052     -12.7579
     211     -87.9329     -18.0800
     212     -72.3320     -16.6152
     213     -88.1099      -2.9464
     214     -77.3220     -29.1935
     215     -74.0439     -29.3063
     216     -64.9392     -37.8673
     217     -72.2984     -43.3257
     218     -75.8941     -43.7890
     219     -49.3661     -36.4857
     220     -68.4775     -32.6718
     221     -72.6453     -21.9540
     222     -72.5839     -32.3796
     223     -70.8128     -39.6546
     224     -78.1035     -11.5579
     225     -81.7412     -13.6596
     226     -68.7428     -32.4943
     227     -53.8461     -18.7005
     228     -74.2266     -12.6157
     229     -77.1044     -20.0173
     230     -77.9970     -23.8303
     231     -78.0487     -36.0517
     232     -77.4472     -20.4435
     233     -68.7912     -36.1734
     234     -66.2716      -7.3379
     235     -65.1845     -11.0085
     236     -73.0116     -30.6938
     237     -72.3262     -26.9144
     238     -74.1319     -32.0873
     239     -67.2101     -12.3134
     240     -72.0898     -26.9856
     241     -82.1960      -6.5656
     242     -68.3757     -26.6680
     243     -91.9013       2.0949
     244     -89.0875       7.8035
     245     -84.0114       0.3406
     246     -87.6233      -2.2244
     247     -82.5340     -12.2103
     248     -69.0146     -24.1705
     249     -86.3270      -8.9369
     250     -72.9391     -23.6346
     251     -75.5719       2.7664
     252     -86.3716      10.2196
     253     -88.1884      -8.7899
     254     -55.7151     -32.5127
     255     -86.5917     -28.1072
     256     -83.6958      -2.4339
     257     -72.9361     -13.0665
     258     -74.8499     -18.1513
     259    -103.4802     -21.1160
     260     -73.1411     -31.6940
     261     -68.7501     -31.1142
     262     -76.7337     -16.1784
     263     -93.2081       1.2452
     264     -83.4576       1.0240
     265     -97.7134       6.0176
     266     -82.6878      47.9265
     267     -99.1889      62.6217
     268    -110.7415      37.2876
     269    -118.9886      59.8900
     270     -92.0330      64.5805
     271    -112.9020      73.2640
     272    -108.2020      48.6718
     273    -118.4050      74.0580
     274     -90.5369      63.1219
     275     -83.1761      56.9411
     276     -93.5901      79.6619
     277    -104.4685      54.0641
     278     -86.2146      60.2691
     279     -89.2492      48.9981
     280     -84.8996      64.9623
     281     -78.2933      66.7813
     282     -78.5269      65.0008
     283     -85.4786      95.4326
     284     -94.8826      87.9757
     285     -80.2820      81.1132
     286     -83.8343      88.7547
     287     -87.2945      95.7786
     288     -71.9211      94.0243
     289     -78.2461      75.4229
     290     -64.2830      89.6913
     291     -67.2866      72.5398
     292     -80.1815      79.1140
     293     -83.8676      94.6008
     294     -69.6361      66.5777
     295     -84.8427      77.0528
     296     -84.4820      76.4158
     297     -95.6985      89.9215
     298     -71.3176      77.0158
     299     -77.4948      89.6166
     300     -73.4584      95.5952
     301     -75.1208      75.5630
     302     -70.7317     107.5461
     303     -72.1553     107.3448
     304     -78.2287      92.8702
     305     -83.2085      98.3473
     306     -80.6290     112.6779
     307     -88.9603     114.1400
     308     -81.1661      85.1422
     309     -74.8585      78.4377
     310     -80.7195      71.6360
     311     -83.2541      85.9707
     312     -82.7997      77.2372
     313     -87.6249      79.3916
     314     -78.9768      90.1870
     315     -54.3688     111.9373
     316     -86.1548      88.5052
     317     -85.2481      84.8977
     318     -80.3119      66.8736
     319     -81.7184      72.0337
     320     -77.5244     108.5687
     321     -81.9944      85.8564
     322     -85.5610      64.5285
     323     -84.5581      78.0837
     324     -89.6150      84.2017
     325     -78.9504      81.5189
     326    -112.3592      77.7497
     327    -127.2152      84.8027
     328     -88.2635      91.4320
     329    -105.6059     102.3808
     330    -117.3668      80.5558
     331     -96.5898      89.7448
     332    -100.3857      80.1105
     333    -102.6688      85.7955
     334     -78.8734      79.3412
     335     -89.6944      74.0788
     336     -82.7390      87.7397
     337     -93.3451      88.8325
     338     -81.9040      92.1235
     339     -90.5322      72.2567
     340     -83.1007      85.1950
     341     -65.9877     116.9964
     342     -67.9729     119.0788
     343     -75.7762      84.8760
     344     -85.9888      91.0822
     345     -77.9620      85.6011
     346     -80.5025      80.3982
     347     -75.9013      67.1122
     348     -76.5931      73.0352
     349     -72.3743      73.3571
     350     -72.2291      76.8675
     351     -76.3026      84.4473
     352     -77.0204      73.1598
     353     -80.8678      88.8794
     354     -71.8523      80.5105
     355     -85.9120      85.0206
     356     -76.1656      83.4826
     357     -82.4699      71.4022
     358     -86.3395      81.9040
     359     -76.6036      86.3065
     360     -90.0945      98.3836
     361     -77.9036      86.6010
     362     -80.4124      84.5245
     363     -80.7567      97.3410
     364     -95.7666      92.4619
     365     -77.0302      93.9560
     366     -77.0267     107.0793
     367     -75.2275     126.2141
     368     -78.4916     108.3776
     369     -69.5069     110.5878
     370     -99.8259     144.2527
     371     -94.4947     127.2478
     372     -84.9506     117.4406
     373     -85.6449     134.2027
     374     -76.1271     112.9547
     375     -86.5518     119.9218
     376     -93.9813     121.3675
     377     -94.1051     135.5428
     378     -85.9822     115.9713
     379     -75.9501     109.5116
     380     -98.7410     115.6855
     381     -86.0858     124.6720
     382     -86.6965     134.6821
     383     -91.1860     132.2950
     384     -82.4835     135.3432
     385     -79.2274     119.6693
     386     -82.7206     131.2222
     387     -68.4289     126.2333
     388     -97.8051     127.6729
     389    -100.1565     138.0747
     390     -77.3796     122.6471
     391     -94.0283     115.6021
     392     -89.4630     124.9851
     393     -85.4639     111.2893
     394     -86.6457      97.0409
     395     -65.9765     113.8554
     396     -70.4433     132.4392
     397     -77.9120     123.1282
     398    -109.1379     117.6838
     399     -97.5018     102.6934
     400     -65.3576     118.4670
     401     -89.6750     114.4946
     402     -97.8842     104.9303
     403     -93.0346     102.7325
     404     -93.3934     111.9765
     405    -109.1466     108.1728
     406    -101.2072     105.9380
     407     -76.0794      90.9403
     408     -73.2549     112.3870
     409     -74.2792     107.3158
     410     -91.3696     117.3855
     411     -87.0709     116.3493
     412     -92.5025     104.9408
     413     -77.8435     105.2823
     414    -103.8831     111.7149
     415     -83.5089     106.8478
     416     -80.8212     127.3262
     417    -102.0145     114.3837
     418     -84.8784     111.4866
     419     -80.2167     102.6437
     420     -77.0511     108.1493
     421     -83.5245     117.5233
     422     -94.2232      96.5562
     423     -98.5487      95.3856
     424     -64.2113     112.6123
     425     -90.4460     105.7987
     426     -84.6073     119.0667
     427     -82.6697      96.9638
     428     -76.4363      92.3514
     429     -98.3914     114.0952
     430     -74.2978      87.9194
     431     -74.6923      88.9169
     432     -95.1098      98.4563
     433     -89.1778      93.7155
     434     -92.3992     114.1777
     435     -96.4622     108.5276
     436     -93.7407     117.4395
     437     -92.9274     115.4587
     438     -89.9879     132.9743
     439     -98.6233     102.1818
     440     -88.8087      97.3176
     441     -99.4444     108.7025
     442     -95.9047     113.5641
     443     -90.0657     122.6526
     444    -103.0583     119.0026
     445     -85.4987     119.0434
     446     -86.4065     121.5892
     447     -95.7833     102.8205
     448     -90.9514      84.2281
     449     -79.4167      74.4832
     450     -78.9997      86.9517
     451     -73.4906      85.6407
     452     -80.4199      71.4284
     453     -75.5362      85.0992
     454     -83.4847      78.7775
     455     -84.0866      75.1916
     456     -77.5935      84.3870
