#Frame           phi1         psi1
       1     -92.4976     131.0811
       2     -57.1202     129.1105
       3     -66.8656     140.1441
       4     -61.4308     129.8375
       5     -79.7682     142.3662
       6     -67.2245     150.8827
       7     -70.3095     174.4382
       8     -64.9448     146.9470
       9     -69.1705     147.9722
      10     -97.6123     159.5096
      11    -100.0021     135.7647
      12     -95.4632     155.0038
      13     -70.2708     134.6776
      14     -72.1574     146.4158
      15     -71.0413     175.7538
      16     -72.0777     147.1357
      17     -73.5615     149.0410
      18     -66.9121    -176.5826
      19     -66.0229     150.4761
      20     -82.0331     163.3073
      21     -71.6153     164.1431
      22     -86.2502     160.2424
      23     -81.3467     154.3127
      24     -91.8929     147.3722
      25     -72.9574     135.8149
      26    -111.9819     150.5669
      27     -80.1689     158.1949
      28     -89.1402     146.1616
      29     -85.5433     124.6896
      30     -82.0268     150.0264
      31     -88.1930     138.6097
      32     -83.7983     152.6928
      33     -85.6977     155.0840
      34     -80.3442     159.9261
      35     -59.4560     145.3081
      36     -73.9257     140.0311
      37     -79.1201     137.2804
      38     -73.2664     152.8893
      39     -73.0533     152.1677
      40     -83.2696     158.1825
      41    -113.1551     141.6224
      42     -83.3257     156.2308
      43    -104.1457     133.7154
      44     -77.2674     145.8519
      45     -67.2866     131.2313
      46     -65.9014     139.0832
      47     -77.2529     150.3348
      48     -61.9706     144.3153
      49     -69.6342     141.5676
      50    -104.3329     144.2407
      51     -70.4573     153.3101
      52     -75.4718     130.2929
      53     -71.7446     133.2099
      54     -79.5806     136.6367
      55     -82.7907     146.5033
      56     -76.5972     154.4218
      57     -80.9545     141.5225
      58     -73.8754     135.4283
      59     -82.2916     121.8539
      60     -82.8654     138.9514
      61     -76.2300     132.6976
      62     -96.6665     127.5318
      63     -90.9640     123.5029
      64     -98.2952     120.6115
      65     -62.0980     132.3447
      66     -81.3871     128.7363
      67    -100.5128     123.2816
      68     -85.2278     139.1011
      69     -68.1279     138.9574
      70    -102.2108     125.7840
      71     -76.4797     145.6364
      72    -100.3159     127.1020
      73     -85.5417     139.9701
      74     -92.7591     135.6795
      75    -103.4566     136.7463
      76     -92.3132     139.2675
      77     -71.6295     140.0767
      78     -90.2335     142.1507
      79     -90.6388     154.6855
      80     -97.4966     120.0756
      81     -88.6334     146.4158
      82     -97.0697     145.0922
      83     -81.0836     126.9306
      84     -73.9927     131.8845
      85     -81.8122     160.4468
      86     -91.7221     141.5594
      87     -81.3813     145.3772
      88     -99.2578     133.9580
      89     -56.0038     133.9918
      90     -68.0937     137.5567
      91     -80.7122     145.0822
      92     -90.6159     145.0292
      93    -107.2258     133.9437
      94    -101.9308     128.4964
      95     -91.6414     144.1782
      96     -66.1527     135.8200
      97     -98.6223     134.6255
      98     -94.6903     145.1044
      99     -63.2514     158.8629
     100     -70.7670     131.2810
     101     -80.5035     148.6655
     102     -80.7938     133.3926
     103     -77.0869     144.3092
     104     -98.5886     143.0795
     105     -77.0512     139.6411
     106     -78.0849     152.6839
     107     -75.3096     133.0561
     108     -81.1552     139.8055
     109     -79.8063     144.3208
     110    -108.3540     140.9532
     111     -91.2257     134.8876
     112     -78.6181     134.5452
     113     -59.1191     157.5405
     114     -78.6000     130.1869
     115     -70.8013     151.8693
     116     -76.8790     154.8632
     117     -74.2379     154.4690
     118     -76.8675     149.4139
     119     -77.2730     146.6752
     120     -89.8700     130.8682
     121     -91.3989     158.0148
     122     -76.3383     141.8601
     123     -93.7518     146.9619
     124     -62.1846     150.5316
     125     -67.5133     138.7605
     126     -56.6702     117.8339
     127     -73.1479     126.6060
     128     -71.6402     128.3732
     129     -70.9242     138.2399
     130     -55.4535     157.1826
     131     -64.1323     135.7017
     132     -57.6318     134.0135
     133     -64.8623     140.6282
     134     -68.3758     146.0091
     135     -73.1084     157.9493
     136     -83.7002     131.6815
     137     -67.7328     142.1848
     138     -74.4462     147.7539
     139     -67.2706     132.5320
     140     -58.0324     132.2260
     141     -80.5663     143.4390
     142     -77.5210     142.7503
     143     -64.9868     125.6707
     144     -56.9271     131.8928
     145     -86.1471     126.8193
     146     -83.3713     147.3803
     147     -93.7164     131.6333
     148     -78.1907     134.1680
     149     -63.0159     144.6048
     150     -75.2868     144.7905
     151    -102.2772     154.6074
     152     -71.6739     148.0589
     153     -87.3184     142.7464
     154     -85.5458     138.3415
     155     -69.0230     143.9960
     156     -74.3049     145.8682
     157    -106.9444     142.6986
     158     -84.7425     138.2619
     159     -83.5166     135.3854
     160     -72.8865     143.1747
     161     -84.1829     153.1898
     162     -68.6257     146.0579
     163     -96.9513     138.8431
     164     -69.7450     157.0066
     165     -88.0411     136.5601
     166     -77.0482     151.2435
     167     -85.9166     156.3604
     168     -72.1783     139.7419
     169     -76.8850     169.4661
     170     -85.1736     156.1249
     171     -86.2118     146.3233
     172     -77.2138     157.3995
     173     -92.0322     166.8504
     174     -68.4061     167.0307
     175     -78.6102     175.9188
     176     -66.8427     155.4721
     177     -74.6328     169.7802
     178     -61.2148     160.2330
     179    -107.9116     162.0101
     180     -74.6182     166.4272
     181     -86.8261     168.8632
     182     -78.6563     163.7046
     183     -93.4881    -174.5019
     184     -73.9738     157.4106
     185     -80.5652     159.4330
     186     -89.7459     168.8909
     187     -77.3788     174.9638
     188    -102.2253     161.0184
     189     -80.4076     152.9591
     190     -80.5154     151.0827
     191     -74.6340     148.9743
     192     -70.9333     168.5608
     193     -78.6935     152.9810
     194     -64.4789     155.5328
     195     -89.8830     158.6965
     196     -72.9443     144.1363
     197     -76.7029     151.4725
     198     -70.8855     174.5819
     199     -86.0910     158.1679
     200     -59.8291     155.4162
     201     -78.5971     166.6492
     202     -87.0820     146.4689
     203     -90.6902     159.2853
     204     -80.3642     153.6329
     205     -96.1705    -172.0642
     206     -70.8457     157.9090
     207    -101.4472     172.3630
     208     -90.3532     147.9616
     209     -74.5596     149.0004
     210     -84.3149     158.5083
     211     -78.5096     172.2785
     212     -87.9248     165.0709
     213     -73.5293    -177.6258
     214     -97.3866     160.8004
     215     -87.8061     162.7098
     216     -73.1512     154.0363
     217     -90.0945     165.8781
     218    -102.6271     169.9388
     219     -95.1179    -166.5923
     220    -106.2411     162.4456
     221     -80.1660    -176.2805
     222     -74.2582     160.3944
     223     -86.4959     170.5287
     224     -85.1528     177.9780
     225     -98.1915     170.4444
     226     -94.5606     163.4025
     227     -92.0847     144.7554
     228    -107.8174     150.4253
     229     -75.8667     156.1112
     230    -100.7504     149.0660
     231     -76.8127     155.5684
     232    -102.8946     154.1944
     233     -68.9956     159.6539
     234    -126.9561     162.5779
     235    -100.2030     154.7795
     236     -81.8860     157.8364
     237     -57.5723     167.9539
     238    -100.0614     176.2902
     239     -78.5770     173.7566
     240    -105.1065     177.9956
     241     -65.7518     161.3050
     242     -73.8935     172.8496
     243     -78.5093     155.4744
     244     -83.3865     161.7743
     245     -76.6843     178.5535
     246     -88.4684     163.0563
     247     -85.0991     174.3625
     248    -101.7022    -179.4966
     249     -86.1982     170.9703
     250     -91.0634     177.5757
     251     -86.8433     155.3292
     252     -81.9062     179.0011
     253     -70.2686     151.9153
     254     -87.9649     162.6249
     255     -94.4169     174.9163
     256     -97.6145     169.8759
     257     -73.4929     175.5047
     258     -79.7136     176.6625
     259     -75.9861     172.5111
     260    -102.5477     165.9011
     261    -106.0962     172.8758
     262     -90.1474     169.7664
     263     -84.2786     173.1571
     264     -78.8081    -178.9901
     265     -82.3272    -175.4284
     266     -75.0259     174.2103
     267     -87.0081     168.3445
     268     -67.6472     133.4869
     269     -94.2256     165.4205
     270     -78.9546     157.6002
     271     -59.1634     149.9460
     272     -80.3184     152.0809
     273     -77.7900     159.0236
     274     -90.8456     167.6886
     275     -68.8765     148.5047
     276     -67.6942     158.0043
     277     -80.3654     174.4631
     278     -95.2400     153.4765
     279     -87.7888     162.6604
     280     -86.9661     165.2434
     281     -99.8739     159.5700
     282     -98.5441     151.4018
     283     -93.8620     142.6719
     284     -67.0667     153.4380
     285     -91.0014     177.1434
     286     -69.6334     146.2121
     287     -86.7666     153.2806
     288     -76.7824     172.4405
     289     -74.3186     161.6309
     290     -99.7753     158.8653
     291     -77.5856     145.1512
     292     -87.2687     148.4018
     293     -83.8910     154.5488
     294     -75.3676     153.1863
     295     -79.0147     155.9780
     296     -95.6416     162.7934
     297     -95.5264     144.1909
     298     -77.4478     165.9270
     299     -67.2543     175.5914
     300     -67.7709     167.2161
     301     -71.2346     159.5467
     302     -92.5085     166.7015
     303     -84.8812     163.1788
     304     -74.8892     156.4576
     305     -81.0779    -176.4046
     306     -82.4339     156.8105
     307     -70.6889     167.7284
     308     -56.3017     166.0345
     309    -103.1794     160.7602
     310     -91.5058     145.4766
     311     -82.0634     136.2271
     312     -77.7222     142.6742
