#Frame           phi1         psi1
       1     -71.3448     153.9827
       2     -67.4913     100.9807
       3     -98.5642      94.9196
       4     -88.1007      90.0318
       5     -98.4063     103.4979
       6    -109.2683     114.0869
       7     -85.4644     142.8281
       8     -82.6943     106.5491
       9    -103.1080     139.2488
      10     -84.6540     142.1397
      11     -84.7295     128.0812
      12     -80.8305     132.7258
      13     -84.3035     134.6214
      14     -98.6255     138.7290
      15     -74.9521     132.2523
      16     -72.8009     117.2944
      17     -91.8150     137.0143
      18     -90.0971     160.4195
      19     -94.4324     134.0769
      20     -69.7151     143.0896
      21     -74.0766     141.4306
      22     -71.7554     146.4116
      23     -78.6656     157.8686
      24     -80.0240     146.1311
      25     -59.0566     149.0492
      26     -69.1330     140.4485
      27     -79.8086     154.7701
      28     -74.6588     147.6767
      29     -74.3631     135.2705
      30     -88.4907     128.7050
      31     -85.4362     112.0536
      32     -76.0647     130.3075
      33     -84.1608     134.4030
      34     -60.2246     124.2509
      35     -53.4558     135.4993
      36     -89.3707     142.7231
      37     -91.7163     120.0165
      38     -85.2391     158.8985
      39     -81.0085     137.8992
      40     -78.7322     155.7869
      41     -77.2489     176.7551
      42     -77.1203     138.1565
      43     -82.3054     138.2125
      44     -71.4529     150.1936
      45     -70.1694     147.2222
      46     -52.4135     142.2787
      47     -62.4492     139.3879
      48     -74.2515     138.4148
      49     -83.0329     134.6611
      50     -76.5000     143.2557
      51     -80.6862     146.2396
      52     -99.4528     132.1376
      53     -76.3544     133.0128
      54     -61.4403     137.3424
      55     -67.7626     131.1569
      56     -84.0482     138.6183
      57     -71.6633     142.0600
      58     -81.5163     125.5715
      59     -51.9826     140.1098
      60     -57.5870     143.4650
      61     -77.6650     131.2686
      62     -73.7143     128.3962
      63     -66.7914     123.0176
      64     -67.7277     121.1050
      65     -66.2262     129.2734
      66     -67.3728     147.5913
      67     -52.2730     142.0342
      68     -62.1867     144.9308
      69     -71.4889     142.2594
      70     -74.6135     150.4627
      71     -82.1358     130.8269
      72     -68.1934     129.0218
      73     -73.5870     141.4172
      74     -72.2023     147.5799
      75     -80.1411     147.1091
      76     -54.0250     143.4064
      77     -65.9698     157.4726
      78     -90.1321     159.0250
      79     -84.0932     156.1290
      80     -86.4457     146.1339
      81     -86.3089     162.4358
      82    -101.8973     161.0817
      83    -103.9270     162.3986
      84     -92.7149     154.6931
      85    -100.2101     146.2421
      86     -89.5050     144.7398
      87     -96.1059     133.2635
      88     -97.1519     148.5287
      89     -89.4736     140.4236
      90     -87.8835     158.7583
      91     -98.9499     160.9522
      92     -97.6380     144.0877
      93     -98.0584     143.3332
      94     -95.3484     140.9407
      95     -93.9582     156.6404
      96     -68.4473     153.2646
      97     -73.8190     144.6735
      98     -63.2978     133.6063
      99     -77.1725     142.3566
     100     -69.1561     150.7491
     101     -90.1904     146.9322
     102     -74.7472     143.9139
     103     -73.8600     160.4769
     104     -77.2768    -171.3232
     105     -74.0486     144.5878
     106     -87.7727     143.1374
     107     -71.4679     138.0389
     108     -87.4179     168.5703
     109     -63.6045     139.7410
     110     -70.2859     147.3393
     111     -72.8319     143.3613
     112     -82.4504     140.6134
     113     -61.8193     133.1418
     114     -64.8491     132.3187
     115     -79.7793     142.2467
     116     -59.9569     143.9834
     117     -53.8287     149.3610
     118     -68.9564     148.4309
     119     -59.4771     160.8591
     120     -73.5476     151.1142
     121     -63.7084     133.8755
     122     -77.8951     158.6226
     123     -79.7558     149.3670
     124     -87.8831     157.3050
     125     -73.9320     161.3094
     126     -75.7291     147.9689
     127     -76.5726     146.8087
     128     -75.4896     149.7224
     129     -81.5049     144.2343
     130     -59.2077     149.4061
     131     -80.0963     160.9564
     132     -66.6978     145.4586
     133     -65.8540     147.7206
     134     -67.4063     135.1937
     135     -82.3351     140.0001
     136     -58.8417     152.8463
     137     -82.6574     139.1299
     138     -70.0920     137.0258
     139     -61.6283     130.3211
     140     -80.7897     145.1614
     141     -84.4553     143.8426
     142     -52.6996     142.4296
     143     -74.4636     141.3071
     144     -76.2503     143.0167
     145     -69.3795     144.6385
     146     -75.0981     157.2171
     147     -65.9911     169.1025
     148     -54.7011     129.8795
     149     -67.4968     155.5259
     150     -91.4851     155.9119
     151     -80.5677     166.7336
     152     -98.3302     147.8295
     153     -81.2755     156.7610
     154     -68.9220     139.1517
     155     -71.5469     151.4272
     156     -68.8152     151.3108
     157     -75.2780     134.9081
     158     -63.7944     133.4345
     159     -80.7831     130.4155
     160     -64.6309     159.0453
     161     -55.5263     148.6851
     162     -66.0292     153.0809
     163     -73.8787     158.3515
     164     -82.9854     160.4440
     165     -71.6327     156.7651
     166     -89.6555     160.7061
     167     -77.6946     141.0613
     168     -84.2325     167.5605
     169     -92.4753     143.6285
     170     -69.9867     151.0176
     171     -71.6099     146.6464
     172     -65.1935     152.8189
     173     -68.2225     154.3451
     174     -61.9214     137.5901
     175     -86.7980     145.4400
     176     -77.7467     161.4614
     177     -63.3913     148.4445
     178     -65.6979     149.9953
     179     -59.0531     144.0205
     180     -60.2911     141.2441
     181     -72.5540     124.8733
     182     -67.5820     158.8908
     183     -77.7177     139.5219
     184     -69.3465     160.7089
     185     -74.4290     160.6572
