#Frame           phi1         psi1
       1     -64.9440     150.0679
       2     -69.9743     171.4830
       3     -89.5612     173.8315
       4     -83.4231    -177.9002
       5     -69.7305     161.8940
       6     -71.9238     138.6572
       7     -73.8216     162.9074
       8     -42.7685     140.4803
       9     -69.8913     166.7169
      10     -91.8186    -179.6031
      11     -93.5451     165.0631
      12     -58.2733     165.7257
      13     -78.9736    -168.5564
      14     -92.7840     176.1519
      15     -86.1747     169.9140
      16     -74.3701     159.3698
      17     -70.4349     164.5752
      18     -66.1670     172.2761
      19     -80.5183     171.2603
      20     -74.5844     158.1895
      21     -95.4811     163.9707
      22     -76.1467     158.2480
      23     -65.0070     158.6497
      24     -76.3296     126.0175
      25    -106.1718     148.4347
      26     -90.0421     163.6368
      27     -99.3339     147.8946
      28     -72.5676     160.6314
      29     -73.7501     150.5887
      30     -54.1140     154.5874
      31     -66.5429     162.2001
      32     -77.9711     152.7534
      33     -78.2932     171.0176
      34     -64.6992     150.7509
      35     -64.1167     139.5114
      36     -70.8604     150.2271
      37     -65.3856     156.6318
      38     -78.8139     137.4613
      39     -73.8993     171.6823
      40     -76.6254     152.6311
      41     -71.9920     152.4902
      42     -85.0052     154.2992
      43     -91.3455     147.3893
      44     -65.2806     150.3516
      45     -91.3235     160.4555
      46     -90.5047     146.6133
      47     -65.0467     157.5640
      48     -69.0679     154.8651
      49     -75.3555     166.5008
      50     -85.5233     159.8170
      51     -89.5525     162.4687
      52    -102.0036     159.9577
      53     -89.4803     153.4096
      54     -78.8241     169.5555
      55     -92.9949     170.9881
      56     -79.9425     175.6323
      57     -92.9741    -175.7385
      58     -85.7737    -171.2699
      59     -94.5612     178.6455
      60     -76.9590    -175.3816
      61     -82.8686    -174.1232
      62     -83.8240     159.8293
      63     -72.1356     171.8269
      64     -69.7423     165.5042
      65     -80.6784     171.9655
      66     -71.0712     176.1761
      67     -81.5352     169.6533
      68     -80.8951     158.9624
      69     -87.9960     144.3687
      70     -65.1488     155.5133
      71     -64.4238     135.8194
      72     -82.8550     143.9370
      73     -68.4434     153.9083
      74     -75.7694     148.0767
      75     -77.3105     148.4717
      76     -56.8492     128.0879
      77     -79.2827     129.5073
      78     -82.9863     166.3375
      79     -78.4599     157.4505
      80     -72.6823     151.0579
      81     -80.3164     177.9428
      82     -74.0394     161.7327
      83     -80.2313     160.5909
      84     -89.6663     167.1724
      85     -64.6188     165.3884
      86     -75.4611     151.9120
      87     -80.8318     149.0176
      88     -88.6943     175.6295
      89     -86.9163     171.2270
      90     -63.5517     163.9221
      91     -82.8958     153.3983
      92     -73.0783     177.4141
      93     -70.9712     153.4092
      94     -73.2095     145.9555
      95     -72.2691     154.3441
      96     -99.0003     158.3970
      97    -109.5409     157.5287
      98     -75.3743     160.2802
      99     -82.8122     176.6906
     100     -85.6444     171.4874
     101     -91.1027     156.8260
     102     -83.4171     157.5710
     103    -113.9270     155.5916
     104     -92.1517     166.4162
     105     -82.8036     153.1980
     106    -102.5914     154.7170
     107     -81.2113     157.5680
     108     -93.7171     157.4392
     109     -97.6550     159.2590
     110     -86.2166     154.9236
     111     -73.2377    -173.3615
     112     -80.1604     161.0384
     113     -73.6190     166.0708
     114    -103.2957     160.9034
     115     -94.1946     153.6106
     116     -85.4872     168.0566
     117     -94.0912     170.3617
     118    -101.4419     162.8400
     119     -84.2712     152.3736
     120     -95.4271     163.8450
     121     -69.3090     154.5040
     122     -86.9297     170.4692
     123     -72.7608     159.3520
     124     -76.9612     167.5616
     125     -79.5859     167.8765
     126     -97.9502     169.4244
     127    -112.3800     168.5604
     128     -57.3301     154.0417
     129     -56.5851     171.8616
     130     -61.9685     169.4860
     131     -74.5967     161.6713
     132     -71.9049     166.2789
     133     -91.1314     159.5450
     134     -92.8739     167.0524
