#Frame           phi1         psi1
       1     -85.9592     144.0638
       2     -82.4468     100.9187
       3    -116.9429     123.3967
       4     -70.1939     130.0555
       5     -71.9879     144.1487
       6     -76.4014     148.4679
       7     -82.4897     135.0416
       8     -72.6060     129.2637
       9     -95.8940     139.1335
      10     -88.1672     134.3311
      11     -76.7977     137.7895
      12     -79.1059     149.4913
      13     -89.2982     122.2990
      14     -71.4285     131.9446
      15     -57.7348     147.9859
      16     -74.1290     128.3760
      17     -67.0212     135.0227
      18     -70.7981     150.8288
      19     -83.4722     139.9691
      20    -105.7621     146.4415
      21     -66.8815     159.2255
      22     -72.3935     142.5999
      23     -62.5026     151.8419
      24     -70.2839     149.7598
      25     -82.6875     136.2756
      26     -73.6660     149.0179
      27     -69.7697     143.4405
      28     -76.6844     127.7265
      29     -56.8425     149.6348
      30    -104.9549     118.7575
      31     -74.8966     138.2471
      32     -90.2330     125.8150
      33     -71.1135     150.0393
      34     -67.8753     143.4803
      35     -84.0254     146.3906
      36     -92.4973     110.3589
      37     -71.2493     161.3175
      38     -75.1881     167.1637
      39     -74.8551     165.8238
      40     -74.8295     149.5693
      41     -73.4851     141.2639
      42     -86.4428     132.6862
      43     -87.2417     134.1181
      44     -75.9265     140.6973
      45     -80.2899     137.3431
      46     -73.4565     130.4890
      47     -69.0482     140.1189
      48     -87.2787     159.7541
      49     -80.5281     169.1658
      50    -101.2690     124.9641
      51     -77.8726     154.9756
      52    -100.5556     134.0969
      53     -85.5368     147.5750
      54     -78.8136     161.1431
      55     -79.0925     130.6636
      56     -78.5124     139.3662
      57     -97.8439     120.0450
      58     -77.6599     158.8719
      59     -74.4195     141.2271
      60     -71.5769     157.5547
      61    -102.1798     136.7271
      62    -101.3437     132.4952
      63    -105.3423     133.3519
      64     -74.6105     141.5993
      65     -70.8685     156.8220
      66     -74.9973     148.5855
      67     -79.7806     131.2348
      68     -82.2972     138.1527
      69     -70.0368     156.6396
      70     -81.3854     139.2718
      71     -75.1206     152.8639
      72     -55.3508     136.5064
      73     -82.5823     170.6145
      74     -68.6602     141.7330
      75     -60.3116     131.5167
      76     -54.9115     124.1719
      77     -73.5867     131.6402
      78     -80.8742     141.4233
      79     -71.8045     153.9389
      80     -70.1552     140.5016
      81     -78.0831     149.4488
      82     -67.6944     137.3373
      83     -77.7298     137.1135
      84     -98.6597     161.3712
      85    -113.0963     141.6296
      86     -62.9823     140.9145
      87     -98.9162     111.6703
      88     -83.4229     124.7541
      89     -64.9107     141.1793
      90     -91.8035     148.1319
      91     -67.4089     137.6470
      92     -89.3473     126.6410
      93     -84.8504     132.3681
      94     -61.0855     158.6979
      95     -76.2273     163.8817
      96     -69.8003     137.0896
      97     -67.7814     145.8325
      98     -72.6852     143.5331
      99     -66.5538     129.3286
     100     -54.9651     147.2788
     101     -52.5977     132.7922
     102     -77.6966     140.8902
     103     -89.6354     120.3630
     104     -72.3470     142.8844
     105     -76.0104     151.9554
     106     -72.4395     152.8605
     107     -77.6273     152.7980
     108     -84.6845     133.2735
     109     -64.6588     141.5501
     110     -66.6979     147.0114
     111     -67.2936     145.0780
     112     -64.9221     134.0814
     113     -63.6390     134.9037
     114     -85.5487     138.4386
     115     -63.8264     156.0329
     116     -73.3192     152.2471
     117     -65.3671     157.1006
     118     -64.2994     156.8873
     119     -64.7673     154.4673
     120     -53.7164     145.4687
     121     -63.5337     151.5619
     122     -62.4045     139.2850
     123     -64.8160     136.8456
     124     -50.4653     148.3763
     125     -66.3186     153.8468
     126     -69.4711     127.4778
     127     -51.5030     124.3927
     128     -64.7578     143.9473
     129     -74.7883     168.3229
     130     -62.5439     160.3001
     131     -58.4519     140.4068
     132     -58.4734     156.1005
     133     -48.3849     130.1627
     134     -66.3662     138.7076
     135     -72.7492     138.4291
     136     -61.6771     126.1759
     137     -50.0951     132.9634
     138     -68.4175     141.2159
     139     -67.4131     137.4831
     140     -67.4804     132.0884
     141     -72.0143     139.8753
     142     -61.3332     127.4589
     143     -57.6622     126.0858
     144     -47.7873     131.8782
     145     -67.4771     132.6578
     146     -83.2647     133.8727
     147     -55.8959     126.7070
     148     -80.9478     138.0424
     149     -70.2167     121.5872
     150     -82.8884     131.3224
     151     -71.2351     130.3663
     152     -81.2345     153.7144
     153     -77.0603     157.2624
     154     -58.9485     141.3174
     155     -79.5572     129.3878
     156     -57.0741     146.0428
     157     -66.7301     156.9203
     158     -71.2881     140.9190
     159     -63.1535     122.5783
     160     -65.6141     128.3084
     161     -87.5393     164.6261
     162     -69.8237     157.5577
