#Frame           phi1         psi1
       1    -129.4041     173.6938
       2    -155.3649     151.4754
       3    -173.3813     167.5280
       4    -156.8228     169.1125
       5    -164.4812     164.7985
       6    -169.5337     160.5079
       7    -172.8122     166.3436
       8    -150.4254     170.3833
       9    -169.3545    -174.8148
      10    -166.7183    -170.9158
      11    -155.7249     173.1953
      12    -148.8178     164.4137
      13    -152.2789    -179.2942
      14    -146.9802     166.4471
      15    -131.6177     152.8924
      16    -116.2605     171.4356
      17    -143.9352     178.2206
      18    -145.7749     143.6553
      19    -153.3870    -165.0462
      20    -139.5022     173.5239
      21     175.5259    -155.2826
      22    -100.4058    -161.6422
      23    -144.7567    -160.3866
      24    -121.3435     158.3641
      25    -142.6922     170.0981
      26    -160.1607     162.2007
      27    -142.6849    -157.9140
      28    -162.0083     156.6847
      29    -129.8941     164.3630
      30    -159.8638     171.1748
      31    -134.0704     167.7700
      32    -173.1652     162.3977
      33    -158.4341     170.0434
      34    -129.4129     154.2895
      35    -149.0078     171.4437
      36    -149.4105    -175.7667
      37    -170.1495     172.2587
      38    -127.3433     149.9465
      39    -126.4520     163.2164
      40    -138.6264    -173.9120
      41    -168.9509     178.8398
      42    -177.5819    -176.0914
      43    -131.8800     171.5657
      44    -152.7466     154.4283
      45    -168.7449     173.6922
      46    -121.0536     175.2291
      47    -137.5392     173.7256
      48    -161.3309    -172.0347
      49    -141.8949    -176.0789
      50    -159.4207     170.8447
      51    -154.7418     174.2030
      52    -146.9194     168.9558
      53    -156.9343     173.2421
      54    -117.9729    -178.2344
      55    -134.4142     160.6203
      56    -149.2778     168.5445
      57    -139.0433     161.6793
      58    -125.8836     151.0638
      59    -133.4078    -175.7315
      60     -97.3499    -176.0441
      61    -125.1806    -176.2348
      62    -146.4656     171.6066
      63    -146.6237     175.0314
      64    -157.4534    -175.0989
      65    -145.6027    -167.5073
      66    -148.1875    -151.7798
      67    -149.1993    -171.1907
      68     179.0978     176.1500
      69    -176.6244     170.0727
      70    -145.0031    -152.5217
      71     178.0400    -178.2759
      72    -140.2453     178.6669
      73    -178.4183    -175.3735
      74    -162.4900     174.1710
      75    -177.4015     162.7778
      76    -164.1834     166.5844
      77    -140.6145    -177.4432
      78    -170.2569     172.5149
      79    -125.1843    -168.3997
      80    -150.9993     164.2765
      81    -153.5023    -177.5117
      82    -169.2161     178.6323
      83    -157.6788     172.9834
      84    -176.3775     169.3545
      85    -159.5049    -166.7927
      86     179.1151    -175.8298
      87    -176.0324    -168.4416
      88    -168.2840     153.0882
      89    -159.7835    -167.4987
      90    -163.2581    -149.5153
      91    -157.3192    -172.0534
      92    -155.3666     172.0562
      93    -133.6991    -134.5028
      94    -161.2304     171.4439
      95    -166.8280    -171.2479
      96    -158.2759     161.7946
      97    -159.1800     174.1394
      98    -172.6769     171.7820
      99    -175.3015    -170.0197
     100    -172.1675     179.6343
     101    -155.5156     173.4086
     102    -161.0736     167.1328
     103    -161.1447     150.6412
     104    -160.8274     176.3423
     105    -157.1985    -176.3865
     106    -155.4958     165.0181
     107    -167.0613     158.3795
     108    -169.3869    -178.1352
     109    -153.1700    -148.0826
     110    -157.3649     177.2798
     111     174.9571     158.3739
     112    -172.8932     153.3030
     113    -156.1297     159.2868
     114    -161.7162     153.6135
     115    -152.7757    -176.0467
     116    -156.2038     152.0115
     117    -156.3159     175.9411
     118    -168.6435     172.0906
     119    -165.7697     172.3157
     120     178.8759     166.7630
     121     178.8451     156.7405
     122     178.2362     164.9575
     123    -174.7911     169.4771
     124    -160.6152     150.2846
     125    -169.6759     158.2506
     126    -156.7949     157.5740
     127     169.9736     157.7206
     128     175.3246     166.2674
     129    -160.7472     171.6734
     130    -176.1810     175.9269
     131    -169.6900    -172.4033
     132     176.0234    -166.8385
     133     179.1538     176.9885
     134    -166.9034     175.6233
     135    -144.3434     177.6153
     136    -168.9751    -175.6062
     137    -154.9656     168.7290
     138    -137.5448     174.2316
     139    -144.4256    -175.7124
     140    -150.6018    -175.8583
     141    -148.0457     141.8274
     142    -142.4257     157.7944
     143    -147.7926     151.3052
     144    -116.8129     166.8188
     145    -121.2416     151.2302
     146    -122.9801     153.0415
     147    -129.3422     145.6323
     148    -125.9345     155.6802
     149    -144.2632     160.3586
     150    -159.3053     164.4215
     151    -132.6592     160.9867
     152    -150.1990     153.2442
     153    -152.2279     159.9199
     154    -156.2393     151.6851
     155    -136.9648     159.2243
     156    -139.6349     143.9758
     157    -137.6653     145.2399
     158    -129.6405     152.4419
     159    -138.9532     173.8649
     160    -145.2367     151.4031
     161    -148.4685     154.6449
     162    -150.1634     159.8589
