#Frame           phi1         psi1
       1    -160.5465     167.1759
       2    -158.0759     170.3884
       3    -160.0590     157.7175
       4    -152.8992     168.0844
       5    -164.2067     141.6501
       6    -162.0280     155.4086
       7    -135.2338     151.2584
       8    -169.8829     175.4353
       9    -148.0865     166.9058
      10    -154.9873    -178.1914
      11    -164.8632     172.5196
      12    -161.3794     174.4410
      13    -169.5875     178.2096
      14    -171.9341    -172.4432
      15    -169.6601     179.2676
      16    -170.6807    -175.2329
      17    -162.0911     173.8395
      18    -165.4255     169.4739
      19    -165.2012     171.2522
      20    -163.7802     166.1144
      21    -167.2909     165.8535
      22    -154.7715     177.7218
      23    -158.9479    -177.9766
      24    -169.1479    -172.4001
      25    -150.1228    -177.2605
      26    -150.9618    -159.3486
      27    -170.3591    -168.4786
      28    -168.2230     176.2800
      29    -168.0573    -174.4675
      30    -161.2361    -179.4574
      31    -130.9861     161.9842
      32    -163.4752     165.0107
      33    -155.6984     167.3829
      34    -173.3369     153.8178
      35    -161.8850     164.1748
      36    -171.5037    -171.7289
      37    -167.3179     157.4885
      38    -161.2490     164.8844
      39    -155.7336    -177.5944
      40    -163.0012     155.9857
      41    -157.4376    -175.6823
      42    -148.8596     178.1713
      43    -133.3646     179.4939
      44    -150.0714    -168.8404
      45    -168.2711    -178.9485
      46    -167.0047    -147.0693
      47    -163.8566    -168.5966
      48    -154.8114    -164.4207
      49    -164.1316    -172.8485
      50    -155.1898     169.3552
      51    -161.1413     175.3189
      52    -160.5501     166.5290
      53    -159.5273     170.4080
      54    -154.9695    -173.6003
      55    -156.9586     172.4028
      56    -152.5021     159.9730
      57    -158.3315     177.5794
      58    -154.1192    -170.1732
      59    -164.5501    -179.3360
      60    -152.3560     178.7657
      61    -160.4502     175.7759
      62    -150.8876     176.5547
      63    -145.0111    -172.0885
      64    -140.7307    -175.4809
      65    -159.7625     162.4153
      66    -149.3423     159.7753
      67    -152.0936     168.6652
      68    -165.8976     155.9969
      69    -164.3399     163.2167
      70    -145.5759     167.8029
      71    -137.6529    -173.9035
      72    -170.5637     160.8461
      73    -158.3449     151.7850
      74    -166.2793    -179.0410
      75    -161.1982    -177.3225
      76    -141.6522     162.5321
      77    -154.0919     148.4174
      78    -132.4819     149.3424
      79    -133.6929     136.1334
      80    -133.2278     163.7549
      81    -119.3806    -178.1849
      82    -130.3556     136.6626
      83    -127.2357     147.4082
      84    -134.5851     150.0492
      85     -97.3062     127.4642
      86    -117.2386     153.1546
      87    -130.2953     155.1150
      88    -123.3041     150.1131
      89     -97.7294     159.1789
      90     -67.3778     140.0031
      91    -156.6911     155.8467
      92    -133.6864     145.0767
      93    -118.2422     159.2969
      94    -118.6157     142.0139
      95    -115.2071     153.7852
      96    -134.8926     157.1972
      97    -118.9064     149.8687
      98    -133.2197     138.7953
      99    -143.2100     161.6714
     100    -114.2324     178.2011
     101    -141.7723     150.6976
     102    -135.9279     170.5579
     103    -131.5160     167.7436
     104    -155.3206     142.0481
     105    -151.7418     150.0842
     106    -151.9587     150.1286
     107    -151.5129     165.3779
     108    -147.7529     175.1533
     109    -126.4865     170.8077
     110    -165.0333     148.2151
     111    -154.6933     157.1566
     112    -164.5979     164.2150
     113    -152.0079     166.0442
     114    -139.0054     168.0496
     115    -154.2098     172.0339
     116    -163.9835     168.7207
     117    -167.4095     176.9733
     118    -149.1124    -170.4948
     119    -155.7283     161.0046
     120    -154.1529     168.5833
     121    -178.3383     165.1463
     122    -169.6706     171.7509
     123    -163.5072     176.3329
     124    -171.0572     170.9960
