#Frame           phi1         psi1
       1     179.5011    -167.3112
       2    -161.0170    -175.0442
       3    -155.3060    -160.3221
       4    -163.5991    -164.7236
       5    -158.5067    -172.4974
       6    -153.3767     176.6383
       7    -160.3533    -170.7382
       8    -161.1116    -151.0249
       9    -159.5600     172.7738
      10    -157.6678     168.9624
      11    -171.6440     178.0746
      12    -175.5198    -165.5492
      13    -168.7237     175.1483
      14    -161.8392     169.2089
      15    -163.3731    -176.7107
      16    -120.3584    -178.7805
      17    -158.8408    -171.1305
      18    -153.0963    -169.0312
      19    -161.7000    -146.5102
      20    -170.4484    -176.3787
      21     176.8552     175.3572
      22    -157.0008    -169.7953
      23    -167.3350    -175.7713
      24    -179.5407    -173.6774
      25    -179.9614    -178.3828
      26    -160.5581    -149.3939
      27    -151.4715    -146.5795
      28     177.9219    -172.0214
      29    -170.8486     161.0646
      30     163.5370     170.0084
      31    -128.2846     158.5286
      32    -140.3526     156.2679
      33    -131.3559     160.2013
      34    -141.9361     159.5154
      35    -122.3783     144.6371
      36    -138.0381     176.7418
      37    -150.9795    -167.0973
      38    -147.7055    -161.6483
      39    -155.2666     164.4621
      40    -145.5323    -163.0764
      41    -133.9800    -160.0816
      42    -153.9529    -167.9583
      43    -147.3009    -177.0668
      44    -151.9162     178.2844
      45    -151.5494     170.3957
      46    -136.2114     179.8909
      47    -133.1517     162.5369
      48    -155.6597     159.8451
      49    -168.1588     164.1438
      50    -157.3337     178.2251
      51    -150.5879     165.6546
      52    -138.2987     165.0801
      53    -123.9432    -171.1781
      54    -141.8778     177.5477
      55    -125.5188     177.5389
      56    -119.0668     175.4899
      57    -154.6938     169.8746
      58    -153.1149     163.1155
      59    -126.5009     160.0717
      60    -161.5386     162.4204
      61    -160.1120     146.5472
      62    -154.8267     169.8845
      63    -143.0541     168.0076
      64    -144.8504     177.0300
      65    -138.1966    -171.4865
      66    -166.7170     169.5869
      67    -156.7549    -176.6244
      68    -160.4159     149.6516
      69    -157.0231    -173.1533
      70    -167.1673     165.9579
      71    -164.8555    -149.2683
      72    -153.7128     175.8454
      73    -154.1919    -176.7258
      74    -178.9677     157.3340
      75    -172.7046    -175.3752
      76     179.3267     172.6041
      77    -161.9096     176.6624
      78    -174.0712     174.4368
      79    -166.3871    -174.0942
      80    -150.4826     163.3828
      81    -155.5577     159.8681
      82    -156.2282     167.0561
      83    -148.2376    -161.4112
      84    -158.9356    -164.6037
      85     175.7231     166.8080
      86     175.2182     166.8008
      87    -169.6191     179.9161
      88    -165.1772     161.4441
      89    -161.6942    -156.7161
      90    -162.7852     177.8448
      91    -178.5418    -159.8153
      92    -173.9590    -173.7845
      93    -136.8416    -179.4165
      94    -147.4224    -171.5640
      95    -138.8791     147.0690
      96    -162.3005     168.5002
      97    -141.7826     165.8647
      98    -154.9512     149.3617
      99    -156.4857     167.0376
     100    -143.9068    -173.9791
     101    -165.9417    -174.6213
     102    -134.9822    -173.9863
     103    -154.0340    -179.4563
     104    -138.4255    -174.2783
     105    -142.3109    -163.4156
     106    -142.6792     179.3217
     107    -135.8244     178.7230
     108    -133.0172     164.0529
     109    -151.3828     172.1892
     110    -159.0890    -179.9323
     111    -149.7935     178.8014
     112    -166.6242    -179.7662
     113    -176.2949    -166.7859
     114    -152.3577    -162.8094
     115    -173.1128    -142.7853
     116    -153.9233    -156.5207
     117    -168.8936    -164.1624
     118    -174.1195    -146.6452
     119    -176.6706    -161.4168
     120    -150.1197    -155.6419
     121     161.0151    -150.7243
     122     159.4156    -139.8659
     123    -172.3430    -120.8401
     124    -156.5223    -115.7707
     125    -175.9628    -120.9738
     126     166.5024    -145.9044
     127     163.3268    -133.8586
     128    -169.8205    -111.4258
     129     170.9560     -75.1111
     130     179.8730     -49.6273
     131     174.9760     -50.8054
     132     136.0078     -42.3160
     133     154.7101     -39.6844
     134    -177.9530     -84.6828
     135    -174.1878    -109.5436
     136    -159.2022     -66.3691
     137     170.8583     -51.0252
     138    -174.4868    -112.0496
     139    -178.7822     -49.9742
     140     173.8296     -63.7189
     141      95.1673     -50.9570
     142      73.6934     -34.7849
     143     161.9678     -44.6326
     144    -176.5060     -39.6598
     145     167.4726     -31.5051
     146    -170.0321     -30.6405
     147    -163.2099     -80.1885
     148    -159.7999     -89.2917
     149    -174.9525    -128.8395
     150    -177.9798    -114.6853
     151    -153.1222     -98.7095
     152    -176.2912    -109.1038
     153    -170.7105    -119.6996
     154    -170.3091    -143.7929
     155    -167.5281    -132.3392
     156     178.1544    -152.6395
     157     179.7173    -137.0550
     158    -154.6149    -146.2136
     159    -172.8826    -162.4279
     160    -159.0810    -144.5231
     161    -157.9237    -137.0399
     162    -173.8358    -150.0094
     163    -171.5647    -155.1418
     164    -174.0325    -132.7390
     165    -154.0651    -137.0457
     166    -152.8103    -127.3613
     167    -163.4802    -128.0975
     168    -162.3743    -128.2878
     169    -165.2569    -172.2161
     170    -146.7674    -157.3464
     171    -146.8610    -158.6438
     172    -162.4981    -155.4208
     173    -119.0377    -159.3235
     174    -151.6889    -150.9917
     175    -149.1555    -162.3556
     176    -149.0710    -171.0605
     177    -140.1439    -157.3629
     178    -164.4022    -139.5764
     179    -159.8207    -142.3094
     180    -132.3561    -133.3878
     181    -136.1026    -141.2522
     182    -147.0736    -155.5518
     183    -134.3310    -148.6480
     184    -171.2655    -156.3020
     185    -133.9491    -149.9407
     186    -107.6713    -165.7088
     187    -153.3504    -171.0936
     188    -164.5778    -172.8986
     189    -173.7562    -176.2756
     190    -148.1897    -159.6227
     191    -158.1549    -152.6097
     192    -145.9972    -166.5994
