#Frame           phi1         psi1
       1    -167.6787    -148.2723
       2    -162.2672    -152.8832
       3    -161.2930    -150.0917
       4    -103.8877     176.7801
       5    -153.5112    -175.9580
       6    -169.4071    -150.5051
       7    -172.6773    -148.1745
       8    -138.6943    -138.1815
       9    -131.2043    -127.9475
      10     -95.2954    -145.5749
      11    -136.9261    -127.9252
      12    -124.1262    -157.3852
      13    -127.9831    -129.5323
      14     -99.1304    -150.5754
      15    -123.7683    -127.5694
      16    -122.3602    -143.8989
      17     -81.5147    -157.6375
      18    -143.3205    -116.2478
      19    -144.7269    -137.8854
      20    -134.1380    -133.2890
      21    -105.5278    -142.5722
      22    -147.9096    -130.9254
      23    -166.6879    -142.8120
      24    -117.1685    -128.6734
      25    -157.2415    -142.7867
      26     -78.6449    -151.1670
      27    -150.0209    -152.4951
      28    -112.2503    -132.5578
      29    -158.5579    -138.6179
      30    -151.5135    -150.3322
      31    -146.9630    -122.4046
      32    -133.7392    -130.9172
      33    -131.0075    -150.8036
      34     -83.5393    -143.9109
      35    -101.7806     -90.4778
      36    -135.4996    -141.9909
      37    -171.0480    -128.6641
      38    -106.7988    -139.7867
      39    -162.8870    -174.9548
      40    -172.3027    -162.7403
      41     164.0730    -153.4144
      42    -170.8653    -132.8136
      43    -105.0642    -145.0994
      44     -79.4106    -142.2986
      45    -101.7448    -146.3322
      46    -153.1637    -145.6160
      47    -103.6890    -155.9527
      48     -98.1922    -156.2586
      49    -100.9061    -138.1279
      50     164.5216    -153.0433
      51     161.8389    -145.0670
      52    -104.1420    -131.7418
      53    -100.9940    -122.3168
      54    -118.1264    -138.6135
      55    -110.6696    -146.7522
      56    -126.0193    -129.6616
      57     170.5508    -148.2049
      58    -138.0794    -120.1750
      59     -85.7504    -141.8633
      60     -96.7726    -138.6468
      61    -141.4035    -140.0907
      62     164.7163    -149.9881
      63     174.2264     -71.6221
      64     165.2502     -80.2538
      65     107.0654     -72.4436
      66     113.8387     -64.8858
      67     118.7318     -64.5308
      68      86.3199     -41.0965
      69      97.4396     -61.9629
      70      72.8113     -56.9931
      71      71.4887     -60.1219
      72     100.2364     -44.7891
      73     101.4522     -42.3558
      74      88.2774     -48.0199
      75      74.8924     -50.2861
      76     156.3541    -106.5460
      77    -140.1951    -129.8546
      78     -95.9010    -141.1396
      79    -114.3360    -111.9929
      80    -108.1312    -121.2602
      81    -138.1740    -114.8419
      82    -107.2992    -105.8243
      83    -121.5333    -114.8254
      84    -102.4502     -82.7400
      85    -128.9779    -108.6162
      86    -113.7248    -116.3967
      87    -142.9588    -118.0826
      88     -92.5915    -135.6995
      89    -105.2323    -126.8334
      90    -126.8046    -118.6946
      91    -106.2176    -127.9137
      92    -145.9626    -120.8372
      93    -117.5765    -131.9725
      94     -62.8391    -109.7850
      95     -32.2260     -94.4834
      96     -54.3861    -123.3670
      97     -60.7116    -124.6097
      98    -105.7339    -110.3430
      99    -109.3891    -119.0849
     100    -138.3590    -125.0847
     101    -153.7542    -116.3032
     102     -95.6811    -122.4907
     103    -103.1298    -118.0108
     104    -104.0458    -132.1031
     105    -123.9888    -118.4827
     106     -73.5663     -40.0330
     107     -84.2024     -10.6799
     108     -60.3787     -53.5121
     109     -73.3633     -12.2226
     110     -90.5979     -22.5853
     111    -106.2800     -39.8500
     112     -91.3309     -79.9210
     113     -82.3799     -70.9727
     114     -70.8438     -22.3071
     115     -76.8565     -46.6160
     116     -65.2886     -35.4163
     117     -64.2382     -37.1691
     118     -91.5616     -35.3887
     119     -79.9235     -37.3821
     120     -88.7976      12.8189
     121     -96.5176     -32.1733
     122     -68.2806     -25.1968
     123     -55.5309     -35.7657
     124     -80.8596      -2.0679
     125     -82.0036     -35.3057
     126    -115.0408     -69.5974
     127     -71.1673     -24.3466
     128     -76.0837     -22.9038
     129     -69.7480     -60.1824
     130     -80.4086     -14.7888
     131     -89.4031     -33.0852
     132    -102.8399     -40.7864
     133     -79.2571     -27.4280
     134    -102.5872     -13.8569
     135     -92.4110     -34.0021
     136     -99.0109     -27.1866
     137     -82.1438     -51.8089
     138     -66.1646     -29.3771
     139     -66.6888     -31.9689
     140     -68.5082     -33.9522
     141     -65.3960     -37.7525
     142     -65.5753     -32.5709
     143     -67.3459     -36.0896
     144     -74.7511      -8.3514
     145     -64.0228     -36.2227
     146     -61.3691     -34.1316
     147     -60.6572     -37.9253
     148     -64.0990     -45.0698
     149     -73.7556     -22.6776
     150     -81.9598     -18.2563
     151     -89.2297     -30.4969
     152     -84.9511     -10.8489
     153     -74.6378     -43.3705
     154     -40.5561     -45.2275
     155     -69.9670     -35.5311
     156     -67.5906     -33.3850
     157     -70.2160     -13.9902
     158     -80.5469     -16.0182
     159     -64.0231     -34.0769
     160     -73.4551     -45.0177
     161     -17.0099     -66.8267
     162     -64.2207     -52.7108
     163     -63.2119     -35.3866
     164     -83.4666     -43.4324
     165     -66.7922     -66.9103
     166     -61.0642     -51.8778
     167     -85.2260     -23.9061
     168     -56.5672     -45.5001
     169     -93.7146     -28.3413
     170     -57.8173     -28.9363
     171     -79.3393      -7.0668
     172     -76.7015     -19.7858
     173     -68.4081     -38.8975
     174     -88.4856     -10.8196
     175     -68.6711     -11.4366
     176     -59.1433     -40.4549
     177     -53.7569     -51.9819
     178     -60.2902     -53.6505
     179     -70.8743     -42.7308
     180     -71.7828     -33.8372
     181     -85.3310     -17.5500
     182     -77.9907     -38.5519
     183     -80.0493     -18.6551
     184     -50.6557     -35.9505
     185     -75.4085     -44.2518
     186     -67.5132     -23.7412
     187     -79.3789     -20.7485
     188     -93.8511     -37.6605
     189     -83.2080     -29.3584
     190     -78.2502     -23.3407
     191     -47.0718     -29.5271
     192     -63.7828     -47.4656
     193     -66.7562     -38.8167
