#Frame            phi          psi
       1     -84.8428    -168.8292
       2     -59.4997     128.1165
       3    -134.6469     137.0465
       4    -162.3007     169.8432
       5     -68.1231     168.9906
       6    -137.8194     140.0754
       7     -79.4935     125.4588
       8    -153.3851     127.2029
       9    -154.4397     147.3795
      10     -51.8533     143.7957
      11     -52.9355     157.5367
      12    -116.6109     128.1838
      13     -80.0604      25.1549
      14    -117.2641     -29.8479
      15    -105.5615      18.9571
      16    -101.1712     -10.4645
      17    -101.7588     -14.9908
      18     -63.8915       3.2980
      19     -67.1461     -13.8172
      20     -99.4930      18.8321
      21     -85.4301     -17.0259
      22     -70.9852     -15.1160
      23     -76.4599     -28.3404
      24     -90.9467       2.4480
      25     -78.6807     -11.7646
      26     -66.0030       2.5209
      27     -98.1807      -2.8863
      28     -96.7255       7.6082
      29     -82.7966      -0.5529
      30     -84.5136     -27.2732
      31    -139.4060      28.6402
      32     -98.6656       7.5105
      33     -79.4223      13.4621
      34    -135.4541       2.1376
      35     -94.4675      -0.1256
      36     -70.8280     -21.6560
      37     -80.2485       6.7941
      38     -90.9733      -4.4011
      39     -97.8394       4.6233
      40     -76.2444     -24.2867
      41     -62.5140     -30.3230
      42     -53.1244     -31.1667
      43     -69.5819     -35.7474
      44     -60.8625     -48.4280
      45    -130.1931       2.8650
      46     -85.6699      20.5124
      47     -53.4416     -19.8458
      48     -83.8436     -22.2208
      49     -84.6095     -12.8595
      50     -70.2424     -18.0258
      51     -80.9031       3.7675
      52    -127.7564     -13.9236
      53    -150.0737      14.0191
      54    -102.8595      -7.8913
      55     -95.3366     -19.9015
      56    -109.1889     -19.0636
      57     -65.9206     -27.9222
      58     -81.3101       4.0956
      59     -75.2253      43.2739
      60     -99.7668     -29.9558
      61     -67.5734      -3.9174
      62    -119.7146     -29.2205
      63     -59.3219     -33.2830
      64     -76.1864     -10.2324
      65     -76.1868     -16.8842
      66     -76.7504      -2.8784
      67    -141.3739      12.8402
      68     -93.9714       7.3509
      69     -56.7279     -35.3596
      70    -155.2880      16.0557
      71     -85.6299      29.9574
      72     -83.5426     -22.1060
      73    -118.5002       2.9154
      74     -68.0017     -18.8971
      75     -89.7791      10.2900
      76     -64.4041      -8.3801
      77     -96.2888      -3.1039
      78     -65.9982     -12.9912
      79     -77.6188     -10.7648
      80     -79.1927      -8.4623
      81     -68.4452     -22.3690
      82     -77.9392     -39.6149
      83    -120.1377      11.5244
      84     -88.9996     -10.6425
      85     -92.3125      62.0892
      86     -65.6985     -35.1358
      87    -143.3794     -12.5912
      88     -56.4398      -7.8816
      89     -44.1250     -37.7928
      90     -72.5294      -2.6924
      91     -83.3023     -18.6782
      92     -95.9917       0.5607
      93     -81.9696      35.0781
      94     -92.4847     -18.6550
      95    -119.1108      -5.8259
      96     -87.0368      -5.2643
      97     -87.0472      -8.9944
      98     -61.7305     -30.6263
      99     -99.4325      -6.5418
     100     -81.4117       1.1128
     101    -111.6956      12.2565
     102     -43.2411     -41.0858
     103     -82.3492     -21.5750
     104    -107.0582      -3.0271
     105    -142.2429      21.6907
     106    -108.3275     -15.8829
     107    -137.0691     -24.4643
     108    -105.0688      -2.4137
     109     -84.8974       1.9342
     110     -67.2398     -13.8764
     111     -76.0401      51.6032
     112    -120.0433      28.7420
     113     -76.2029     -15.2703
     114     -79.9443      -5.1836
     115     -66.1846       0.9445
     116     -84.6648      -5.0216
     117    -100.3721      30.4609
     118     -73.3200     -16.6618
     119     -97.2462       7.2056
     120     -61.8219     -15.9054
     121     -85.4835     121.1576
     122     -81.0428      76.4532
     123     -98.0287     -12.0897
     124    -126.9602      26.7318
     125     -64.8851     -13.9666
     126     -81.3307     -28.3189
     127     -42.5697     -43.3422
     128     -76.2428      -1.4924
     129     -97.0086      -0.8957
     130     -96.5659     -15.4142
     131    -110.7309      20.4713
     132     -77.1175     -11.8094
     133     -95.0951      -5.7131
     134     -73.0267     -10.5190
     135     -77.0770     -21.9610
     136    -115.4124       4.6737
     137     -66.8489       6.3714
     138    -106.8420      14.1377
     139    -102.8332     -33.5430
     140    -101.3915      -3.8496
     141     -78.4373     -15.8211
     142    -106.9492      -4.8219
     143     -84.8326       4.7387
     144    -106.4061     -20.0446
     145     -61.6868     -51.7269
     146     -84.8544     -41.1910
     147     -78.4551     -11.5683
     148     -68.4712     -32.6412
     149     -97.5425     -21.4908
     150     -74.5611      -4.8377
     151     -65.3954     -30.1533
     152     -83.8820      -3.5627
     153     -62.2089     -30.9677
     154    -126.8935      10.7854
     155    -100.6395      20.5041
     156    -134.4691       1.0092
     157     -86.9975     -15.0297
     158     -70.4639     -15.1322
     159     -98.2591      -8.2496
     160    -161.9989      17.4664
     161     -76.2134     -17.3198
     162    -103.5422     -23.1239
     163     -98.3966     -16.9643
     164     -70.7840     -24.0139
     165     -70.7447       1.6166
     166     -69.8580     -21.7724
     167    -102.9558     -21.7917
     168     -74.8505     -17.2367
     169     -66.8368     -29.2605
     170     -66.6065     -16.6726
     171     -78.4262     -16.9282
     172     -67.9214     -22.7771
     173     -66.2697      -9.7932
     174     -91.5848     -33.0865
     175     -69.7322      -6.6806
     176     -88.8703     -21.5647
     177     -99.2537     -16.0023
     178     -80.9202     -41.6167
     179     -81.0392     -25.6312
     180     -83.8668       7.1265
