#Frame            phi          psi
       1     -75.0438     138.2743
       2     -84.0870     127.1540
       3     -62.2574     122.7609
       4     -62.2153     128.7122
       5     -68.8782     125.9698
       6     -91.1774     129.9338
       7    -131.6757     145.8344
       8    -118.8603     172.4087
       9    -175.2931     125.8462
      10    -136.1622     174.1563
      11    -122.6861     141.8288
      12    -171.6545     142.5174
      13    -151.2833     108.6129
      14    -134.6935      73.3394
      15    -129.0771      72.4691
      16    -113.0483      49.9431
      17    -146.6925      28.6621
      18     -61.2356     -25.8671
      19     -89.1431     -30.7954
      20    -105.7301     -26.5065
      21    -124.1938       0.6315
      22     -91.7965     -21.3303
      23     -94.9747      13.2215
      24    -134.1757     -23.7183
      25    -128.4921     -34.2895
      26     -87.1749     -39.7434
      27     -94.7138     -22.4152
      28     -93.7990       4.0399
      29     -83.8434     -35.7173
      30     -61.3505     -22.4481
      31     -70.5768     -39.2850
      32     -73.2491     -31.8865
      33     -63.1676     -54.1095
      34     -56.5396     -43.3411
      35     -71.1140     -44.3065
      36     -63.8924     -23.3313
      37    -122.8017       2.7112
      38     -91.2797     -42.0538
      39    -100.0564     -12.0182
      40     -82.6450       4.9847
      41     -89.2716     -60.5435
      42     -88.8738     -42.4270
      43     -75.8322     -18.9415
      44     -70.8711      -5.5864
      45     -66.7851       2.1456
      46     -75.5911     -17.3725
      47    -102.4051     -25.7020
      48     -70.1918     -30.8597
      49     -63.2812     -42.9414
      50     -76.0039     -47.5337
      51     -84.9933     -43.4779
      52     -97.2036     -39.5427
      53     -73.5857     -34.6331
      54     -78.0473     -37.6983
      55     -61.6820     -47.5607
      56     -72.0549     -26.4317
      57     -77.6307     -26.4697
      58     -53.3364     -36.3334
      59     -84.7090     -25.7463
      60     -83.0142     -16.1353
      61     -91.3383      -1.5616
      62     -83.2461     -16.4626
      63     -81.0575     -17.9099
      64     -69.2521     -32.2342
      65    -102.7231     -21.6338
      66     -68.8750     -32.0433
      67     -80.3499     -39.7594
      68     -98.9139     -39.0859
      69     -76.6796     -13.6247
      70    -148.2788     -51.8421
      71    -102.7663     -15.5431
      72    -117.0024     -48.4770
      73     -88.5139     -27.0409
      74    -152.0185     -58.2697
      75     -74.4866     -49.5225
      76     -89.4995     -31.9708
      77     -62.6015     -42.3427
      78     -72.2568     -64.4440
      79     -69.4414     -28.2044
      80     -81.8695     -29.1376
      81     -82.5330     -25.2607
      82     -44.9201     -28.7256
      83     -61.3052     -38.2083
      84     -43.8245     -51.5102
      85     -52.3903     -26.9237
      86     -56.1664     -31.8954
      87     -83.9094     -20.5745
      88     -81.6905     -33.2166
      89     -65.9615     -38.9696
      90     -87.2208      -3.1967
      91    -153.5150      10.6927
      92    -129.3354      -4.6620
      93     -86.9164      39.3523
      94     -72.2446     -22.9194
      95     -79.8926     -43.1335
      96    -104.7521      -3.1829
      97     -77.6256     -43.6541
      98     -87.5599     -25.8949
      99     -74.3382     -29.0329
     100     -82.8182     -20.2406
     101    -125.0749     -19.4446
     102     -88.7637      -7.9692
     103     -77.5624     -27.3689
     104     -60.0199     -28.0694
     105     -70.0797     -15.6838
     106     -95.6271     -30.6731
     107    -111.3488      -5.9981
     108     -88.6725      -2.9169
     109     -89.8504       4.2587
     110     -87.5392     -16.5468
     111    -118.3122     -23.3340
     112     -67.5096     -28.5268
     113    -132.9411     -42.5090
     114     -85.1195     -57.6865
     115     -78.7551     -18.2430
     116     -76.0811     -28.6394
     117     -85.7816     -31.6545
     118     -86.6281       0.1653
     119     -82.2754     -43.2201
     120     -87.4165     -47.1655
     121     -58.3810     -28.1265
     122     -68.5622      -8.9729
     123    -109.7728      25.7922
     124    -136.4426     -17.0367
     125    -129.3697      11.9434
     126     -74.1135     -13.3965
     127     -82.6609     -22.5595
     128     -96.8406     -19.2215
     129     -62.8129     -33.9611
     130     -75.7764     -39.3954
     131     -77.4077      -0.8438
     132     -60.9940     -46.4398
     133     -95.3999     -67.0782
     134     -48.3137     -40.3862
     135     -75.6131     -14.4014
     136     -57.4489      35.7393
     137    -101.2465       3.4916
     138     -64.2479     -15.5481
     139     -62.0677     -28.1872
     140     -68.3737     -39.4866
     141     -67.8912     -46.0241
     142    -133.3600     -15.8644
     143    -123.2960      13.4057
     144     -95.5230      13.5237
     145    -167.2114      29.0601
     146     -74.3157     -17.5210
     147     -79.0185     -30.1542
     148     -87.5730     -11.8416
     149     -50.6906     -31.2800
     150     -72.1553     -29.2588
     151     -82.2208     -25.0380
     152     -72.3876     -28.7198
     153     -88.2121     -24.8641
     154     -60.3728     -28.9011
     155    -101.2147     -50.6367
     156     -97.6619     -20.8672
     157     -57.1787     -46.4158
     158     -81.7142     -17.1730
     159     -95.3803      -9.2280
     160     -71.2547     -19.4384
     161     -73.7243     -18.8553
     162     -69.9723     -55.0872
     163     -81.5580     -27.4044
     164     -52.7668     -34.0864
     165     -46.8273     -22.6210
     166     -59.9319     -48.0024
     167     -82.2913     -20.9246
     168     -56.4196     -13.6876
     169    -130.0625     -28.9788
     170     -89.5397     -29.0745
     171     -78.3798     -31.6660
     172     -81.1647       9.5876
     173    -139.0460       2.7186
     174    -152.9870     -35.0911
     175     -69.8721     -44.2658
     176     -65.6682     -38.6733
     177     -78.7742     -23.3664
     178     -81.5045     -10.7653
     179     -77.9226     -34.1551
     180     -87.0053     -25.9701
     181     -50.8598     -45.3630
     182     -91.5718     -18.8413
     183     -75.0160       3.1470
     184    -120.9122     -14.3099
     185     -63.9526      -4.0018
     186     -61.8817     -16.1445
     187     -76.3557     -14.5277
     188     -76.0860     -66.6398
     189    -107.6402     -35.3058
     190     -73.9937     -28.9802
     191     -69.9371     -18.1578
     192    -116.8403     -30.6519
     193     -96.7718     -22.6620
     194    -125.2780      19.1390
     195     -81.2649       3.2448
     196     -57.8877     -32.7232
     197     -62.2359     -42.9191
     198     -40.8515     -37.6588
     199     -63.1402     -34.4525
     200     -57.9429     -39.0249
     201     -77.3328     -39.1951
     202     -55.2051     -36.0700
     203     -52.0915     -35.2992
     204     -59.7022     -13.6468
     205     -39.1987     -46.9634
     206    -131.9054     -23.0339
     207    -153.9348     -59.3456
     208     -55.8940     -39.6173
     209     -67.7459     -15.7954
     210     -53.1287     -27.5313
     211     -74.4385     -20.6777
     212     -44.9736     -45.8265
     213     -80.2044     -38.7174
     214     -79.7814     -42.7345
     215     -72.9704      -5.9029
     216     -54.9811     -19.6334
     217     -98.0895      15.7421
     218    -115.1400      -9.2015
     219     -77.5987     -18.0322
     220     -56.9927     -26.7064
     221     -91.2449      -2.8620
     222     -94.2020      12.1055
     223     -71.3098       8.0168
     224     -95.1768      14.2997
     225     -84.5237      14.1386
     226     -96.7626      25.5967
     227     -76.4061      18.9942
     228     -92.1533      20.6265
     229     -90.4019      31.3023
     230    -121.4319       9.8111
     231    -139.5536      31.7584
     232     -98.3703      43.6155
     233     -59.1925      15.5365
     234     -80.3687      16.0087
     235    -143.1557      18.6401
     236     -99.0224      39.1067
     237    -155.6905      17.4387
     238    -135.6398      22.6396
     239    -142.9171       6.0425
     240    -135.0549      22.6263
     241    -135.7701      27.2609
     242    -119.4170      10.6190
     243     -97.1990      17.7153
     244     -87.5598      19.1814
     245    -118.6577     -14.6130
     246     -92.1281      -6.2669
     247     -95.0302      12.3106
     248    -122.9040      18.3088
     249     -83.4628     -14.5408
     250    -112.2813     -26.9888
     251     -98.2060      22.9857
     252    -108.0742     -31.4850
     253     -64.6477      65.0046
     254     -60.8165      81.0298
     255     -85.7930     135.7083
     256     -60.7240      96.4378
     257     -56.3932     122.2876
     258     -96.1110      85.4438
     259     -86.8888     148.7908
     260     -75.0320     131.3189
     261     -58.7021     137.1218
     262     -70.0722     131.5905
     263     -69.2747     131.6285
     264     -62.2278     165.1783
     265     -86.5509     135.1487
     266     -67.0599     148.4419
     267     -70.0096     141.1860
     268     -69.3012     118.9868
     269     -54.6929     146.1954
     270     -60.2492     112.4554
     271     -69.9430     120.5594
     272     -55.0968     129.2617
     273     -95.6203     122.7566
     274     -57.0015     156.3371
     275     -76.6954     154.4308
     276     -68.2416     137.4146
     277     -46.8152     154.3887
     278     -75.4725     165.8514
     279    -105.0445     150.6006
     280     -75.6560     142.7191
     281     -68.6581     148.0532
     282     -86.7839     134.7747
     283     -90.3312     153.3367
     284     -64.1925     138.3655
     285    -126.8362     152.9152
     286     -91.7907     168.3027
     287     -67.3222     153.9767
     288     -55.5679     160.2243
     289     -64.8785     141.3279
     290     -80.9935     153.9572
     291     -77.8923     141.3940
     292     -73.2842     152.8553
     293     -60.9537     165.9792
     294     -69.4113     157.7207
     295     -62.2160     179.7445
     296     -57.1561     150.9108
     297     -99.8115     163.2749
     298     -71.9635     168.2050
     299     -80.7281     162.0362
     300     -71.3969     155.1072
     301     -71.3199     173.7527
     302     -78.6275     168.2842
     303     -60.6750     139.0224
     304     -48.4791     142.2529
     305     -45.5786     147.5797
     306     -55.7545     138.9025
     307     -69.0145     161.5567
     308     -69.8678     154.8496
     309    -125.8383    -179.8054
     310    -144.8478     156.4697
     311     -72.0499     155.5824
     312    -117.7594     146.6155
     313     -66.8351     160.2399
     314     -68.2020     145.4909
     315     -60.5296     161.9408
     316     -57.8936     159.7238
     317    -123.3246    -178.4983
     318     -88.7813     177.7027
     319     -59.0083     179.7799
     320     -66.7846     157.2204
     321     -70.0244    -174.3786
     322    -137.0028    -175.1574
     323    -156.6850     168.8637
     324     -78.0873     178.3248
     325     -90.2276     171.3737
     326     -86.9356     142.4121
     327    -110.5672     175.3171
     328     -96.3432     139.4622
     329     -90.7302     155.4626
     330     -56.7157     128.8557
     331    -124.6700     164.2586
     332     -68.5531     156.1719
     333    -145.3607     172.3833
     334     -96.1142     173.6136
     335     -71.0466     156.8312
     336     -76.7287     152.8086
     337     -52.7368     151.9956
     338     -60.0054     160.6278
     339     -76.6767     160.0783
     340     -96.2540     160.1175
     341    -135.5248     147.0070
     342    -100.8904     148.6159
     343     -78.3935     140.5489
     344     -76.7128     156.4361
     345     -59.9444     153.4207
     346     -77.8215     157.8115
     347     -91.4676     170.7824
     348     -69.5811     152.8755
     349     -75.7780     167.1964
     350     -77.1690     134.7207
     351    -100.0216     154.8507
     352    -123.2251     157.0207
     353    -123.5318     145.4484
     354    -142.8844     139.4834
     355     -96.3674     168.2615
     356    -107.7363     162.2613
     357     -77.8483     156.3306
     358    -147.3047     175.9048
     359    -121.0360    -173.2406
     360    -111.5171     144.8045
     361    -177.0993     147.6052
     362     -88.4487     152.8695
     363     -51.8081     147.1521
     364     -76.9174     152.3226
     365     -91.3678    -166.0930
     366     -62.8469     166.1570
     367     -64.9018     159.4750
     368     -91.5329     171.9069
     369    -107.2120     168.8011
     370     -98.9431     156.1180
     371    -141.5415     160.0517
     372     -76.2826     163.6826
     373     -89.6777     161.7746
     374    -102.0679     151.0393
     375    -137.7401     168.6519
     376    -101.3820     177.1072
     377     -84.6430     151.5071
     378     -64.8874     150.0278
     379     -95.8097     168.3130
     380    -151.3498     177.6425
     381    -113.2342     165.3848
     382     -93.5793     176.3861
     383     -68.0856     149.4406
     384    -131.0455     157.9059
     385     -89.8857     175.1786
     386     -91.8223     146.1150
     387     -77.3237     140.0453
     388    -140.8231     157.6269
     389     -82.9621     158.2216
     390     -69.4385     147.7363
     391     -87.6677     170.2170
     392    -117.9240     163.2590
     393    -118.6189     166.6284
     394    -112.3453     148.3394
     395     -85.9241     120.7249
     396     -83.9925     142.3698
     397    -106.9044     118.0907
     398    -126.3171     139.1768
     399     -60.6561     100.9831
     400     -68.3780     125.5384
     401     -67.1747     131.4588
     402     -46.3006     144.2295
     403     -82.7072     118.5133
     404     -76.2217     146.3680
     405     -88.5216     129.2915
     406     -69.1842     139.0746
     407     -88.0346     151.2765
     408     -96.2749     131.5905
     409     -49.2885     121.7141
     410     -72.2645     149.3449
     411     -74.9011     131.6549
     412     -68.6141     127.7502
     413     -46.8469     141.9881
     414     -60.7998     143.6915
     415     -54.0037     147.8194
     416     -55.4797     142.6354
     417     -87.0426     152.4994
     418     -73.5825     143.5082
     419    -103.5060     146.5149
     420    -108.4298     137.8661
     421    -142.6250     157.8331
     422     -47.6442     140.0567
     423     -77.7142     150.8743
     424     -77.8041     140.5069
     425     -70.9457     159.4828
     426     -47.3368     149.2859
     427     -78.1157     140.5247
     428     -48.2679     128.2971
     429     -71.0528     129.6696
     430    -121.7019     128.0627
     431     -57.9577     111.0531
     432     -64.0310     124.4890
     433     -73.1205     134.7383
     434     -64.5154     153.2364
     435     -72.0798     145.4802
     436     -69.0640     139.7501
     437     -71.2121     117.5582
     438     -68.3514     134.3221
     439     -51.5526     121.5484
     440     -37.1914     115.3575
     441     -81.4663     129.0432
     442     -61.9292     132.7092
     443     -48.7876     136.3822
     444     -74.1085     104.3910
     445    -102.5722     146.7320
     446     -72.9356     140.0883
     447     -63.0604     150.4881
     448     -83.1690     148.7514
     449     -60.3989     127.5893
     450     -43.1213     150.3297
     451     -60.7230     139.1712
     452     -54.7652     139.7996
     453     -50.4078     135.2371
     454     -66.4025     140.4297
     455     -54.2993     131.6114
     456     -65.7280     146.7371
     457     -58.5977     124.8627
     458     -52.1668     132.6554
     459     -57.2312     118.4099
     460     -75.9421     122.0914
     461     -61.6476     143.3175
     462     -56.3869     134.0253
     463     -77.2538     130.0045
     464     -48.1307     116.7854
     465     -67.8947     132.4170
     466     -93.3110     131.3037
     467     -86.4686     134.3583
     468     -69.9055     120.5159
     469     -34.9547     120.9584
     470     -43.2930     134.0327
     471     -74.7227     139.7884
     472    -102.4158     144.7359
     473     -66.0854     135.0035
     474    -156.3822     154.3139
     475    -125.4058     153.9653
     476    -137.9956     138.4096
     477    -136.7851     131.9985
     478    -153.4813     136.6055
     479    -102.1535     133.3946
     480    -148.7498     152.2644
     481    -168.0655     171.5312
     482    -100.9144     154.8536
     483     -84.8013     158.9562
     484     -63.9841     138.8302
     485     -72.9949     115.5971
     486    -101.9969     131.9163
     487     -71.5178     127.3062
     488     -73.0128     131.1587
     489     -62.4449     153.6233
     490     -63.5125     153.0035
     491     -63.1444     101.3675
     492     -39.6236     144.7905
     493     -70.8698     153.0878
     494     -66.2435     136.3622
     495     -79.1081     125.6054
     496     -71.5332     151.6522
     497     -48.8361     121.9976
     498     -61.5373     149.7703
     499     -59.9662     121.0514
     500     -54.3162     127.5869
     501     -85.3575     135.7383
     502     -66.0026     144.8115
     503     -63.0550     148.1278
     504     -53.2296     135.5245
     505     -62.4318     147.2002
     506     -60.3744     125.0139
     507     -53.8803     151.3671
     508     -71.6652     121.0577
     509     -65.9978     129.9125
     510     -64.1860     133.0735
     511     -80.0968     126.5754
     512     -64.4647     115.1389
     513     -63.9637     154.2259
     514     -63.5381     137.3322
     515     -63.7789     123.3978
     516     -66.0810     126.1035
     517     -92.8242      34.9026
     518     -90.4538     122.0524
     519     -59.2520     117.8149
     520    -133.9000     147.5616
     521    -107.0709     142.6713
     522     -59.0254     140.3796
     523     -62.6086     139.4636
     524     -46.0640     133.4047
     525     -51.9178     114.5231
     526     -62.2045     141.9473
     527     -61.0688     128.3468
     528     -63.0755     125.6125
     529     -62.4261     119.4347
     530     -59.5528     124.9480
     531     -91.3959     115.9199
     532     -73.7137     130.9651
     533     -40.7743     121.9070
     534     -97.7284     107.0727
     535     -76.2185     124.6878
     536     -76.6590     152.5287
     537     -55.1737     113.8825
     538     -73.8883     144.9595
     539     -58.4509     123.9211
     540     -72.6924     122.0872
     541     -75.7459     147.1183
     542     -43.5920     139.3298
     543     -54.4078     139.6428
     544     -58.9811     125.6497
     545     -65.5824     135.7955
     546     -96.2593     106.2921
     547     -62.4545     136.3563
     548     -66.3077     122.4204
     549     -68.7906     113.0917
     550     -53.2436     149.6513
     551     -98.8112     140.1246
     552     -51.4902     143.7005
     553     -47.2244     134.6926
     554     -73.3629     129.5111
     555     -86.2356     137.2734
     556     -66.6061     131.8826
     557     -75.1943     118.4740
     558    -112.3006     159.2794
     559     -59.5209     129.3408
     560     -60.2526     131.7964
     561     -70.8142     135.3273
     562     -69.4746     135.2383
     563     -46.0366     139.0698
     564     -65.2521     132.2794
     565     -87.0980     146.7061
     566     -60.5282     100.8157
     567     -70.0139     102.6928
     568     -84.9362     136.5870
     569     -82.9621     121.3182
     570     -91.4921     126.2211
     571     -68.5235     110.6677
     572     -58.0020     152.7980
     573     -63.7818     137.4751
     574     -94.6303     120.7416
     575    -166.7984     151.6306
     576    -141.6384     154.6966
     577    -148.9735     115.8791
     578    -130.5978     138.0709
     579     -89.9940     135.5963
     580     -82.3037     143.7271
     581    -107.2152     131.2211
     582     -89.4533     147.8978
     583     -90.8770     105.6184
     584     -74.6813     123.6726
     585    -119.8160     139.5855
     586    -112.4687     136.2902
     587     -58.0028     158.3769
     588    -143.6036     130.2332
     589    -110.4797     150.6193
     590     -76.9776     163.9090
     591     -76.5531     136.0484
     592     -65.0432     114.2825
     593    -130.7616     125.0979
     594     -67.0740     146.3253
     595     -63.3529     153.5094
     596     -39.8757     111.9671
     597     -83.4955     135.4078
     598     -94.7949     151.4263
     599     -85.4557     125.0591
     600    -106.9928     129.5015
