#Frame            phi          psi
       1     -53.3102     124.5027
       2     -88.5313     120.6629
       3     -57.1609     123.9169
       4     -70.6332     125.8150
       5     -73.7996     134.3486
       6     -60.7566     130.0186
       7     -57.7332     138.4962
       8     -60.7962     115.7042
       9     -52.1078     134.6750
      10     -51.7290     127.2928
      11     -71.6534     125.7102
      12     -91.6144     127.0195
      13     -72.0586     149.0390
      14     -74.0797     143.0281
      15    -133.2224    -175.6635
      16     -87.6697     166.1977
      17    -132.0531     166.2846
      18     -56.9002     127.6972
      19     -59.3266     134.0189
      20     -69.5323     144.0642
      21     -53.6897     128.7746
      22     -73.0630     119.1557
      23     -79.2802     121.0835
      24     -74.6874     123.4504
      25     -56.9353     126.3690
      26     -65.9310     146.4458
      27     -65.6765     114.8565
      28     -59.1373     112.0948
      29     -19.0163     131.5420
      30      23.9389      82.2849
      31      27.0084      93.3063
      32      52.4572      55.3353
      33      65.6809      74.9111
      34     -19.2285      67.7793
      35     -69.8822     115.6903
      36    -111.3403     123.1561
      37     -83.1421     114.2609
      38     -76.0430     117.7994
      39     -41.1652     119.5579
      40     -55.0390     132.2416
      41     -77.1186     145.1005
      42     -67.4124     154.6472
      43    -147.9756     115.5300
      44     -77.6072      54.1433
      45    -134.1757      74.6020
      46    -101.2990      37.7846
      47    -101.3382     -37.4650
      48    -114.9773      -7.0222
      49    -130.6873     -20.8498
      50    -108.0995     -23.1637
      51    -104.4523     -42.1448
      52    -163.4901     -38.3909
      53     -98.7950      37.7179
      54    -105.4262     104.3098
      55     -57.9988     146.9399
      56     -96.9985     147.5879
      57     -70.8681     141.1008
      58    -119.4240     142.0938
      59     -51.6686     120.2271
      60     -54.7377     140.9356
      61    -130.2505     138.1567
      62    -105.9443     113.7924
      63     -65.8770     116.7809
      64    -155.0254     142.9202
      65    -126.0896     157.1180
      66     -82.5066     156.7361
      67     -74.3726     160.1432
      68     -56.0133     142.2191
      69     -71.6032     168.7156
      70     -67.6438     142.0299
      71     -57.1168     107.5351
      72     -67.4383     132.8936
      73     -64.4898     141.6679
      74     -56.2871     147.7260
      75     -66.5977     147.0549
      76     -60.9976     138.1518
      77     -58.3600     139.3685
      78     -78.0411     156.2979
      79    -106.4499      91.0222
      80     -60.1627     135.4620
      81     -68.2613     131.1579
      82    -140.7319     173.9381
      83    -147.9715     161.7497
      84     -58.9547     148.1946
      85     -56.8267     142.8646
      86    -102.3393     163.7796
      87    -112.8137     160.6508
      88    -102.1689     114.3816
      89    -134.8400     165.1373
      90     -95.5293     141.9491
      91    -121.7645     158.1340
      92    -120.6760     165.8660
      93     -68.8578     167.2433
      94    -116.0428     156.2825
      95     -82.1723     172.7439
      96    -110.8811     165.1472
      97    -129.6432     163.6936
      98     -81.1495     164.4296
      99    -115.8960     165.4350
     100     -75.6804     169.4114
     101     -73.0755     177.3605
     102     -70.0885     166.2062
     103    -123.4098     163.3277
     104    -104.4844     171.5222
     105     -89.2654     165.6886
     106    -115.1490     170.8899
     107    -138.8097     168.7777
     108    -134.9240     162.9442
     109    -139.1235     166.9860
     110    -125.9483     165.5020
     111    -128.5415     164.1330
     112    -140.4974     150.4929
     113    -149.9562     152.7423
     114     -87.2775     156.0809
     115     -87.5712     162.2354
     116     -84.5982     143.5577
     117    -143.8707    -177.2888
     118     -86.9905     163.1507
     119     -66.9154     163.9260
     120    -124.2919     161.8338
     121    -135.0208     150.6301
     122    -105.8959     179.4029
     123     -73.9412     155.6628
     124     -93.2037     164.3638
     125    -110.4972     141.0751
     126    -110.1846     167.7011
     127    -139.8152     161.7847
     128    -109.3082     162.4329
     129    -140.8637     160.8699
     130    -119.0103     166.1236
     131    -140.4208     142.8238
     132     -94.6152     162.5037
     133     -70.3922    -179.4316
     134    -129.8948     161.2587
     135    -129.7185     177.1465
     136     -68.6892     163.5055
     137    -140.7272     154.1671
     138    -120.3385     159.6126
     139    -123.3091     161.3216
     140    -121.4992     170.1164
     141     -98.8628     179.0978
     142     -72.5083     169.9133
     143     -67.8281     173.7751
     144    -138.2078     156.7414
     145    -146.7380     176.6069
     146     -81.4988     174.0131
     147     -87.3122     163.3571
     148     -88.4212     171.5933
     149     -86.3771     157.1670
     150     -83.7515     151.4126
     151    -135.5246     167.1002
     152    -105.3507     170.6165
     153    -107.8536     173.2643
     154    -116.1792     173.7442
     155    -124.7681     155.3058
     156     -72.2176     175.4913
     157    -125.5942     166.3737
     158    -123.5945     174.5924
     159     -93.3311     167.8661
     160    -117.0229     176.4471
     161    -121.7280     170.6492
     162    -107.2291    -168.7397
     163    -126.5778     168.7807
     164     -88.9383     163.9236
     165     -94.0391     165.2419
     166    -108.9597     164.1380
     167     -93.5704     171.5299
     168    -121.6762     176.0731
     169    -111.3043     178.7076
     170     -86.6229     173.1582
     171    -115.8715     173.1737
     172    -111.4753    -179.6863
     173     -72.7643     178.9588
     174    -100.9683     169.0703
     175    -110.3922     171.4542
     176     -78.2094     174.2106
     177    -144.1252    -177.3750
     178    -100.7970     175.4573
     179    -129.4878     165.3874
     180    -123.7726     165.3372
     181    -129.7047     171.0479
     182    -130.8971     166.5478
     183     -72.9074     172.1260
     184     -94.0058     160.6507
     185     -66.8706     166.1425
     186    -115.9734     160.2187
     187     -78.3843     162.8835
     188    -105.6782     171.4489
     189     -76.8137     169.8392
     190     -86.4215     175.4142
     191    -117.8556     144.8241
     192     -85.7822     109.9376
     193    -116.7848     140.2648
     194    -142.5508     164.1720
     195     -91.1561     179.9416
     196     -58.2493     167.0188
     197     -78.9982     160.0427
     198     -97.1436     169.0958
     199     -76.3962     163.0440
     200     -73.4738     156.6218
     201    -103.3191     161.5806
     202    -118.6106     159.4822
     203    -104.6121    -176.6919
     204    -118.8909     179.3840
     205     -76.6123     163.1890
     206     -89.1143     175.5357
     207     -82.5535     173.7344
     208     -86.3609    -177.9138
     209     -70.6947     172.4371
     210    -114.8471     142.8769
     211     -81.3110     169.2805
     212     -61.9729     158.0665
     213    -121.3983     139.7395
     214    -120.2979     175.5950
     215    -105.6379     177.2968
     216     -88.2994     164.6461
     217     -87.3328     169.8385
     218    -135.2769     169.3720
     219     -88.9075     164.3441
     220     -69.6202     173.3668
     221    -107.7379     168.6638
     222     -64.0827     154.5586
     223    -121.7577     169.3490
     224     -72.4578     168.2232
     225    -127.7547     159.6109
     226     -80.1971     165.9774
     227    -145.1954     163.2688
     228     -71.2666     127.4033
     229     -71.1935     158.6448
     230     -65.2306     129.7489
     231     -72.1018     141.1594
     232    -151.9300     166.6757
     233    -130.2843     153.0209
     234     -67.6955     138.2837
     235     -78.8678     138.1112
     236     -63.4515     133.4160
     237     -67.9135     121.1570
     238     -46.4555     129.9735
     239     -68.5791     131.6883
     240     -60.0181     122.1037
     241     -43.3820     135.3808
     242     -51.3970     133.9877
     243     -44.0358     132.4360
     244     -72.7272     121.2618
     245     -70.5374     148.1264
     246     -52.8710     125.0009
     247    -108.8258     136.5414
     248     -44.6648     125.3935
     249     -68.3446     116.3868
     250     -77.1153     130.8922
     251     -54.8523     128.5873
     252     -71.7410     131.7042
     253     -51.0313     114.2266
     254    -106.1621     139.1367
     255    -126.0717     158.2341
     256    -134.3010     133.9877
     257     -96.3035     141.9229
     258     -80.3498     155.1595
     259    -102.2418     143.2471
     260     -86.7305     171.0511
     261    -119.6119     125.1673
     262     -94.8257      93.8157
     263     -75.1739     121.1991
     264    -138.0747     142.0271
     265    -129.0938     141.2368
     266     -71.1768     120.7107
     267     -68.6410      54.6327
     268     -78.0989      58.3585
     269     -78.7010      77.6701
     270     -86.9106     114.5628
     271     -68.8740     131.9623
     272     -54.3139     117.1700
     273     -59.3663     135.6183
     274     -83.7244      97.4933
     275     -58.7864     123.0717
     276     -59.7530     113.3083
     277     -64.0581     127.1910
     278     -52.2014     130.0286
     279     -46.3723     143.4713
     280     -63.8798     138.9162
     281    -148.5672     142.2959
     282     -74.7766     157.1928
     283     -94.0651     119.7791
     284     -81.5714     144.9349
     285     -55.9052     141.6973
     286     -75.1355     127.3660
     287     -60.4587     125.7258
     288     -71.7382     132.1452
     289     -57.5614     125.9215
     290     -83.8245     124.3307
     291    -107.5470     128.8707
     292     -91.1256     112.6818
     293     -61.6959     137.5955
     294     -80.7169     123.1732
     295     -65.5270     115.8266
     296     -47.3137     146.3686
     297     -63.0559     125.3263
     298     -50.9716     140.8563
     299     -69.0633     146.0023
     300     -46.6105     130.8553
     301     -66.6861     138.1455
     302     -71.8881     127.2085
     303     -50.3942     121.4181
     304     -71.8072     150.1303
     305     -59.3779     124.0024
     306     -83.0065     116.0394
     307     -52.0757     135.9959
     308     -67.4354     123.6345
     309     -66.7941     137.6746
     310    -109.8154     116.9646
     311     -61.8795     134.2765
     312     -85.5500     112.0621
     313    -126.6746     148.8681
     314     -81.2378     147.9004
     315    -121.2630     175.2566
     316    -124.0798     140.4134
     317    -126.7998     120.6078
     318    -100.9191     137.3272
     319    -135.2519     104.2736
     320     -73.7679     137.8173
     321     -39.6773     131.3514
     322     -42.6690     118.9168
     323     -86.4372      71.5621
     324     -74.9200      70.8832
     325     -70.9603      78.4502
     326     -89.5730      83.6768
     327     -84.1922     131.9441
     328     -83.4851     101.1759
     329    -101.3630      -3.6998
     330    -136.0565      48.4482
     331    -121.9825      82.7610
     332    -153.9932      98.7313
     333     -83.4239     113.8333
     334     -61.9104     123.4925
     335     -89.5210     121.0074
     336     -71.1658     126.8504
     337     -57.9172     129.2746
     338     -88.1402     125.0141
     339     -88.1590     130.6555
     340    -136.7401     125.1764
     341    -144.8113     114.1634
     342    -148.3876     109.4371
     343     -95.2657     135.1518
     344    -150.5319     104.4656
     345    -142.4764     132.4679
     346    -110.8962     162.4627
     347    -141.1274     153.3318
     348     -67.7681     141.8591
     349     -53.8786     123.1493
     350     -68.1302     156.8947
     351     -64.3524     136.7559
     352     -61.6983     139.0810
     353     -46.4723     129.9417
     354     -63.7883     135.0810
     355     -77.2924      71.7313
     356     -87.5289      59.7017
     357     -91.8359      64.4847
     358    -139.6009      62.3745
     359    -117.3379      82.4653
     360     -79.5755     163.5927
