#Frame            phi          psi
       1     -83.0691     176.7311
       2     -86.6007     164.4040
       3     -66.7030     146.3395
       4     -76.9835     155.8306
       5     -74.4528     146.5480
       6     -80.8120     179.1578
       7     -62.8054     161.8389
       8     -85.8635     162.2691
       9     -69.7847     158.4656
      10     -65.8957     160.5152
      11    -145.2401     156.3148
      12    -139.4393     166.8552
      13     -60.7880     119.4950
      14     -82.1537     164.7317
      15     -66.4206     150.5845
      16     -80.1715     135.9975
      17     -76.9713     145.3894
      18     -72.1693     103.3467
      19     -76.4646     158.8890
      20     -58.2118     179.7495
      21     -77.2443     156.3374
      22     -73.0568     125.8577
      23     -94.6245     154.7412
      24     -70.8055     175.6519
      25     -83.8277     125.3903
      26     -55.1191     144.2408
      27     -82.0872     166.5567
      28     -74.3858     166.1783
      29     -57.0346     159.8674
      30     -80.0739     155.1340
      31     -79.8418     172.8288
      32     -67.6888     135.4886
      33    -106.3342      94.7251
      34     -82.7901      -8.4388
      35     -60.5632     -32.5982
      36     -73.6047     -20.2949
      37     -66.2534      -3.4052
      38     -55.2089     -21.0429
      39     -99.2801      17.2494
      40    -126.2781      18.0625
      41     -85.1684      59.8199
      42     -64.0877     103.6661
      43     -90.8717     157.5382
      44     -73.7279     156.2246
      45     -68.7441     160.9462
      46     -57.0724     137.5471
      47     -54.3019     133.0288
      48     -70.8847     150.3097
      49     -58.8830     132.9192
      50     -63.7379     144.4796
      51     -89.9665     147.9949
      52     -77.6114     165.5712
      53    -117.9040    -170.6286
      54     -69.3160     148.4998
      55     -83.2918     154.5259
      56     -91.8698     170.0995
      57     -78.9613     160.0216
      58     -67.9487     156.8232
      59     -64.4725     150.6480
      60     -53.4993     155.9624
      61     -45.2277     155.8753
      62     -93.9696     158.0066
      63     -77.3755     170.0816
      64     -84.4602     179.0168
      65     -97.1400     166.4640
      66     -68.7405     161.1896
      67     -59.5966     128.3018
      68     -81.5225     146.4282
      69     -86.8288     146.7665
      70     -70.6864     160.2886
      71     -79.8773    -171.9359
      72     -60.6968     140.3374
      73    -102.3774     146.6340
      74     -69.8053     162.5902
      75     -82.1359     147.8338
      76     -59.5275     163.6596
      77     -75.2007     151.3095
      78    -107.4639     171.1414
      79     -75.5268     147.2974
      80     -84.9783     172.8853
      81     -59.9324     150.8443
      82     -58.1789     156.6773
      83     -78.2017     157.5629
      84     -61.9774     146.8579
      85     -80.3539     160.1365
      86     -85.8692     169.3837
      87     -73.9863     160.1147
      88     -58.3248     170.1224
      89     -57.9271     128.8833
      90     -89.1931     152.8837
      91     -79.9983     112.8466
      92     -90.4105     134.4026
      93    -102.3553     174.1039
      94     -70.8462     127.3924
      95     -62.9453     156.3340
      96     -56.0022     162.7398
      97    -100.9733    -154.1702
      98     -81.1590     164.3511
      99    -128.2552     179.9818
     100     -95.2526     154.8607
     101     -74.7869     159.1519
     102     -80.7462     175.4631
     103     -99.9357    -173.9363
     104     -82.1353     147.0872
     105     -79.4272    -158.3939
     106     -70.6605     157.6794
     107     -60.9292     151.0483
     108     -60.0221     142.2461
     109     -70.5117     142.1219
     110     -53.2439     134.1885
     111     -82.0410     147.2586
     112    -107.8196    -177.7677
     113     -66.5405     153.8670
     114     -85.9166     146.6671
     115     -90.1160     141.4465
     116     -74.6794     169.8076
     117    -121.9968     151.9615
     118     -87.8485     164.5619
     119     -66.2872     157.0708
     120     -46.4754     163.1135
     121     -70.1327     144.8167
     122     -65.4092     131.1835
     123     -51.3576     116.5993
     124     -31.1452     141.2577
     125     -68.8994     172.5306
     126    -126.4987     165.5121
     127     -97.6923     156.5933
     128     -77.6114     154.9150
     129     -96.3641     151.3001
     130    -106.3620     148.4947
     131     -73.1161     161.9286
     132     -52.2321     170.8328
     133     -86.5751     146.4369
     134     -78.3654     165.0215
     135     -69.5932     139.1752
     136     -45.8792     131.0278
     137     -57.1848     158.1359
     138     -54.2533     122.0560
     139     -82.7450     171.7252
     140     -78.5114     146.8449
     141     -60.7844     154.9016
     142     -53.3409     149.4402
     143     -65.6053     173.1625
     144    -117.3069     158.8024
     145     -66.3078     170.7682
     146     -97.4658     178.2202
     147     -96.9860     172.3270
     148     -91.8364     139.9217
     149     -66.3472     148.1473
     150     -74.6932     148.7157
     151     -77.6104     177.4852
     152     -72.3868     157.1008
     153     -55.2093     145.8848
     154     -79.3063     121.7507
     155    -108.0062     155.8360
     156     -65.9965     136.7893
     157     -87.1934     170.9932
     158     -60.8310     151.8465
     159    -107.9997    -148.0934
     160    -108.7296    -175.1155
     161     -75.2817     161.3242
     162     -68.9968     131.6175
     163    -128.4814     161.0449
     164    -151.4814     124.9804
     165    -149.5870     171.6285
     166     -88.5113    -171.8665
     167     -96.2495     178.7063
     168     -72.0937     172.4001
     169     -67.9279     168.7421
     170     -61.9030     140.3404
     171    -108.9070     167.5252
     172     -78.9897     179.4644
     173     -49.9520     143.0870
     174     -33.9562     122.5439
     175     -84.5479     148.6044
     176     -88.0061     144.2951
     177     -78.7954     153.9356
     178     -48.1362     145.1913
     179     -69.0342     154.8993
     180     -97.0799     133.0357
     181     -72.2502     136.9852
     182     -74.5264     150.7398
     183     -89.5098     167.0689
     184     -73.8565     139.0333
     185     -75.2994     153.0970
     186     -62.1683     154.8246
     187     -71.1452     169.1221
     188     -81.1406     171.8982
     189    -128.0916     152.2275
     190     -73.0183     124.4785
     191     -67.8653     152.4930
     192     -58.1682     152.7989
     193     -79.4174     148.0512
     194     -70.9755     152.6307
     195    -110.2448     152.5906
     196     -65.1796     158.1704
     197     -65.6972     124.1564
     198    -118.5272     151.1678
     199    -129.2167     178.2313
     200     -88.3665     173.5421
     201     -67.5856     157.0860
     202     -63.0355     148.8276
     203     -86.1953    -178.6318
     204     -69.3335     124.6234
     205     -56.2321     133.8245
     206     -73.4358     157.4407
     207     -52.5844     135.2712
     208     -69.8312     171.6101
     209     -73.5358     174.5078
     210     -85.1335     131.9801
     211     -78.5725     148.2125
     212     -72.5868     146.0982
     213     -54.2745     121.8552
     214     -54.7227     136.1607
     215     -80.5691     148.1072
     216     -87.1696      72.0600
     217     -90.0606      20.9821
     218     -47.3520     -55.9090
     219     -86.3294       1.0308
     220     -58.8911     -28.0151
     221     -97.4758     -32.5979
     222    -110.6701     -48.7309
     223     -65.8427     -20.0541
     224     -84.8696     -35.4110
     225     -81.3940     -25.9524
     226     -94.2684       7.5692
     227     -87.5459      32.0234
     228     -69.1321     -26.1694
     229     -66.3471     -31.7356
