#Frame            phi          psi
       1     -99.8482     -59.3546
       2    -117.4724    -123.0481
       3    -130.9112    -153.8273
       4    -119.9568    -162.6877
       5     -96.3278     140.8169
       6    -102.6034     103.9218
       7     -60.6775     126.0364
       8     -89.1692     105.0851
       9     -50.2911     132.0001
      10     -79.7435     134.0273
      11     -84.0290     152.2915
      12     -93.1207     111.6794
      13    -130.1276     137.2243
      14     -72.3168     126.8388
      15     -58.6457     143.9204
      16    -129.0812     144.1575
      17    -111.2545     132.7592
      18     -79.0288     154.3535
      19     -72.9904     117.0849
      20     -60.7453     128.4224
      21     -79.9775     135.4883
      22     -81.8007     140.1655
      23     -72.1019     144.8935
      24     -86.0512     114.7428
      25     -55.4626     131.9470
      26     -70.9449     152.9336
      27     -75.7132     149.0459
      28     -83.4462     151.6321
      29     -69.4677     167.8233
      30     -73.2262     150.0543
      31    -117.4852     124.4798
      32     -74.9739    -177.0754
      33     -86.2441     155.5819
      34     -74.8397    -177.8965
      35     -73.3047     140.5717
      36     -61.4602     142.6836
      37    -163.9272     168.1277
      38     -81.0625     127.8110
      39     -65.6442     147.8124
      40     -75.4340     141.4005
      41     -87.9390     165.1173
      42     -66.5387     163.9501
      43     -72.2822     148.8081
      44     -85.1450     167.2691
      45     -90.9542     174.4698
      46     -86.8677     144.9511
      47     -67.3606     151.2247
      48     -66.0212     150.2420
      49     -81.8113     175.4928
      50    -146.0911     165.4095
      51    -113.7780     164.7926
      52    -173.7228     172.4880
      53     -64.8478     142.8757
      54    -106.2146     118.3227
      55     -74.4525     140.6017
      56     -72.8633     168.0710
      57     -81.8116     141.5971
      58     -73.1843     151.0812
      59     -53.0747     148.7541
      60     -54.0641     135.5485
      61     -67.5251     127.6181
      62     -67.6361     159.1237
      63     -66.5436     129.2334
      64     -81.8540     128.9723
      65     -68.6314     135.7029
      66     -52.1571     147.7635
      67     -64.8744     122.4261
      68     -65.2855     127.9793
      69     -61.7655     136.7846
      70     -79.6464     154.7196
      71    -122.6952     151.5998
      72     -66.1195     143.9455
      73    -117.7808     115.5067
      74    -162.4056    -177.2400
      75     -90.1923     165.6400
      76     -51.1575     132.8926
      77     -67.2778     132.4141
      78    -119.0761     179.0570
      79     -54.7601     134.8755
      80     -77.9242     156.7555
      81     -72.6391     156.2388
      82    -130.9767     143.7970
      83    -124.9575     141.2227
      84     -65.2300     136.7682
      85     -67.8432     132.6674
      86     -86.2866     147.6231
      87     -90.2175     168.8584
      88     -77.4139     149.4286
      89     -66.2651     131.0714
      90     -70.9638     162.6125
      91     -76.1180     165.2017
      92     -75.3497     161.1909
      93     -88.4869     156.8826
      94     -93.0894    -163.3322
      95     -86.0366     125.6037
      96    -132.5103     123.2726
      97     -96.1734     140.6297
      98     -59.4779     148.3801
      99     -79.0097     124.7548
     100     -84.9260     139.8646
     101     -67.7440     138.2496
     102     -88.1120     178.5928
     103     -70.6808     169.7228
     104     -85.7578     171.3339
     105     -85.7109     173.6950
     106    -155.7980    -169.8314
     107    -107.0984    -178.4733
     108    -130.7804    -167.4418
     109     -85.2181     147.1183
     110     -91.7129     151.7566
     111     -88.9892     171.1465
     112    -117.3031     164.6899
     113    -126.4218    -177.5807
     114     -76.3615     168.8819
     115     -64.5709     152.5151
     116     -92.2780     163.5972
     117    -138.8608     159.7207
     118    -103.5631     167.8860
     119    -169.6073     174.1199
     120    -163.0746    -176.9008
     121    -134.7180     171.6685
     122     -70.4836     159.6448
     123     -91.5768    -178.0903
     124    -112.1645    -167.3029
     125    -119.7270     171.4247
     126     -91.6139     176.9189
     127    -136.5359     168.6678
     128     -96.1257     156.0680
     129     -51.4872     147.0986
     130     -76.3212     149.4773
     131    -103.3187     177.5017
     132    -139.7001     154.2086
     133     -89.5146     149.4743
     134     -70.3750     139.5768
     135    -117.8093     157.6160
     136     -63.3592     149.9425
     137     -72.0565     149.3243
     138     -66.5276     144.8221
     139     -77.0514     130.4253
     140    -146.6989     162.6545
     141    -168.8140     178.8735
     142     -62.6630     147.2211
     143    -125.0943     152.0477
     144     -75.5105     133.8886
     145    -122.6152      94.4396
     146     -96.4314     132.6641
     147     -79.4925     115.1094
     148     -63.6538     125.8905
     149     -78.4546      83.6847
     150     -65.0994     150.3686
     151    -143.5975     138.8727
     152     -60.8745     133.1971
