#Frame            phi          psi
       1     -77.3233    -167.2809
       2     -63.9020     174.4848
       3     -99.5131     166.4742
       4    -166.3979     159.9523
       5    -139.3573     178.6604
       6    -146.0210    -179.1251
       7     -80.0343     157.3781
       8     -65.0447     167.9286
       9    -162.1979    -173.8329
      10    -161.1541    -161.0207
      11    -125.0448     166.2512
      12    -153.3741     174.0055
      13     -88.0474    -154.7593
      14    -134.8412    -159.0191
      15    -178.1997     144.5585
      16    -129.0440     151.9489
      17     175.8950     158.5374
      18    -164.5523     125.6130
      19    -107.3417     161.0185
      20     -62.4915     168.1699
      21     -63.6609     152.2731
      22     -94.9594     171.4765
      23     -71.0200     150.5472
      24     -84.9272     141.4675
      25     -59.3193     157.1601
      26     -72.8674     173.6626
      27     -78.0035     146.8283
      28     -78.6562     154.1578
      29     -67.5103     153.1026
      30     -67.1106     150.6121
      31     -54.2466     156.9223
      32     -71.1017    -178.6999
      33     -69.3812    -165.1290
      34     -61.2040     148.2328
      35     -83.8660     162.6703
      36     -86.1770    -171.5957
      37     -87.2867    -156.2881
      38     -84.9840    -155.5549
      39    -164.6781     151.8065
      40    -122.4159     146.4301
      41     -63.4530     155.8850
      42     -53.0334     141.6963
      43     -52.8773     163.5661
      44     -79.0763     174.2216
      45    -105.3338     148.7230
      46    -128.4844    -138.2150
      47    -109.5191    -143.1707
      48    -161.7074    -133.9750
      49     -78.3901    -161.4121
      50     -69.2120    -165.2906
      51    -147.4640    -155.2643
      52    -169.6849     176.4124
      53    -151.8907     164.4582
      54    -113.1227     129.4055
      55     -96.0255     134.3459
      56     -69.3946     128.5199
      57     -69.5130     146.1344
      58     -56.7509     141.9737
      59    -107.1398     134.2793
      60     -52.0044     124.6756
      61     -80.3042     137.6585
      62     -64.0303     144.9399
      63     -64.6731     139.4299
      64     -52.3479     124.9422
      65     -75.5476     157.1784
      66    -140.8216     151.7881
      67    -140.9511     133.7523
      68     -59.4166     139.3275
      69     -93.2893     138.8532
      70     -68.8207     139.8426
      71     -84.2646     145.2266
      72     -73.9057    -174.6433
      73     -53.4338     163.8426
      74     -77.6978     147.4156
      75     -91.6859     143.4219
      76    -106.9971     149.8724
      77     -35.1525     125.5926
      78     -50.3484     147.7280
      79     -53.9068     167.6495
      80     -88.1560    -158.4328
      81    -161.0651     166.2706
      82     -64.6517     159.4282
      83    -153.9210     141.9514
      84     -63.1878     146.1578
      85     -63.0591     128.4798
      86     -47.6198     146.1431
      87     -80.6267     145.8059
      88     -71.2353     124.5519
      89     -67.1117     116.0203
      90     -74.4742     134.5205
      91     -77.9849     136.3186
      92     -65.0537     150.5812
      93     -61.4258     174.2147
      94     -91.5923     136.6180
      95     -61.8281     127.0809
      96     -77.4809     131.9903
      97     -76.1635     151.1284
      98     -60.0534     116.9563
      99     -80.1685     116.5821
     100     -81.9402     171.1339
     101     -82.5928    -177.5409
     102    -159.1247    -174.0685
     103    -146.1487    -161.4179
     104    -154.2280     160.5514
     105    -162.0261     167.0111
     106    -108.2691     161.1679
     107     -67.2013     170.6312
     108     -93.1006     165.8586
     109    -131.3416     161.4158
     110    -169.4028     127.0694
     111     -76.8131     174.8245
     112     -91.6652     177.0541
     113    -157.1487     175.7174
     114     -83.8314     162.7647
     115     -66.9568     155.3645
     116     -94.5201    -179.3180
     117    -139.8545    -159.9157
     118    -131.1427     147.1019
     119    -166.2418    -169.1921
     120    -156.5067    -177.3485
     121    -168.4326     142.3073
     122    -155.4263     156.1495
     123     -55.9363     142.7824
     124     -91.5474     158.2670
     125     -85.0897     157.3661
     126     -81.2252     139.2307
     127     -61.3300     124.2544
     128    -151.5538     145.2350
     129    -141.7609     155.8202
     130     -62.0806     135.5397
     131     -53.2659     168.8453
     132     -46.6430     133.1406
     133     -76.6672     156.7950
     134     -74.7624     147.8515
     135    -118.4949     158.0247
     136    -137.5670     132.8542
     137     -79.5658     142.6163
     138     -87.0903     145.9926
     139     -65.0771     107.8466
     140     -68.6608     115.3491
     141     -70.4953     117.6781
     142    -123.9538     167.5412
     143     -55.8123     173.2758
     144     -62.7826     178.3209
     145     -51.3789     139.2559
     146     -71.2183     164.2512
     147     -59.7324     136.0544
     148     -75.6622     156.6480
     149     -68.9362     148.0255
     150     -68.8732     167.7874
     151     -63.1489     149.4583
     152     -71.6088     146.5955
     153     -75.9769     148.0112
     154     -53.5469     134.9755
     155     -79.0233     126.6104
     156     -65.4150     147.7650
     157    -117.8663     129.1972
     158     -89.2689     140.6575
     159     -70.1399     140.7901
     160     -77.4228     136.3877
     161     -50.9848     130.4027
     162     -70.9680     135.5691
     163     -73.6641     158.6540
     164     -55.0041     141.7577
     165     -80.0207     161.3712
     166     -57.0195     151.9120
     167     -84.5619     176.2291
     168     -91.3831     155.8927
     169     -70.6259    -174.4303
     170     -66.2182     146.4889
     171     -62.2368     155.9105
     172     -63.9377     156.1252
     173     -61.9899     148.5211
     174     -60.6566     162.1335
     175    -160.8441     151.1103
     176     -93.8047    -159.7935
     177     -54.7308     168.8828
     178     -59.5783     131.8546
     179     -54.8581     125.6211
     180     -55.5402     130.9230
     181     -55.0666     150.2310
     182     -66.0788     143.4779
     183     -70.0141     144.2797
     184     -70.7652     160.2327
     185     -70.2353     143.8023
     186     -74.6799     138.4306
     187    -140.1437     172.9802
     188     -68.0574     146.0146
     189     -54.7116     132.0015
     190     -61.2717     137.1628
     191     -59.3842     155.7667
     192     -62.9137     139.0838
     193     -61.1051     138.8922
     194     -81.1215     118.7964
