#Frame            phi          psi
       1    -105.1610     146.0199
       2     -79.1819     155.3995
       3    -130.3569     160.6558
       4     -93.4882     179.4766
       5     -98.3580     173.1496
       6     -83.0740     167.2340
       7    -108.0598    -142.7137
       8     -62.9247     146.9392
       9     -92.2188     171.7136
      10     -45.1375     145.5643
      11     -62.6301     145.3148
      12     -68.8277     138.9339
      13     -76.0078     155.2905
      14     -85.7465     164.4002
      15     -62.1816     143.1576
      16     -65.0041     137.6890
      17     -78.1492     170.8490
      18     -77.5585     144.2205
      19    -104.4454     141.8171
      20     -61.2723     126.4790
      21     -57.3787     153.0067
      22     -94.8760     165.3068
      23     -73.4615     134.4680
      24     -96.4402     115.9534
      25     -85.7850     130.0282
      26     -82.0548      75.0417
      27     -78.1356     127.7843
      28     -81.7735     137.2755
      29     -74.7600     136.3278
      30     -93.7705     127.9872
      31     -78.0402     134.7678
      32     -82.7245    -168.6064
      33     -60.8184     164.2651
      34     -89.7325     168.8068
      35     -84.6138     174.5533
      36     -95.2610     167.9843
      37    -112.8500     167.8027
      38     -90.0223     169.3832
      39     -68.7792    -165.3718
      40     -79.5348     169.4011
      41     -64.1188     158.9592
      42     -90.9299     145.5064
      43     -86.2624     118.0231
      44     -62.0839     117.4837
      45     -74.8110     142.2431
      46     -67.4022     149.9423
      47     -95.6883     133.4364
      48     -67.0338     152.9601
      49     -96.9771     125.1300
      50     -82.4252     141.2810
      51     -88.4840      89.1455
      52    -101.1349     151.5577
      53     -69.1050     167.5569
      54     -94.1948     164.3014
      55     -99.5865     166.9499
      56    -135.2974     169.3087
      57     -79.1345    -177.6533
      58     -87.6973     170.8191
      59    -105.6964     165.6454
      60    -108.8088     149.4644
      61     -97.1472     121.8523
      62     -77.2172      81.5543
      63     -77.5975      77.0756
      64     -82.8496      68.6973
      65     -86.6286     110.1452
      66     -83.5905     125.0451
      67     -75.4990     138.2539
      68     -74.3710     141.1343
      69     -81.3086      84.5440
      70     -84.6079      82.6956
      71     -80.8651      71.5993
      72     -59.2324     159.0337
      73     -73.7652     137.0398
      74     -82.8024     157.1234
      75     -69.0867     143.5743
      76     -77.6482     147.3996
      77     -87.9192     159.9044
      78     -74.8027     140.8669
      79     -77.5089     177.9005
      80     -98.5886     171.2903
      81     -99.6399     158.7168
      82     -92.5229     136.9773
      83     -85.8921     139.7748
      84    -106.3539     107.0426
      85     -72.6680     113.3935
      86     -94.6162     108.7785
      87     -61.7560     128.9621
      88     -68.3604     134.2038
      89     -60.1722     162.5782
      90     -59.2965     156.2314
      91     -69.5324     150.6707
      92     -69.9924     154.6473
      93    -121.4075     140.7075
      94     -60.7140     150.5272
      95    -115.0477     170.4304
      96     -98.3006    -124.8765
      97    -117.2671     178.4299
      98     -90.4672     148.5313
      99    -118.1831     179.9291
     100    -115.0572     151.2289
     101     -58.6515     132.8853
     102     -64.9812     169.4367
     103    -118.6726     146.5922
     104     -72.0487     122.8255
     105    -106.6344     157.5220
     106     -95.0190     154.7148
     107     -76.6104     155.7651
     108     -83.1353     175.1155
     109     -87.5409     163.2447
     110     -58.1727     153.8142
     111     -67.7942     117.8258
     112     -59.3168     132.9645
     113     -79.3591     172.7353
     114     -65.9214     158.8836
     115     -84.9955     144.1628
     116     -70.6232     145.8700
     117     -90.8408     125.8618
     118     -76.2284     127.6290
     119     -62.1284     158.4817
     120     -88.6295    -174.6919
     121     -65.0692     156.8627
     122     -77.4561    -173.2995
     123     -82.9148     158.7762
     124     -71.7969     148.1344
     125     -94.6515     156.7000
     126    -101.4385     174.2618
     127     -70.7094     147.0131
     128     -62.8682     157.3300
     129     -77.0504     143.2717
     130     -69.3156     132.8608
     131    -115.5055     131.0790
     132     -72.0397     160.8629
     133     -87.8928     158.9433
     134     -75.7659     145.0228
     135     -81.5786     142.2996
     136     -68.1650     171.1439
     137     -90.8206     177.6748
     138     -66.7708     151.5956
     139    -103.3273     138.1942
     140     -74.4267    -175.4984
     141     -95.5960     139.1893
     142    -120.3740     132.7893
     143     -94.1281     167.9028
     144     -90.7552     144.2838
     145    -115.1515     150.7561
     146     -87.5050     167.4472
     147     -88.6300     177.3094
     148     -54.9562     145.8567
     149     -94.5041     123.6938
     150     -88.2437     128.8692
     151    -100.3456      77.1285
     152     -86.0589      96.6605
     153     -90.0929      74.8745
