#Frame            phi          psi
       1     -54.6022     112.0140
       2     -81.0795     148.4204
       3    -133.4134     145.0642
       4     -56.7860     140.4118
       5     -73.5263     159.2235
       6     -63.1530     133.2975
       7     -81.2589     156.5212
       8     -66.6600     124.1942
       9     -76.0766     121.9442
      10     -67.5226     148.7384
      11    -147.8308     144.2166
      12     -77.6442    -177.1703
      13    -144.3523     157.5321
      14    -131.1641     169.7209
      15    -155.1057     152.4422
      16    -168.0228     119.0062
      17    -128.9396     141.9321
      18    -152.1060     152.1397
      19     -70.1880     159.8669
      20    -173.2178     139.3652
      21    -161.3319     150.5453
      22     179.5135     144.6074
      23    -135.1834     145.1831
      24     -81.1852     141.8381
      25     -60.2722     121.5708
      26     -71.3175     129.5352
      27     -95.0909     132.4710
      28     -69.0055     158.8009
      29     -86.6406     179.5240
      30    -124.0766     154.6072
      31     173.8206     165.1483
      32    -164.1316     167.7034
      33    -177.0398    -158.6942
      34    -166.8778    -178.5123
      35     179.6356     166.3583
      36    -175.1617     141.0108
      37     -82.5160     167.3992
      38    -104.9395     161.2104
      39     -60.6952     156.1563
      40     -62.7312     152.0365
      41     -55.9894     154.9320
      42     -69.3291     158.4912
      43    -107.3596     152.4300
      44     -82.5560     159.5108
      45     -84.2052     175.8315
      46     -65.8778     172.9522
      47     -55.1207     148.8269
      48     -82.9374     155.7056
      49    -114.5101     142.9716
      50    -105.6056     160.4459
      51     -64.6165     158.2292
      52     -99.6209     155.5545
      53     -59.8002     125.3392
      54     -67.8858     128.0488
      55     -69.7349     152.4188
      56     -78.0806     140.6793
      57     -85.2612     147.0245
      58    -112.0112     118.7645
      59     -66.8662     146.1544
      60     -70.2674     141.6789
      61     -76.5580     143.2346
      62     -74.1602     170.8657
      63     -82.8236     131.9802
      64     -88.2774     129.7824
      65    -155.0049     115.4725
      66     -73.6271     142.9320
      67     -82.6176     136.8440
      68     -48.8688     140.1812
      69     -78.6573     167.8449
      70    -154.3475     147.2381
      71    -133.9155     139.8506
      72    -127.1085     142.0010
      73    -146.6517     138.2307
      74    -115.7542     149.9844
      75     -80.9718     134.0226
      76     -55.3312     127.9857
      77     -62.1820     127.1927
      78     -96.2162     143.9335
      79     -65.2229     159.6092
      80     -89.9370     164.9261
      81     -44.8453     132.5222
      82     -62.0878     156.0722
      83     -77.9781     142.5317
      84     -72.0601     131.2369
      85     -69.6547     123.0751
      86    -121.0167     168.0431
      87    -116.0700     155.7038
      88     -93.2189     170.4223
      89     -61.2761     131.1057
      90     -81.3752     159.4299
      91     -66.0066     156.6264
      92     -63.8495     137.3460
      93     -94.5515     173.8794
      94     -81.5031     151.9339
      95     -52.3634     159.4863
      96     -65.6145     165.0563
      97     -68.8746     134.1679
      98     -47.2487     147.9413
      99     -85.1893     138.7042
     100     -85.9920     136.1002
     101     -91.8751     148.6980
     102    -170.0840     176.4282
     103    -146.4001    -160.8823
     104    -156.5510    -177.2799
     105    -170.5181     172.3057
     106    -157.4126     166.9173
     107    -138.5498    -168.4790
     108    -175.9150    -173.2585
     109    -115.9789    -165.7907
     110    -170.5319    -158.7734
     111    -170.5863     163.3829
