#Frame            phi          psi
       1    -110.5380      -9.6348
       2     -87.9933     -12.3666
       3     -85.5879     -24.0314
       4     -81.4433      44.5865
       5    -115.3946       2.0979
       6     -90.7020     -10.2069
       7     -90.6554     -37.0709
       8     -83.7879      46.8274
       9     -81.2503     122.4504
      10     -77.0781      59.5121
      11     -87.3691      64.4716
      12    -137.6122     110.3352
      13    -113.4245     129.0044
      14     -91.4011     170.5649
      15    -146.5104     137.8089
      16     -74.8245     138.2276
      17     -71.9972     163.2554
      18     -99.6025     125.2745
      19     -86.2520      70.7531
      20     -89.1018     116.5554
      21    -151.5732     112.9568
      22     -83.6799     146.6082
      23     -83.4821     128.8806
      24     -79.4949     172.5239
      25     -58.1633     147.0511
      26     -68.7743     159.7702
      27     -69.4973     149.3870
      28     -94.5340     163.8085
      29     -61.5900     157.6090
      30     -69.6757     156.3570
      31     -89.3316     145.9773
      32     -79.4784     166.5895
      33     -71.8731     162.5136
      34     -78.1837     130.1248
      35     -51.3467     139.8143
      36    -152.9247     172.4308
      37    -145.1924     129.7151
      38     -84.5461     122.7092
      39     -55.0997     150.0476
      40     -90.3440    -174.4167
      41     -73.5419     162.3942
      42     -85.1842     164.4058
      43     -72.1444     162.8619
      44     -79.4888     129.4371
      45     -64.8087     165.6176
      46     -69.9739     154.3075
      47     -74.3527     152.6899
      48     -74.4691     154.2960
      49     -60.3792     140.6304
      50     -74.1813     164.7091
      51     -66.4368     159.9300
      52     -65.2863     136.3716
      53    -113.5985     129.6068
      54     -61.1256     142.4643
      55     -56.1639     126.8994
      56     -85.7423     140.8196
      57     -73.2223     117.8647
      58     -67.6347     111.6659
      59    -111.3047      94.7676
      60    -154.4725     141.8455
      61     -67.5853     166.1901
      62     -72.7375     135.3124
      63     -67.0703     157.6542
      64     -56.5147     149.2482
      65     -68.4490     149.5010
      66     -72.1588     156.8920
      67     -71.8134     166.5904
      68     -70.9683     152.2990
      69    -114.6929     144.3396
      70     -65.4792     160.2818
      71    -149.6914     140.3767
      72    -150.1368     159.3319
      73     -70.4280     153.8114
      74     -68.9056     146.7938
      75     -65.4894     136.3683
      76     -81.7793     151.0399
      77     -75.5824     163.5918
      78     -69.0480     144.7911
      79     -60.4853     137.8011
      80     -67.9973     145.3077
      81     -59.5052     153.0818
      82     -59.2129     157.5756
      83     -81.0981     167.3085
      84    -118.4712     173.3280
      85     -66.2049     151.9254
      86    -105.2268     174.0277
      87    -162.2094     154.6697
      88    -149.1611     167.7934
      89     -98.1072     138.8180
      90     -68.0530     176.1545
      91    -138.9578    -111.7641
      92    -115.2815     -97.1954
      93    -130.5147    -138.6480
      94    -134.5470    -140.9738
      95    -104.3831    -116.8138
      96     -96.5563    -127.3242
      97    -133.3444    -127.2979
      98     166.4725    -156.7417
      99    -177.1191    -143.7258
     100    -102.2305    -157.3492
     101     -80.6734     162.8075
     102     -74.5729     152.5291
     103     -70.1681     166.0995
     104    -154.2455    -157.7730
     105    -153.8696     141.8599
     106     -60.2826     172.2765
     107     -60.2041     144.7770
     108     -63.8163     153.3971
     109     -70.4656     156.2974
     110     -67.3246     175.7928
     111     -62.3695     164.0139
     112     -87.6900    -117.8114
     113    -147.7036    -175.7184
     114     -70.1361     168.3716
     115     -53.4980     139.6498
     116     -65.7943     149.4911
     117     -74.6822     162.3431
     118     -88.2276     178.3073
     119    -133.4254     144.0432
     120     -69.4567     144.3598
     121     -66.9437     154.7295
     122     -85.1072     173.1701
     123     -53.6726     142.1855
     124     -59.5641     146.2599
     125     -61.7200     148.5623
     126     -74.2571     150.5658
     127     -41.9741     137.9537
     128     -95.2149     125.8350
     129     -71.7100     145.6009
     130     -56.3239     124.5890
     131     -56.4421     130.2856
     132     -97.8642    -176.3994
     133     -65.4350     138.0125
     134     -80.4447     159.7963
     135     -77.6626     166.7261
     136     -70.5630     149.4945
     137    -163.1932     149.3997
     138    -168.0538     135.7391
     139    -166.4049     164.4869
     140    -168.4427     163.3928
     141    -172.8811     162.6129
     142    -162.3974     133.8494
     143    -168.3048     155.7321
     144    -140.9687     169.3034
     145     -71.5956     166.4397
     146     -88.6786     165.3105
     147     -56.4157     138.9301
     148    -139.2737     139.6644
     149     -52.1424     142.6964
     150     -79.9419     116.5227
     151     -49.5793     142.5372
     152     -71.5648     160.8998
     153     -62.9701     126.5532
     154     -72.3546     116.8262
     155     -72.0501     154.6023
     156     -73.0203     138.0559
     157     -70.5674     152.5797
     158     -64.0667     147.7307
     159     -84.6148     110.4954
     160     -76.6603     154.4163
     161     -79.1833     153.4737
     162     -70.6056     153.5114
     163     -79.7248     131.4256
     164     -74.0498     113.2877
     165     -48.4701     142.0831
     166     -69.4281     159.3921
     167     -72.6453     137.1609
     168     -68.3365     154.5494
     169     -56.5997     136.9040
     170     -64.7654     126.7418
     171    -110.0686     163.5155
     172     -54.1496     134.3249
     173     -65.1529     138.2445
     174     -79.2951     167.2839
     175    -111.7715     119.7021
     176     -86.6137     131.5572
     177    -157.5812     168.1781
     178     -73.6549     160.9266
     179     -63.6938     146.2913
     180     -64.2842     159.8704
     181     -68.6511     144.4727
     182     -58.4378     160.5031
     183     -61.5869     138.1717
     184    -103.0057     166.9405
     185     -86.7548    -172.2876
     186     -56.9342     142.5259
     187     -67.8817     159.4886
     188     -45.8183     138.6679
     189     -65.5941     164.3482
     190     -75.0728     148.2144
     191     -78.6338     150.1693
     192     -67.6447     160.9147
     193     -62.7610     150.5651
     194     -55.5936     145.5834
     195     -63.2534     160.0101
     196    -114.3579     134.6079
     197     -85.8607    -163.9673
     198     -85.7614     162.6912
     199    -141.8385     167.2994
     200    -144.0316     146.0717
     201    -141.8478     126.7528
     202    -140.1289     162.2869
     203    -160.2055     151.9237
     204    -162.6320     119.7065
     205    -156.4132     153.8838
     206    -147.8408     165.6251
     207    -145.5753     123.6247
     208    -141.1352     150.1177
     209    -124.2617     159.0363
     210     -63.8001     153.1634
     211     -69.6086    -179.2230
     212     -71.2487     163.3570
     213     -67.0020     174.0489
     214     -77.1097     156.3593
     215     -68.0765     150.1116
     216     -74.8514     158.3036
     217     -83.8768     163.7841
     218     -87.1665     130.1337
     219     -60.8298     146.6360
     220     -45.7893     142.5675
     221     -84.7825     162.4511
     222     -62.0382     160.9606
     223     -76.7997     166.2621
     224     -62.6228     148.8862
     225     -51.2717     132.3680
     226     -78.2610     169.7890
     227     -63.5230     170.0365
     228    -171.6133     148.8245
     229     -72.8391     156.2383
     230     -91.3425     153.3035
     231     -83.9097     152.5440
     232    -142.6226     166.1072
     233    -148.9730     142.3763
     234     -77.9211     154.0017
     235     -68.2293     165.8276
     236     -75.8733     153.9900
     237    -140.4710     165.6837
     238    -163.9006     170.3289
     239    -160.8189     158.3428
     240    -162.5437     131.2201
     241    -147.0983     141.3071
     242    -168.2730     158.8729
     243     -79.0829     137.5295
     244     -99.3143     127.6181
     245     170.7198     112.4612
