#Frame            phi          psi
       1    -120.7811     -18.4077
       2    -145.4486     -17.0265
       3    -152.3172     -30.6707
       4    -155.8173      -1.2189
       5     -74.3866     -32.4348
       6     -97.5372      -6.3792
       7     -77.0294      -5.7309
       8     -68.4675     -15.1397
       9    -124.5115      -3.0141
      10    -155.6195      -0.6974
      11    -109.0382      13.5654
      12    -118.0399     -25.1834
      13     -68.4513     -29.7498
      14     -49.0208     -43.9053
      15     -43.9126     -36.1971
      16     -66.3385     -29.1306
      17     -84.7618     -32.7602
      18     -73.2366     -13.0243
      19     -71.3099     -21.1056
      20     -68.6303     -18.1050
      21    -130.2712       3.3878
      22    -177.7940     -35.3628
      23    -164.3797      12.3233
      24     -59.9961     -38.8935
      25     -86.7121       6.0614
      26     -84.4515     -17.6736
      27     -83.3640      -6.6053
      28     -85.3081     -10.2750
      29    -125.6193     -13.6914
      30    -131.2347     -22.2939
      31    -116.8266     -38.8884
      32     -82.7864       4.1447
      33     -86.1307     -21.6457
      34     -90.0227     -14.9275
      35     -64.3964     -44.1633
      36    -122.5169     -41.7825
      37     -69.9914     -24.2448
      38     -64.4848      -0.6319
      39     -66.6261     -18.4722
      40     -63.5860       1.9779
      41     -85.1658      -4.0842
      42     -73.6366      -9.0526
      43     -68.4231     -23.2888
      44     -77.7606       1.4596
      45     -72.9973     -21.2884
      46     -67.8621     -13.7858
      47     -70.2742     -17.8415
      48     -86.0003     -30.9484
      49    -120.6116      18.3444
      50    -100.3567      10.9124
      51     -75.0171       3.6495
      52     -68.2053     -13.8615
      53     -61.2097       5.4114
      54    -112.7001      20.7796
      55     -96.4224      19.2120
      56     -85.9610      -0.4164
      57     -67.2130     -24.8240
      58     -71.5425     -24.8158
      59     -93.3458     -41.3026
      60     -75.9217     -54.7896
      61     -67.0677     -33.6784
      62     -80.6007     -21.4299
      63     -84.2172     -73.2216
      64     -70.7385     -24.8767
      65     -52.3994     -29.0245
      66     -67.0965     -13.9853
      67    -105.0292     -28.4556
      68     -85.6539      -3.6054
      69     -85.4530     -20.0926
      70     -80.4451      20.0129
      71     -84.9021     -16.8735
      72     -77.9016     -27.0934
      73     -79.1962     -13.8812
      74     -78.9907     -17.9801
      75     -67.3571       2.9389
      76    -120.4009       1.6058
      77    -137.1286       8.6812
      78     -67.7630     -27.6464
      79     -81.6859      16.1463
      80     -58.0489      25.1081
      81     -77.2001     -31.5378
      82     -74.0775      37.1081
      83     -94.1536      29.6800
      84     -75.8418      -7.7270
      85     -66.1214     -29.7004
      86     -70.7006     -25.9812
      87     -66.0082     -39.3553
      88     -59.9471     -40.8615
      89     -89.2687      -2.1482
      90     -78.6932      -7.4284
      91     -73.6529     -23.8812
      92     -76.6701     -27.5739
      93     -84.4366      14.9336
      94     -89.2149       2.9511
      95     -92.7494     -41.1175
      96     -77.7517     -18.1811
      97     -74.5242     -32.8702
      98     -77.2544     -31.8925
      99     -43.3716     -40.7650
     100     -59.9957     -33.1065
     101     -68.6684     -22.8166
     102     -75.0276      -4.3411
     103     -71.5743     -39.2457
     104     -77.0697     -20.1728
     105     -90.2294       2.7204
     106     -73.6027     -24.5688
     107     -74.8011     -34.5704
     108     -78.9114      25.8234
     109     -72.2736     -24.7487
     110     -77.3137      -9.5998
     111     -79.5612       0.3193
     112     -90.1432     -25.0667
     113     -67.6580     -11.1890
     114     -87.9044     -27.6153
     115     -77.6856      36.1999
     116     -76.5976     -23.1791
     117     -77.4020      -2.4426
     118    -111.7334       2.8712
     119     -62.6396     -16.7265
     120     -88.5217      -9.3776
     121     -89.2207       0.9027
     122     -46.8432     -25.1079
     123     -80.3163     -11.9493
     124     -78.1694      14.2727
     125     -70.7078     -21.8509
     126    -113.2123       3.1867
     127     -60.3563      -8.6106
     128     -89.9227       1.7710
     129     -80.4023      -1.1179
     130     -98.1144      -9.8802
     131     -81.4709     -11.8808
     132     -68.4698     -21.5596
     133     -75.3250      -1.4940
     134     -67.0018     -12.0031
     135     -89.2533       0.5709
     136    -122.9495      12.4568
     137     -65.9938     -32.0207
     138    -102.9364      -2.1356
     139     -69.0352       2.1104
     140     -77.3635      24.1596
     141     -74.7184     -18.1232
     142     -99.6028     -16.0853
     143     -69.7884      11.4421
     144     -75.9961      -6.8797
     145    -157.8590     -12.1407
     146     -87.1537     -21.4928
     147    -106.0051     -16.4637
     148    -129.2248      -4.6317
     149     -92.0080      -5.0622
     150     -76.6017      -9.1727
     151     -53.1284     -44.3129
     152     -58.9631     -23.0043
     153     -73.5321      -8.6906
     154     -80.9527       0.0769
     155     -80.0235     -11.9891
     156    -112.6320      -7.8322
     157     -61.6601     -25.7721
     158     -72.2553     -34.8736
     159     -94.3842       2.6928
     160     -87.4199     -22.5108
     161     -81.7107     -19.9714
     162     -67.6218     -32.9335
     163     -75.8584      -8.6775
     164     -75.6565      -1.1923
     165     -71.7380     -19.0494
     166     -74.4508     -33.7694
     167     -56.5545      -0.0762
     168     -91.8867      13.8461
     169     -53.7220      -0.0941
     170     -84.6617     -22.4972
     171     -61.0232     -19.0817
     172     -83.3593     -11.9608
     173     -84.0586      -7.5561
     174     -58.3393      -8.0655
     175    -101.7358     -17.7127
     176     -82.1993     -19.0116
     177     -78.8600     -24.4068
     178    -100.6326      -1.5097
     179     -96.5026      -4.5782
     180     -67.5032     -27.5144
     181     -96.3504      -7.5491
     182     -80.4904      10.0043
     183     -68.4666     -12.6586
     184     -50.3942     -34.2534
     185     -73.8962     -12.8700
     186     -40.3243     -44.2158
     187     -80.9912     -38.3158
     188    -134.9462       6.9090
     189     -60.0257     -17.5480
     190     -66.0447     -28.7052
     191     -89.2385       5.7724
     192     -96.6450     -10.8834
     193    -116.7811      -8.4719
     194    -161.9751       9.3769
     195    -149.9789      16.9415
     196    -142.4730       6.0744
     197    -142.8759      11.2457
     198    -139.4052       5.9946
     199    -148.2016       8.2718
     200    -156.7200      32.1798
     201    -153.3017       1.9421
     202    -160.5312      39.8716
     203    -138.2806     -17.6443
     204    -160.7925     -11.3483
     205    -132.0540     -20.8429
     206    -169.2400     -14.0166
     207    -131.4181       0.2416
     208    -144.3689     -43.2885
     209    -161.6809     -29.7317
     210    -145.7262     -45.3661
     211    -134.8477       1.4031
     212    -163.5495     -45.8580
     213    -158.5996     -22.8173
     214    -147.5749     -37.8411
     215    -131.7814      24.4219
     216    -150.4144      20.2632
     217     -83.1337     -13.4026
     218    -104.7822     -13.5078
     219    -143.0558      19.1984
     220    -136.8966      29.2431
     221    -133.1213      19.5477
     222    -135.6434      16.9492
     223    -148.7923      -3.9970
     224     -89.6503     -47.7352
     225    -156.5029     -59.5465
     226    -166.0096     -49.8616
     227     -96.7526      10.0906
     228    -116.8380      -7.8967
     229    -103.6262      -2.1050
     230    -159.2552     -28.3631
     231     -74.4116     -19.9259
     232     -88.0699     -15.5420
     233     -80.1242     -10.6755
     234     -86.4052     -23.1196
     235    -168.6276     -23.2587
     236    -148.4841      -1.2801
     237     -48.8997     -37.1004
     238     -63.1379     -22.6562
     239     -63.8973      -7.0056
     240     -68.8939     -18.8269
     241     -68.8705     -18.1718
     242     -73.7016     -56.4041
     243     -88.6756     -54.2964
     244     -87.2831     -44.3704
     245     -66.7519     -13.7678
     246     -68.1554     -23.6123
     247     -76.4019      65.6404
     248     -75.6133      39.4445
     249     -82.9420     -11.4744
     250     -86.0886       2.2114
     251     -74.9763     -18.0496
     252     -75.5795     -52.8164
     253     -55.5799     -29.8674
     254     -80.2150      18.0198
     255     -89.8093     -36.9477
     256     -99.1515      -4.8585
     257     -63.9201     -35.6583
     258     -50.9976     -12.9408
     259     -82.8533     -22.7329
     260     -75.5524     -30.8728
     261    -152.1555      13.2821
     262     -78.0925     -20.0938
     263     -81.9259     -19.3366
     264     -95.3856      23.4196
     265    -131.3938     -12.0000
     266    -128.8158     -31.0382
     267    -154.2481      -0.6561
     268    -135.7886     118.3094
     269    -126.2411    -170.7362
     270     -96.1802     145.8684
     271     -60.2206     147.0564
     272    -155.1518     114.2459
     273    -147.9723     149.5905
     274    -167.1465     158.7044
     275    -164.2594     148.0164
     276     -51.4084     153.5769
     277     -71.6961     141.5764
     278     -63.2656     137.8873
     279     -49.2262     148.0445
     280     -52.9877     135.7444
     281     -73.6669     139.9087
     282     -68.2407     151.0791
     283     -76.7923     166.8278
     284     -84.4733     134.3596
     285     -75.8194     148.2186
     286     -62.7623     141.5953
     287     -56.9579     132.6561
     288     -61.2901     146.8112
     289     -97.3964     169.6813
     290     -67.9084     165.5802
     291     -81.2793     151.8270
     292     -66.5696     125.3063
     293     -53.9064     128.3336
     294     -75.5178     166.7290
     295    -116.4737     170.9981
     296     -63.9273     164.4998
     297     -87.3348    -175.2979
     298     -33.2811     145.2076
     299     -68.9521     147.5629
     300     -61.0003     162.4787
     301     -64.7688     168.9417
     302     -63.9674     155.6603
     303     -61.8395     144.2290
     304     -77.4330     138.5028
     305     -43.0206     164.5616
     306     -67.3303     171.4599
     307     -70.4289     155.3619
     308     -89.8307     166.5202
     309     -98.7390     167.8348
     310     -59.7785     150.3578
     311     -62.2608     132.9658
     312     -74.2904     162.4947
     313     -62.3934     151.0735
     314     -84.9222     151.4864
     315     -69.9335     152.1066
     316     -73.3766     152.7455
     317     -89.7814     177.2837
     318     -58.8891     143.9899
     319     -62.1173     174.3579
     320     -87.2525     176.6658
     321     -84.2901     156.4252
     322     -63.4006     135.0915
     323     -73.0180     146.0112
