#Frame            phi          psi
       1     -62.2463     163.8539
       2     -64.5109     154.6746
       3     -87.9107    -169.7098
       4     -63.4533     163.3796
       5     -69.4737     154.2068
       6     -68.8067     136.7525
       7     -61.5409     159.8418
       8     -50.5326     150.8630
       9    -154.3560     133.3226
      10     -74.1918     152.8822
      11     -61.1454     156.2732
      12     -67.7252     162.0963
      13     -61.2783     176.8392
      14     -88.6847     146.2349
      15     -71.5459     139.2989
      16     -85.9429     145.7996
      17     -52.9555     156.4240
      18     -66.4540     170.5160
      19    -119.3985     178.1530
      20    -137.9208     168.1483
      21     -71.0963     157.9067
      22     -75.3458     164.9518
      23     -50.4153     148.4990
      24     -77.6648     143.2146
      25     -61.8735     161.2760
      26     -50.3401     143.0110
      27     -59.7575     155.6093
      28     -79.2612     136.6856
      29     -63.1847     149.9914
      30     -51.5338     148.0634
      31     -59.9327     177.3418
      32     -84.0820     143.1577
      33     -76.0918     135.6603
      34     -59.0616     159.0343
      35     -56.7380     146.4235
      36     -95.2325     141.3253
      37     -83.5528     166.7550
      38     -94.9053     119.2750
      39     -60.6760     155.2849
      40     -67.3639     149.0747
      41     -68.9230     143.1433
      42     -69.8642     165.6012
      43     -87.1675     169.5610
      44     -58.7122     142.3670
      45     -79.0052     150.7320
      46     -70.1050     161.4769
      47     -57.5301     159.9060
      48     -76.8409     147.8348
      49     -51.4713     136.9511
      50     -89.8873     159.1374
      51     -58.2699     144.2033
      52     -68.2871     152.7509
      53     -77.7761     175.1738
      54     -74.7324     171.2633
      55    -131.4564     154.2972
      56     -69.9837     137.6016
      57     -97.9905     122.1704
      58    -136.8226     122.2689
      59     -39.2298     124.4854
      60     -70.3458     157.6572
      61     -73.0083     166.6830
      62    -122.8118     156.4161
      63     -68.7946     158.4477
      64     -71.8850     172.5787
      65     -88.5777     177.4161
      66     -71.1215     168.8874
      67     -59.4544     164.5663
      68     -92.0594     165.1629
      69     -67.8073     154.0186
      70     -64.1641     140.6317
      71     -50.1634     149.1663
      72     -89.3305     160.8278
      73     -66.6907     157.5385
      74     -70.6984     174.4659
      75     -68.5968     167.1914
      76     -61.3467    -174.4021
      77     -72.1236     156.1433
      78    -120.9122     146.5888
      79     -74.0352     177.7557
      80     -74.5356     161.6154
      81     -60.7691     157.2205
      82     -91.7623     166.6569
      83     -53.7483     136.9595
      84     -95.0471     156.8945
      85     -69.0213     135.9496
      86     -68.6606     161.9698
      87     -77.2948     166.0534
      88     -76.6616     142.9980
      89     -71.2284     139.0596
      90     -71.8588     152.7644
      91     -65.4040     136.7231
      92    -154.8313     151.8255
      93    -168.9175     149.5401
      94    -174.6026     150.3561
      95     176.3665     149.4445
      96    -170.3884     166.5079
      97    -136.0783     137.6269
      98    -162.2731     146.6452
      99    -174.1707     166.4617
     100     174.4162     151.8503
     101    -172.9676     164.0773
     102     -68.2260     161.4734
     103     -83.8876     111.2938
     104     -64.7558     153.7573
     105     -72.0187     129.7116
     106     -62.3360     134.9729
     107     -86.9624     158.6549
     108     -66.3083     161.6859
     109     -56.8097     141.9909
     110     -49.9222     132.9091
     111     -51.4137     143.4725
     112    -109.8009     130.6817
     113     -60.0857     113.1090
     114    -160.6012     139.9245
     115     -64.0007     141.9327
     116     -70.6048     155.3878
     117     -69.3976     151.4818
     118    -140.7570     167.7292
     119    -142.4432     165.1707
     120    -159.4794     163.3565
     121    -164.0540     157.2715
     122     -69.4008     162.9258
     123     -69.7424     158.1814
     124     -84.5280     146.6204
     125     -53.8704     127.2542
     126     -65.2218     146.8329
     127     -50.4721     149.8124
     128     -94.6129     151.3274
     129     -73.7304     150.2728
     130     -50.3915     131.0128
     131     -82.5007     155.7294
     132     -53.9300     146.0409
     133     -63.4788     170.4028
     134    -162.8233     140.1366
     135     -65.0890     141.2170
     136     -83.2644    -166.7765
     137     -81.3483     177.2021
     138     -75.2758    -177.7787
     139     -78.7295     157.1678
     140    -113.4851     177.2093
     141     -74.9399     157.7079
     142     -68.9108     140.5792
     143    -154.9212    -164.5351
     144     -89.1820     173.1799
     145    -132.3819     160.5884
     146     -67.6224     159.8364
     147     -76.8437     169.2779
     148     -59.2179     154.5163
     149     -69.1960     164.1827
     150     -64.5300     153.0581
     151     -71.2215     170.1432
     152     -68.0548     157.2879
     153     -66.0645     169.6999
     154     -65.5625     170.6553
     155     -95.5271    -165.6683
     156    -113.0840    -177.2932
     157    -111.7116    -118.9132
     158    -133.0296    -162.2540
     159     -55.2755    -137.6194
     160     -62.9330     166.3532
     161     -64.7865     155.0166
     162     -64.6202     145.0821
     163     -63.6439     171.4926
     164     -65.7314     162.0200
     165     -67.9217     152.2415
     166     -70.1031     130.9232
     167     -70.2834     146.3896
     168     -75.0074     144.4971
     169     -56.1781     139.3426
     170     -66.2896     170.0982
     171     -70.4048     143.6228
     172     -68.4027     162.3385
     173     -61.2246     155.6263
     174     -65.7981     174.5742
     175     -78.7066     161.7742
     176     -69.6175     169.4193
     177     -97.5854     170.6048
     178     -66.0612     159.8866
     179     -70.6258     147.4221
     180     -70.6139     155.4988
     181     -98.3737     150.8200
     182    -131.1142     144.9431
     183     -69.0574     160.2698
     184     -79.8514     136.0061
     185     -79.3321     150.6757
     186     -82.8533     171.8492
     187     178.1719     176.4318
     188     -86.7212    -176.5930
     189     -86.3441     171.3328
     190    -108.1122     174.4850
     191    -120.6229    -174.6737
     192    -165.0854    -169.7831
     193    -145.7429    -131.3597
     194    -139.6057    -140.7667
     195    -104.2860    -131.8836
     196    -155.8760     -77.4918
     197     -94.6095     -85.2729
     198     -79.6992    -111.5141
     199     -95.9875     -81.0398
     200     -67.1309    -106.2268
     201     -94.2886    -143.5240
     202     -61.6109    -116.2343
     203    -101.3861     -99.0925
     204    -100.7139     -27.0587
     205    -131.1905     -80.3620
     206    -133.3473     -67.3171
     207    -114.0239     -80.1372
     208    -114.5721     -71.1327
     209     -91.6332     -35.7534
     210    -103.9947       9.1824
     211    -118.9339     -19.3596
     212     -85.5647       1.3775
     213    -109.9092      14.2688
     214     -89.3563      -9.6746
     215     -88.9984     -30.6981
     216     -90.8889     -14.0888
     217    -179.0774      -4.5351
     218    -148.7127      14.8254
     219    -171.3325      20.6051
     220     168.1169      -5.9008
     221    -139.4661     -78.4729
     222     175.1922     -84.8135
     223    -170.2183     -67.7505
     224     -75.1809     -17.3639
     225    -129.5607      -1.3851
     226    -143.8464       2.2473
     227    -102.7447       6.0640
     228    -102.4249      -8.4891
     229     -97.6158     -20.8082
     230     -64.6880     -36.9305
     231     -60.4908     -31.0895
     232     -83.9205     -12.0781
     233     -84.5557     -14.4060
     234     -73.8151     -47.5859
     235    -169.9532     -33.0771
     236     162.6962     -55.9857
     237     155.1066     -18.1258
     238    -167.3052      -0.9481
     239     -86.0867     -25.7307
     240    -120.7676      -6.9836
     241    -123.7437       3.7536
     242    -122.9557     -12.0398
     243     -70.2008     -14.2863
     244    -137.1506     -90.2194
     245     -96.1752     -74.9468
     246     -95.3149     -52.9035
     247    -135.7351    -115.8840
     248     -92.5450    -121.7254
     249    -139.4990    -129.0587
     250    -151.6895     -94.7936
     251    -122.9004    -117.3738
     252    -124.3008     -91.3798
     253     -86.7280    -145.0226
     254     -61.8274    -136.7670
     255     -74.9947     159.8920
     256     -41.1921     120.9930
     257     -57.8238     137.4580
     258     -55.5754     132.2502
     259     -82.6357     149.0032
     260     -48.6422     144.1241
     261     -69.4707     141.9489
     262     -74.4374     158.8711
     263     -62.1820     139.4198
     264     -57.7285     151.0656
     265     -77.4874     148.0581
     266     -59.8082     140.4238
     267     -74.6863     154.3157
     268     -70.4536     156.1042
     269     -73.5387     165.5994
     270     -65.9527     161.2075
     271     -89.4877     175.0552
     272     -56.5978     160.4279
     273    -109.4088     168.7075
     274     -71.0290     164.1524
     275    -114.4053     151.1359
     276     -60.9353     144.4235
     277     -62.6189     157.1656
     278     -70.5284     166.5046
     279     -70.9980     137.1938
     280     -89.1314     131.4171
     281     -92.6810     150.5122
     282    -155.6958     155.8995
     283     -88.3021     132.1771
     284     -58.9140     151.0050
     285     -56.6637     160.9178
     286     -65.2406     158.6180
     287     -66.8344     159.0131
     288    -160.4591     139.4929
     289     -62.2624     132.9485
     290     -68.1121     141.4381
     291     -59.8160     151.9747
     292     -83.4976     167.2524
     293     -68.1233     149.7528
     294     -60.4760     144.2830
     295     -84.0577     154.3181
     296     -72.1304     144.6580
     297     -66.0200     130.5131
     298     -74.0790     153.7765
     299     -69.0311     149.6095
     300     -70.6704     133.5176
     301     -79.9442     156.4945
     302     -76.9862     155.2045
     303     -58.1174     149.1139
     304    -163.4789     141.5961
     305     -84.9672     153.1803
     306     -76.5269     165.0100
     307    -103.8399     152.2962
     308    -160.1345     158.3038
     309    -155.9133     167.9683
     310    -151.7916     147.4223
     311    -139.5696     139.4160
     312     179.8377     130.2847
     313     -97.4106     169.7601
     314     -58.1590     154.0670
     315     -68.8599     163.2727
     316     -70.5556     142.7606
     317     -59.5422     152.9261
     318     -71.2263     166.3905
