#Frame            phi          psi
       1     -50.4362     163.1342
       2     -81.0579     123.5185
       3    -114.4758     132.2985
       4     -62.9895     120.1314
       5     -85.9129     137.0374
       6     -60.8496     144.9065
       7     -73.0327     144.8535
       8     -81.5627     126.1200
       9     -65.6457     152.0341
      10    -104.2928     124.0685
      11     -90.4101     125.2676
      12    -133.5664     155.1830
      13     -57.7846     151.3106
      14     -85.4304     161.4846
      15     -81.6147     155.4329
      16     -72.9214     155.7263
      17     -84.1473     133.9075
      18     -96.6826    -176.9144
      19     -80.9927     126.5477
      20     -69.7029      86.9769
      21     -91.5400     161.4228
      22     -94.3811     142.6813
      23    -100.8705       8.9753
      24     -74.7645     -29.3540
      25     -67.0516     -53.9877
      26     -44.7869     -26.6409
      27     -90.0816     -63.6440
      28     -86.2655     -25.3622
      29     -74.2520     -23.6694
      30     -99.4817       3.4699
      31     -65.6850     -38.8200
      32     -61.0048     -26.0290
      33     -78.7444     -29.2308
      34     -77.7900     -28.6821
      35     -96.1023     -32.7929
      36     -74.4818     -42.5734
      37    -121.2620     -23.2258
      38     -90.9515     -41.5082
      39    -130.1490     -32.0668
      40    -137.6413     -25.6976
      41     -68.0021     -34.0545
      42     -60.6273     -31.8962
      43     -70.7041     -48.9212
      44    -125.1423     -14.4717
      45     -67.2024     -26.2256
      46     -91.9463     -24.9459
      47     -95.4239     -51.3199
      48     -74.8813     -47.1734
      49     -77.0069     -54.8511
      50     -81.0947     -38.3229
      51     -91.6338     -57.9968
      52     -70.4388     -28.3665
      53     -28.8488     -50.4532
      54     -76.8670     -35.0317
      55    -142.8770     -56.4298
      56    -116.8405     -60.2271
      57     -51.7286     -70.4844
      58     -71.5402     -42.4183
      59     -62.1187     -64.3374
      60     -88.5207     -30.8615
      61     -64.0243     -28.8972
      62     -77.6154     -30.1856
      63     -69.6671     -35.8819
      64     -98.6173     -29.3195
      65    -103.1076      -4.9534
      66    -122.8422      17.9193
      67     -63.4630     -67.2096
      68     -76.6243     -32.1424
      69     -31.9580     -51.9808
      70    -129.9566     -37.0126
      71     178.4748     -64.7857
      72    -125.1098     -47.1899
      73    -170.6429     -56.8531
      74    -152.9465     -46.9125
      75     -56.2727     -51.8040
      76     -99.3661     -42.0914
      77     -55.2520     -41.9226
      78     -60.0403     -37.9922
      79     -51.0508     -51.6018
      80    -112.2203     -61.9371
      81    -147.9661     -23.6063
      82    -116.8254     -56.4513
      83     -97.5983     -24.4487
      84     -86.6844     -38.7002
      85     -82.3077     -46.9421
      86     -79.1253     -17.3074
      87     -88.7151     -39.4671
      88     -73.1106     -39.6529
      89     -71.5114     -31.5389
      90     -69.3121     -46.6480
      91     -60.9879     -46.3915
      92     -83.7296     -16.4667
      93     -94.6377     -36.8250
      94     -74.8232     -42.7316
      95    -150.0832     -22.0562
      96    -132.6540     -23.9965
      97     -95.7874     -53.6019
      98     -74.4144     -47.8479
      99     -58.0348     -33.8187
     100    -126.5423     -57.2382
     101     -76.4707     -41.0891
     102     -63.1674      -0.4001
     103     -76.7083     -45.7346
     104    -148.1340     -14.7737
     105     -87.5379     -26.6991
     106     -83.6059      -6.6862
     107     -69.5414     -40.9716
     108     -89.0424       3.2828
     109     -80.0965     -46.2543
     110     -69.9004     -25.5962
     111     -66.1098     -34.3314
     112     -77.3232     -64.9530
     113     -83.8998     -39.4835
     114     -48.2407     -41.8666
     115     -73.5405     -59.7622
     116     -78.2708     -39.8386
     117     -72.9574     -41.0905
     118     -70.6298     -30.3180
     119     -67.2513     -66.7775
     120     -79.7468     -54.0011
     121     -88.4960      -2.7508
     122     -51.0800     -62.3409
     123    -101.5590     -17.3629
     124     -48.7687     -29.7483
     125     -53.6766     -35.2907
     126     -77.7424     -35.1958
     127     -84.6787     -25.2170
     128     -70.9737     -50.2624
     129     -60.2006     -39.0151
     130     -95.9513     -18.1426
     131     -72.7289     -22.3453
     132     -55.6785     -39.1939
     133     -64.3601     -41.3886
     134     -74.7145     -69.6890
     135     -80.6736     -38.3939
     136    -166.8142     -54.7996
     137     -60.9704     -37.9787
     138     -57.0985     -38.4997
     139     -70.2750     -28.4139
     140     -68.5814     -15.3654
     141     -71.7245     -24.4044
     142     -77.9857      -9.8161
     143     -79.8120     -24.2697
     144    -101.9904     -33.1217
     145     -81.5064     -68.8525
     146     -60.9995     -44.0247
     147     -81.9816     -26.8288
     148     -76.8174     -53.9818
     149     -93.5518     -38.9213
     150     -72.0282     -26.5282
     151     -85.6139     -20.8872
     152     -63.1860     -21.6548
     153     -73.8063     -48.4374
     154    -109.1076     -23.5814
     155     -85.6799     -38.2951
     156     -81.6206     -24.2883
     157     -54.7683     -32.3747
     158    -115.1238     -65.9576
     159     -58.6383     -44.2680
     160     -67.2061     -26.3190
     161     -73.7569     -32.8274
     162     -70.1414     -15.8654
     163     -42.9142     -23.5410
     164     -52.7825     -47.9816
     165     -64.2979     -33.9925
     166     -83.3967     -37.3723
     167     -78.5347     -41.2866
     168     -61.3900     -33.9194
     169     -80.5147     -37.6767
     170     -82.7287     -28.0573
     171     -65.1943     -37.8987
     172     -86.1826     -32.5113
     173    -113.6493      -9.5248
     174     -71.4530     -34.4023
     175     -89.4693     -19.5305
     176     -64.0966     -78.3863
     177    -142.0156       9.1575
     178     -79.4110     -30.8213
     179     -70.9317     -67.2118
     180    -137.1755     -31.8820
     181    -123.0312     -44.6877
     182     -76.5276     -45.8635
     183     -62.9252     -91.8321
     184     -73.7927      -0.7887
     185     -53.0418     -49.1981
     186     -77.5966     -46.1597
     187     -63.5194     -36.4627
     188     -82.9514     -27.7733
     189    -103.9557     -24.7920
     190     -91.2551     -42.5021
     191     -70.1052     -33.4242
     192     -98.1008     -25.4398
     193     -59.2214     -39.1758
     194     -95.2281     -24.5675
     195    -115.0104     -35.3438
     196    -112.4900       1.4990
     197     -75.8569     -23.3189
     198     -62.8976     -33.2001
     199     -78.5920     -30.7179
     200     -74.7588     -11.0046
     201    -118.9261       2.4027
     202    -114.8804     -10.6437
     203     -91.7695     -28.7724
     204     -68.8377     -30.6399
     205     -74.8275     -18.6410
     206     -58.4610     -34.7562
     207     -82.6580     -81.9344
     208    -132.2814       4.6117
     209     -73.9473     -25.6192
     210     -76.5929     -10.1917
     211     -65.6455     -21.2298
     212    -150.6070       0.6861
     213     -99.1249      -2.4487
     214     -90.1863     -29.5421
     215    -128.5268     -37.7928
     216     -66.2171     -14.4852
     217     -78.7739      -7.2455
     218     -59.9019     -64.2891
     219     -85.0666     -18.5350
     220     -63.1638     -27.1769
     221    -113.1686     -18.6566
     222     -85.8551     -22.6064
     223     -86.4159     -11.1046
     224     -76.1734     -32.3272
     225     -77.8084     -35.3377
     226     -67.6928     -40.6009
     227    -124.2787     -13.8653
     228     -91.9715     -17.9126
     229     -85.4721      11.8065
     230     -67.2902     -24.4758
     231     -68.2592     -26.7580
     232     -61.1614     -25.1645
     233     -87.8168       1.2313
     234    -104.8309     -25.2825
     235     -84.3126     -41.6221
     236     -61.6677     -33.3121
     237     -82.7588     -22.6417
     238    -106.2033     -18.2021
     239     -82.3107     -20.8469
     240    -138.8760     -17.8151
     241     -92.6783     -25.3040
     242    -135.6156     -11.9982
     243     -86.7831     -76.0900
     244     -78.6197     -51.4103
     245    -120.8229     -32.6995
     246     -80.7381     -27.3518
     247    -109.3146     -15.7459
     248     -78.9515     -23.3835
     249     -57.2082     -21.7700
     250     -74.8947     -34.7588
     251     -97.5960     -18.0740
     252     -79.3981     -35.5411
     253     -57.4972     -57.1978
     254     -53.4216     -49.2327
     255     -84.6608     -13.7883
     256     -92.9692     -25.8294
     257     -86.1885     -33.5711
     258     -63.2405     -16.9550
     259    -111.8126     -43.7882
     260     -60.9457     -19.4156
     261     -68.6876     -49.8241
     262     -88.7375     -43.7198
     263     -72.8561       7.6719
     264    -105.2423      -3.2503
     265     -82.2685     -35.2420
     266     -68.4098     -25.8839
     267     -60.8832     -24.9648
     268     -57.3813     -31.8575
     269     -78.2426     -38.4249
     270    -124.5560      -0.3542
     271    -112.4575     -31.7024
     272     -86.0603     -26.4954
     273    -101.8948     -19.7280
     274     -70.0747     -46.5451
     275     -98.6732     -16.6523
     276     -84.0236     -43.6819
     277     -81.7553     -15.7157
     278     -57.0306     -30.2750
     279     -72.2867      17.6068
     280     -95.2102     -20.9670
     281     -69.6182     -24.8513
     282     -35.7700     -40.1898
     283     -89.6853     -21.1698
     284    -110.3518     -29.2136
     285    -108.2330     -48.0712
     286     -81.1441     -28.5987
     287     -80.1686     -45.9762
     288    -102.9200      -8.3651
     289    -103.4297      -1.6890
     290     -62.8331     -42.7926
     291     -62.4193     -17.5798
     292     -70.7690     -10.7364
     293     -76.3696     -29.4125
     294    -146.7839     -45.1850
     295     -88.7367     -12.8342
     296     -80.2422      -9.1861
     297     -96.1774     -22.7314
     298    -123.8210      -4.8165
     299     -86.8862     -24.8998
     300     -77.5804     -40.7216
     301    -153.0488     -25.3029
     302    -106.4487     -13.9847
     303     -76.9110     -28.8109
     304     -92.4282      -3.3866
     305     -63.4925     -73.1408
     306     -81.9658     -13.8603
     307    -120.8468     -29.4317
     308     -78.3575     -68.0910
     309     -70.7657      -6.8873
     310    -144.1083     -44.8479
     311    -100.7221     -14.7690
     312    -113.0184      -8.3753
     313     -54.9777     -46.5742
     314     -77.1805     -14.0364
     315    -109.0787     -25.6074
     316    -113.6737     -16.0523
     317     -86.4256     -22.7186
     318     -74.6957     -20.4546
     319    -108.8146     -22.3468
     320     -88.4254     -11.9778
     321     -78.7174     -33.5630
     322    -107.5928     -48.5537
     323     -77.8706     127.1431
     324    -103.1432      -1.0944
     325     -83.7157      -7.7503
     326    -144.4704     -20.6061
     327     -61.8953     -30.2837
     328     -53.0742     -30.7787
     329     -91.6747     -26.0345
     330     -88.7267      -4.4441
     331     -79.4326     -62.9763
     332     -94.2220     -26.1004
     333    -139.6101      26.4628
     334    -116.2267      -8.4326
     335     -66.0948     -38.3443
     336     -65.6171     -46.3302
     337     -81.2042     -18.3146
     338     -58.4731     -23.8132
     339     -61.4042     -32.3816
     340     -84.0184     -15.8571
     341     -98.8444     -18.6601
     342     -74.6575     -13.8479
     343     -96.4168     -15.3829
     344    -131.6888     -46.6702
     345     -77.0244     -69.1003
     346     -79.6946      -4.8177
     347     -85.7310     -24.6878
     348    -110.0332     -16.7653
     349    -137.4673     -29.9184
     350     -69.3930     -15.7535
     351     -92.2325     -77.9529
     352     -94.5341     -42.9559
     353     -93.6203     -51.2250
     354    -136.3800      -1.2674
     355     -83.7266     -14.0464
     356    -138.0172     -51.7780
     357     -45.9901     -49.6085
     358     -83.5004     -38.4625
     359     -96.9522     -25.9186
     360     -75.3598      47.8036
     361     -86.2630     138.6938
     362     -77.6116     129.1804
     363    -137.6200     148.5014
     364     -76.0586     146.6086
     365    -116.3109     126.5792
     366     -95.6082     130.8609
     367     -66.0371     150.8830
     368     -95.9948     129.1871
     369     -72.3290     168.5478
     370    -118.5050     149.6771
     371     -76.5024     141.6126
     372     -54.3720     156.5168
     373     -81.2498     143.3944
     374     -61.5309     165.1540
     375     -91.0122     141.4222
     376     -66.8378     140.0135
     377     -67.3381     134.7259
     378    -102.0469     147.6263
     379    -134.6621     118.0601
     380     -57.5669     168.6385
     381     -71.7051     174.0285
     382     -63.8441     153.0188
     383     -49.4996     134.7792
     384    -131.8728     150.4723
     385    -159.3072     149.5342
     386     -80.9450     132.3783
     387     -98.8194     137.2658
     388     -80.4869      79.0152
     389     -68.2294     120.5725
     390     -47.2408     115.4103
     391     -61.4801     141.3885
     392     -44.4574     123.3011
     393    -106.6231     118.0671
     394    -103.9143      94.0456
     395     -69.2934     137.8606
     396     -41.4977     144.2296
     397     -56.0358     103.0049
     398    -148.2674     121.3564
     399     -78.6688     137.8586
     400     -44.9521     132.6457
     401    -141.5993     142.6694
