#Frame            phi          psi
       1     -75.4117      -6.7740
       2     -81.6402       3.5206
       3     -77.7984       4.5510
       4    -115.1261      -0.6697
       5    -112.3041      26.7739
       6     -85.7130      -3.7433
       7     -76.3675      11.8347
       8    -123.2321      13.0460
       9    -120.0351       3.3832
      10     -75.4004      -1.9711
      11    -101.3411     -11.7588
      12     -98.0851      -2.4822
      13     -71.1627       0.2794
      14     -80.4972     -10.6195
      15     -84.3195     -15.8751
      16     -84.0901      14.0331
      17    -141.0166       7.4253
      18     -90.2512      -2.8106
      19     -58.4458     -15.4026
      20     -97.5592      -6.7065
      21     -99.3053      10.8865
      22     -89.8547       5.1832
      23    -104.2510       2.2379
      24     -70.3597      11.1732
      25     -69.1400       3.7457
      26    -107.3860      11.9322
      27    -107.8979      11.7787
      28     -99.7305      -1.1492
      29     -81.3177       2.7380
      30    -118.9926       8.9666
      31    -122.9733      11.2140
      32    -115.8213      25.7110
      33     -73.5065      -3.2331
      34     -99.0235     -15.9707
      35     -68.8910      -1.4900
      36    -134.1349       6.7434
      37     -84.4900     -13.0457
      38     -93.9337      11.5766
      39     -75.9670     -52.8996
      40     -88.3470      23.3447
      41     -72.5802     -21.0635
      42    -107.0126      14.5625
      43     -74.6804      22.0877
      44     -88.5629      10.0947
      45     -76.6670       8.7052
      46     -97.7736      -3.1259
      47     -91.1986     -19.4023
      48    -117.9681     -29.6212
      49     -82.9884     -29.9276
      50    -123.8403     -26.6270
      51     -65.4048     -35.8978
      52    -108.0828     -15.0699
      53     -99.9028      -3.6624
      54     -95.6086      11.0189
      55     -67.0058     -17.6347
      56     -82.8586     -33.2253
      57     -74.1778     -49.0243
      58     -99.3284     -37.5390
      59     -86.7787     -36.2508
      60     -69.3834     -28.9600
      61    -103.1228       9.4351
      62    -117.4404      17.8237
      63     -94.5091      36.2163
      64     -88.8622       7.0716
      65     -88.0993      47.4527
      66     -74.3301       0.0526
      67     -84.3935      16.6519
      68    -131.2964      20.1362
      69     -75.3276      29.1895
      70     -78.4357      31.2315
      71     -96.0671      32.2260
      72     -93.5541      20.4550
      73    -103.3993      15.7872
      74     -81.5216      -5.7580
      75     -87.1800      -2.3504
      76    -124.3295      33.6245
      77     -78.4115      40.5365
      78     -76.0193      13.2722
      79    -105.5329       4.8530
      80    -101.2236       7.1448
      81     -95.7906      -6.2524
      82    -109.0238      56.4890
      83     -95.9100      36.8595
      84     -85.8692      31.8547
      85     -83.0269      12.7478
      86    -124.9769       9.1081
      87    -110.9032      11.3152
      88    -131.8247      22.7426
      89    -136.0159      10.8915
      90    -150.2924      17.9358
      91     -75.1864      12.4054
      92     -92.6395       0.8857
      93    -103.4927      15.0271
      94    -103.6181      24.3339
      95    -115.5274      10.8100
      96    -114.0199       1.2845
      97     -74.5811      24.5594
      98    -136.3114       8.5494
      99    -102.5628      -3.1935
     100     -65.5963     -12.2825
     101     -63.8111     -40.4444
     102     -95.9735     -16.3615
     103     -86.5535     -18.3047
     104    -109.0315      -9.2721
     105     -93.9397     -36.7325
     106     -69.8619     -34.3633
     107     -80.1603      10.4469
     108     -71.4803     -32.0137
     109     -83.3275     -32.8550
     110     -96.4071      -3.4447
     111    -109.3063     -18.3474
     112     -90.0453      -9.0558
     113     -95.0123     -17.6598
     114     -76.9149     -26.5654
     115     -75.4584     -10.9149
     116    -115.5101      -6.3657
     117     -89.9457       4.8935
     118     -84.5072     -11.1147
     119    -115.6758       5.3557
     120     -72.9226     -24.5294
     121     -84.1231      -3.0253
     122     -68.2940     -46.3755
     123     -65.3739     -34.5404
     124     -76.4283     -35.6327
     125     -75.4209      -8.9182
     126     -79.4366     -38.2082
     127     -87.2577     -44.4022
     128     -75.6348     -57.8047
     129     -76.4859     -41.0648
     130     -74.6775     -59.2616
     131     -61.7630     -39.8138
     132     -61.8652     -33.6676
     133     -64.7630     -37.4584
     134     -53.9497     -32.5987
     135     -52.3643     -46.4949
     136     -58.2205     -34.8747
     137     -82.5414     -39.3664
     138     -49.9000     -55.4564
     139     -44.7255     -42.8870
     140     -59.4959     -50.9047
     141     -58.5170     -39.6264
     142     -57.2637     -40.2102
     143     -55.1239     -59.3101
     144     -67.9510     -31.0604
     145     -48.6307     -40.8103
     146     -63.0505     -42.8262
     147     -60.6256     -37.7808
     148     -56.3719     -38.4286
     149     -61.9935     -35.3448
     150     -58.6194     -36.4846
     151     -66.7550     -37.3165
     152     -41.0843     -49.9199
     153     -66.9377     -27.8120
     154     -54.7398     -20.9706
     155     -61.6022     -29.8423
     156     -81.5641     -14.1289
     157     -71.3734     -35.9318
     158     -82.1218     -45.0555
     159     -57.2512     -40.1265
     160     -53.4916     -35.9311
     161     -64.7829     -39.5442
     162     -83.4869     -27.4031
     163     -77.1485     -17.8209
     164     -45.1357     -36.1195
     165     -93.2070     -35.7822
     166     -70.1549     -22.4839
     167     -78.5924     -19.9989
     168     -77.4828     -40.1895
     169     -67.1320     -52.2439
     170     -74.9185      -8.6530
     171     -67.9657     -29.5107
     172     -51.0730     -29.3216
     173     -66.8434     -45.7497
     174     -47.3444     -36.1920
     175     -68.2262     -41.2091
     176     -66.6042     -22.8648
     177     -69.6514     -27.7212
     178     -72.3923     -25.8803
     179     -76.1048     -41.2850
     180     -62.1610     -29.8668
     181     -43.7557     -55.2744
     182     -59.6254     -48.4093
     183     -68.4318      -9.7341
     184     -78.4110     -34.9205
     185     -83.7256     -46.9290
     186     -74.6793     -45.0064
     187    -153.0231      22.9855
     188    -121.1872     -12.3686
     189     -69.7270     -42.9428
     190     -71.2446     -36.3343
     191     -74.5286     -28.2710
     192     -85.0410     -27.6850
     193     -51.4893      -7.6780
     194    -102.9108      20.0640
     195     -93.8855      -3.9828
     196     -53.6808     -36.9270
     197     -78.2254     -30.5970
     198    -133.6881     -39.9018
     199    -100.4990       8.4001
     200     -77.0727     -10.3073
     201     -98.0483      -8.2979
     202     -50.0634     -48.9693
     203     -78.6351     -33.6903
     204     -73.3257     -29.1434
     205     -77.1786     -38.6087
     206     -55.0463     -18.5316
     207     -76.0913     -46.1316
     208     -73.5431     -50.0387
     209    -100.6136     -32.0186
     210     -85.0322     -33.9195
     211     -56.1507     -29.4822
     212     -97.1619     -15.3074
     213     -65.2321     -25.0586
     214     -60.6829     -16.3823
     215    -107.2143      -9.3765
     216     -88.7245     -18.5276
     217    -105.7503     -21.0718
     218     -69.2156      -7.9416
     219     -54.8774     -39.8907
     220     -37.6323     -49.2679
     221     -61.0990     -21.8001
     222     -50.4854     -35.8041
     223     -46.7810     -40.5947
     224     -61.3130     -50.6414
     225     -97.4034     -21.8205
     226     -92.1154      -8.8476
     227     -68.8603     -51.6608
     228     -82.5503     -29.7500
     229     -69.7947      -2.3804
     230     -84.0300     -17.5181
     231     -81.5637     -22.8149
     232     -91.6397      -3.7791
     233     -71.4597     -21.2196
     234     -66.1556      -6.4916
     235     -64.3866      -8.0562
     236     -60.5482      -5.2377
     237     -96.4155      -0.2902
     238     -74.8780     -20.9968
     239     -78.9614     -19.0544
     240     -91.7307       8.7838
     241     -81.3946     -12.4419
     242     -61.2007     -35.4386
     243     -59.0792     -27.5856
     244     -79.8476       0.0418
     245     -61.5067     -10.1816
     246     -71.3581     -33.4502
     247     -76.1296     -29.9265
     248     -64.6428     -42.3940
     249     -87.7654     -24.4949
