#Frame            phi          psi
       1     -48.6423     -51.2771
       2     -52.0181     -41.3096
       3     -52.6228     -57.8871
       4     -58.0435     -46.8192
       5     -44.1827     -75.6590
       6     -29.7463     -49.5277
       7     -51.9274     -38.8770
       8     -48.9888     -39.1762
       9     -51.4304     -37.6380
      10     -64.1887     -40.3669
      11     -53.0298     -70.0831
      12     -44.8865     -50.9555
      13     -51.7957     -63.2927
      14     -43.6245     -45.7247
      15     -57.4999     -37.4799
      16     -65.0464     -23.3912
      17     -46.7048     -32.5616
      18     -44.5080     -56.2892
      19     -45.5792     -56.3227
      20     -53.6287     -50.2224
      21     -62.4013     -62.5911
      22     -51.2221     -61.7546
      23     -58.3014     -62.0021
      24     -69.3572     -41.4540
      25     -67.3001     -49.6036
      26     -67.0918     -34.6718
      27     -40.9872     -54.4736
      28     -59.2015     -26.8247
      29     -74.0387     -44.3668
      30     -62.6034     -54.4238
      31     -57.3699     -46.2754
      32     -37.9359     -64.1113
      33     -44.7611     -55.1276
      34     -45.9257     -56.6401
      35     -64.4769     -35.7163
      36     -45.5863     -51.3836
      37     -60.7422     -35.1443
      38     -49.8665     -39.4812
      39     -54.5647     -52.5456
      40     -44.6305     -50.3689
      41     -59.8453     -45.8786
      42     -75.6120       5.7227
      43     -75.3441      -3.2300
      44    -110.4955      -2.1334
      45    -110.1170      12.5846
      46    -109.4637       2.4534
      47    -125.3010     -10.1165
      48    -129.0171       4.0520
      49    -105.9979      -0.3408
      50    -129.3203      12.9145
      51    -108.5615     -10.7538
      52    -116.0991      -9.0094
      53    -117.0949      -6.5738
      54    -122.7031      -0.1305
      55    -115.6011     -17.1314
      56     -98.9605      -4.5380
      57    -130.2040      16.6427
      58    -108.5883     -25.1132
      59    -129.6341       2.9422
      60     -84.9639     -13.8309
      61    -103.1382       8.7652
      62     -84.6238      -3.5617
      63    -102.4116      -5.1616
      64    -108.0552      -1.5075
      65    -131.9075      10.2514
      66    -107.9548     -17.9616
      67     -81.7589     -12.9116
      68     -61.4578     -32.0708
      69    -126.7106      -3.2368
      70     -98.1575     -17.6110
      71     -87.8752       0.5265
      72    -100.2599       3.3120
      73     -89.8399       3.0445
      74     -91.5802      -0.5789
      75    -103.9466      -3.2421
      76    -106.8285      17.0032
      77     -95.2817     -19.7163
      78    -105.7213      16.1668
      79     -95.4678      -4.0014
      80    -102.7780     -25.2857
      81     -62.1405      12.5229
      82     -78.5263     -31.8958
      83     -94.5589     -15.1814
      84     -66.9957     -32.6768
      85     -66.0337     -64.7345
      86     -75.6960     -16.9603
      87    -123.3951     -18.6786
      88    -101.3415       9.2784
      89     -90.8956      -1.1264
      90     -87.9902      -8.9345
      91    -101.4978       6.2881
      92    -103.8468       4.1244
      93     -98.0753     -33.6753
