#Frame            phi          psi
       1     -97.8503     161.0464
       2     -84.6404     168.4700
       3     -71.9637     137.0309
       4    -140.1826     128.1446
       5    -135.2906     145.1159
       6    -133.4051     166.1863
       7    -140.4321     149.2045
       8     -85.4742     131.7722
       9     -82.1259     152.8960
      10     -45.0368     160.8124
      11    -126.8491     143.6706
      12     -85.8054     176.3320
      13     -78.1118     148.6772
      14     -74.5916     172.9817
      15     -52.4958     148.2225
      16    -108.4520    -175.4666
      17     -98.0534     165.7504
      18     -65.1322    -177.8890
      19     -92.7275     143.9355
      20    -139.6265     156.9567
      21    -101.0798     168.4214
      22     -89.0548     159.6302
      23    -126.7934     137.2825
      24    -122.3932    -122.1503
      25     -46.1642     149.0046
      26    -109.9528    -163.8139
      27    -102.9447     154.0547
      28     -60.9050     158.3102
      29     -64.6323     115.6510
      30     -46.2490     129.7949
      31     -63.8359     140.8834
      32     -92.9043     154.4472
      33     -64.1716     162.5550
      34    -150.7264     157.3905
      35    -122.7094     158.9407
      36    -141.1244     171.8433
      37    -112.5003     143.5480
      38     -86.8819     159.6251
      39     -58.4582     167.4569
      40     -75.3044     166.7103
      41     -91.8728    -108.1306
      42     -98.6936     -22.2902
      43     -83.8843     -20.8383
      44     -55.6218     -23.1912
      45     -64.2557     -33.2777
      46    -114.8940       8.7782
      47     -97.5606     -25.3714
      48     -60.0636     -52.5051
      49     -55.8664     -28.3988
      50     -99.2333     -11.6022
      51    -130.3883     -32.0026
      52     -77.0244     -38.9881
      53     -89.9818     -24.8557
      54    -118.1464      22.6159
      55     -70.2921     -25.4702
      56    -123.4994      15.1213
      57     -72.5674     -38.3381
      58     -81.4251     -26.3138
      59     -82.9550     -37.3700
      60     -96.5079     -11.4838
      61    -122.8780      -2.4787
      62     -76.8204     -27.1679
      63    -148.4811     -22.6334
      64     -98.0195      -0.3740
      65     -73.5892     -20.0852
      66    -132.8707     -50.0967
      67     -76.6835     -31.2964
      68     -77.3540     -28.2785
      69     -86.9902      -0.5020
      70    -125.4388      -8.9326
      71     -62.3863     -43.3090
      72     -61.5449     -18.2297
      73     -87.1292     -17.9013
      74     -68.6072     -48.9197
      75     -87.9799     -18.2382
      76     -59.9296     -34.4354
      77     -68.7262     -10.5957
      78     -86.6870       1.3609
      79     -79.2413     -58.5297
      80     -39.2978     -58.1001
      81     -83.4330     -49.2515
      82     -64.7262     -29.2310
      83     -77.2157     -44.0184
      84     -78.9600     -26.0902
      85     -67.8120     -32.2176
      86     -65.4284     -49.7637
      87    -114.5340      -9.4967
      88     -65.4123     -35.7750
      89     -84.6025     -19.8063
      90     -85.1044     -40.6231
      91    -126.1777      20.9175
      92    -109.5121      -8.0942
      93     -89.0292     -13.1011
      94     -60.3191      -7.7299
      95    -132.6534     -48.7734
      96    -108.7538     -27.4000
      97     -85.0303     -29.0954
      98     -74.7585     -19.8315
      99    -168.4348     -54.9285
     100    -163.8376     -16.4364
     101     -83.9397      -8.4304
     102    -122.3255     -15.7680
     103     -67.8198     -20.4397
     104     -64.2440     -21.6065
     105     -77.8297     -27.7468
     106     -50.3764     -31.3669
     107     -83.9384     -20.0017
     108     -71.9993     -20.5886
     109     -91.4353     -45.2208
     110     -95.6970     -36.4409
     111     -56.7235     -40.9395
     112     -88.4640      10.6778
     113     -83.2914     -19.1631
     114     -61.5771     -25.4622
     115     -83.9562     -33.5800
     116     -73.2573     -25.8887
     117     -77.8439     -16.1869
     118     -46.1152     -41.5863
     119     -61.7561     -34.5243
     120     -72.0863     -44.9079
     121     -81.4933     -35.2310
     122     -69.5353     -25.3285
     123     -84.4486       1.4143
     124     -56.5071     -41.7560
     125     -94.2992       3.7887
     126     -61.4352     -21.5438
     127     -82.3342      -0.5370
     128     -83.1252      -0.5064
     129    -145.8517      25.9119
     130     -88.4228      21.3302
     131     -83.7566     -29.1539
     132    -105.4891     -33.7087
     133     -78.5159     -36.7302
     134     -46.0725     -47.9031
     135     -88.8774     -15.4241
     136    -130.9102      -3.5387
     137     -70.8537     -31.7281
     138     -64.9538     -22.9516
     139     -94.1238     -34.6510
     140     -64.1513     -43.5329
     141     -54.4862     -50.8415
     142     -98.0653     -13.7361
     143     -84.7794     -39.0579
     144    -116.5996     -18.7811
     145     -75.1523     -12.9732
     146     -80.6930      -9.9536
     147     -68.3099     -24.3772
     148     -58.1631     -39.8188
     149     -85.5180     -28.2700
     150     -82.8085     -27.5645
     151     -82.6415     -35.5723
     152     -70.5974     -23.0311
     153     -69.6523      -7.0232
     154     -83.5834     -40.7424
     155     -85.7081     -52.7664
     156     -92.2981     -12.4027
     157    -147.9685     -19.7636
     158     -70.8900      -6.8363
     159     -62.0203     -32.1066
     160     -74.0083     -48.7746
     161     -73.0274     -22.2560
     162     -80.8875     -27.5799
     163     -81.9189     -42.0627
     164     -63.0976     -53.6154
     165     -77.6179     -19.1258
     166     -75.3764     -14.8590
     167     -67.5623      -2.2365
     168     -85.1551     -24.2500
     169     -86.8619     -42.4370
     170     -85.5328     -26.1199
     171     -49.0130     -40.6594
     172     -96.5346     -31.3540
     173     -80.9211     -37.8078
     174    -160.6141     -26.2841
     175     -66.5033     -39.3458
     176     -79.4382     -29.0517
     177     -57.7203     -41.3739
     178     -75.5390     -20.3834
     179     -72.2641     -24.3238
     180     -91.6677     -37.8686
     181     -95.1773       2.4262
     182     -69.4536      -7.4363
     183     -62.9030      61.6374
     184    -117.5380      57.5700
     185     -70.5887     -28.1951
     186     -67.0455     -28.4790
     187    -125.7175     -49.9682
     188    -135.4333     -35.0757
     189    -146.9888     -21.0639
     190    -161.8404     -67.2212
     191    -143.3682     -32.6695
     192    -175.0201     -23.2108
     193     -71.9905     -36.8543
     194     -82.2425     -27.5728
     195     -54.7608     -15.8309
     196     -76.9457     -40.9626
     197     -63.8166      -9.8982
     198     -46.8289     -38.4690
     199    -130.7979     -29.7514
     200    -160.8620     -48.3898
     201     -79.0628     -24.4726
     202     -66.3873     -39.2682
     203     -64.1706     -24.4778
     204     -86.1436     -46.1214
     205     -54.7748     -15.2196
     206     -66.4788      -2.1900
     207     -99.6781     -12.1947
     208     -78.5070       6.7122
     209     -98.5574       4.9200
     210    -139.3533      -9.2374
     211    -119.7727     -13.7786
     212     -67.4380     -24.1266
     213     -85.3278     -33.4921
     214     -79.5413     -11.3988
     215     -95.9461     -11.8885
     216    -101.2133      -4.6601
     217    -133.7019     -17.6165
     218     -73.5359     -36.1424
     219     -78.8717      -6.2298
     220     -60.0887      -2.6362
     221     -95.5464      -4.4586
     222    -157.1370     -21.5627
     223     -89.1583     -10.5697
     224    -163.9018     -24.3951
     225    -149.5718     -11.8382
     226    -162.0445     -10.4449
     227    -129.9532     -11.9250
     228    -121.8276     -10.3926
     229    -161.2159     -37.2928
     230    -145.7601     -29.8927
     231    -171.4081     -33.4983
     232    -140.2563      -6.1329
     233    -114.0688      53.0461
     234     -92.4957      -9.4867
     235    -154.0445      -8.4950
     236     -63.7169     -40.2325
     237     -86.1669     -19.1813
     238     -87.2140     -15.8544
     239     -75.2788     -14.4378
     240    -160.1472       9.6368
     241    -152.4532     -11.7509
     242     -92.1955     -10.8272
     243     -71.3841     -19.9231
     244    -150.7675      -4.9707
     245    -115.0164      -0.5865
     246    -159.1084     -13.5220
     247     -95.4904      -9.6579
     248    -137.9290       7.0080
     249     -96.9872      -5.9992
     250     -64.6119     -18.9436
     251     -91.7209     -29.7907
     252     -76.8041       5.4355
     253     -61.8309     -50.2404
     254     -78.5341     -18.1401
     255     -92.3194      -3.8685
     256     -80.0724     -34.2599
     257     -85.5685      -2.5768
     258    -121.5996       6.2309
     259    -119.6023       7.8683
     260    -154.6371     -25.2861
     261     -75.7119     -24.8397
     262     -61.7222     -27.0101
     263     -84.8507       4.0675
     264     -82.6897     -24.2249
     265     -63.0682     -20.4679
     266     -79.5497     -22.8194
     267    -121.6933     -13.7321
     268     -73.2681      -3.8352
     269    -154.9643     -24.6359
     270     -66.0862     -34.3676
     271     -70.9376     -18.9420
     272     -69.6950     -14.1632
     273     -75.3798     -31.3925
     274    -153.1132     -24.8821
     275     -82.1301     -14.0181
     276    -149.4559      16.6432
     277     -83.6476     -26.3456
     278    -112.9746      -8.2104
     279    -101.3356     -20.9940
     280    -117.8822     -12.1386
     281     -93.2656     -15.9083
     282    -110.9582      -8.7337
     283     -62.0441     -19.1270
     284     -80.7507      -9.9734
     285     -80.9544     -21.1003
     286     -85.5102     -11.0618
     287     -81.0862     -10.6560
     288     -68.5967     -27.1098
     289     -91.8643     -37.4668
     290    -106.5018     -16.1702
     291     -63.0510      -8.1706
     292     -72.3069     -29.3987
     293     -92.7790     -47.6657
     294     -54.2625     -30.1372
     295     -65.0837     -30.7051
     296     -64.4828       8.6345
     297     -73.7081     -19.3250
     298     -82.3796      -1.4220
     299    -105.8405     -11.3894
     300    -146.4910      15.4956
     301    -170.1576     -19.9782
     302     -79.5158     -12.5193
     303    -101.1836     -11.6823
     304     -79.3903     -31.8270
     305     -61.8692     -24.0700
     306    -121.5827       4.9798
     307     -88.3324     -28.0492
     308     -56.5203     -28.3353
     309     -99.0020      -8.0442
     310     -69.5850      14.0189
     311     -57.6592     -26.1916
     312     -75.9668      -3.1699
     313    -106.7934       6.7886
     314    -154.7024     -38.1713
     315     -90.5034      -5.0468
     316     -57.2114     -39.8358
     317     -80.6590     -25.8972
     318     -98.8092       6.8131
     319     -77.5110      -0.2585
     320     -64.9081     -17.2698
     321    -107.4774     -21.5564
     322     -71.9599     -23.5930
     323     -86.5240      -4.3158
     324     -72.9477      -1.5060
     325     -78.7278      -9.2336
     326     -90.6747     -24.6417
     327    -127.0793     -17.4791
     328     -61.7579     -10.6252
     329    -132.3115     -30.9321
     330     -75.0626      -5.4753
     331     -84.3650     -12.8521
     332     -74.9044     -16.1720
     333     -67.2987     -26.9946
     334     -57.3237     -34.5300
     335     -60.7907     -33.2501
     336     -59.9587     -21.8388
     337    -102.0377      -1.9849
     338     -68.4659      -5.5264
     339    -153.8497     -15.7403
     340    -113.4026     -11.3186
     341     -83.0970     -15.0960
     342    -148.5041       4.0493
     343     -60.5030     -22.1402
     344     -82.0381     -16.2038
     345     -61.2772     -24.3632
     346     -66.8679     -28.6421
     347     -66.3949      -3.2270
     348     -67.7328      -7.7318
     349    -142.1780       1.4535
     350     -67.7443     -50.4078
