1A37,418,316,29,73,  
1APM,363,137,134,92,   
1ATP,358,133,130,95,  
1B4G,31,0,15,16, 
1B4I,31,0,18,13, S
1BKX,340,125,129,86,  
1BX6,340,125,129,86,  
1C8L,815,426,251,138,S
1CMK,372,142,139,91,  
1CNU,134,43,71,20,
1F34,467,95,280,92,E
1F8A,165,38,71,56,  
1FA9,835,414,282,139,S
1FMO,360,129,137,94,  
1FU0,176,66,82,28,  
1GKK,568,185,264,119,EHGTHHEHHEHGTHHEHH
1GPA,3316,1608,1103,605, S S
1GZ2,140,24,78,38,S
1H1W,287,112,102,73,S
1H4X,224,103,95,26,TT
1HJK,900,285,403,212,HH
1I7W,1129,799,186,144,      
1J3H,666,253,241,172,      
1JBP,364,136,134,94,   
1JDY,1124,395,532,197,TT
1JLU,361,138,132,91,   
1K35,456,172,206,78,EET EHEHT
1KDX,111,80,21,10,H
1KHX,204,55,105,44,S 
1KKM,795,253,420,122,   
1L3R,364,130,131,103,   
1LF8,658,423,115,120,    
1LWN,818,424,250,144, 
1LWO,818,423,249,146, 
1MKI,630,308,211,111, E GHSHBHTEHH E GHSHBHTEHH
1NZS,20,5,10,5,S STSHH
1OHE,343,146,118,79, 
1OKY,284,114,104,66,S
1OKZ,279,107,108,64, 
1OVA,1521,475,788,258,HHH
1P16,798,210,396,192, HHH GE HHH GE   T 
1P22,549,144,283,122,T 
1P5D,456,172,211,73,T
1P5G,456,175,206,75,T
1PCJ,459,172,209,78,T
1PCM,456,173,211,72,T
1PJQ,908,342,407,159,  
1PJS,902,340,410,152,  
1PUA,183,55,86,42, 
1PY1,596,395,105,96,    
1Q1S,457,311,82,64,
1Q24,359,131,135,93,  
1Q61,359,134,132,93,  
1Q62,360,133,135,92,  
1Q8T,363,134,136,93,   
1Q8U,366,136,136,94,H  
1Q8W,359,135,132,92,   
1QJA,465,366,37,62,  
1QJB,480,356,63,61,  
1R0Z,1094,445,468,181,SHH SHH SHH HH 
1RDQ,365,129,134,102,  
1RE8,340,129,132,79,  
1REJ,336,129,125,82,  
1REK,339,130,122,87,  
1RZR,1684,709,639,336, HHH HHHHH SHH HSHHT HHH HHHHHHHH HSHHH    
1SMH,372,150,130,92,  
1STC,355,134,129,92,  
1SVE,365,137,136,92,H  
1SVG,363,136,136,91,   
1SVH,358,132,133,93,  
1SYK,678,267,251,160,    
1SZA,437,313,70,54, 
1SZM,647,235,258,154,      
1T15,221,73,90,58, 
1T29,226,72,91,63, 
1T2V,1117,356,448,313,     
1T6R,111,42,45,24,H
1TH1,1145,785,202,158,          
1U5Q,620,285,223,112,  
1U5R,620,268,235,117,  
1U7F,592,152,316,124,S S 
1U7V,606,154,318,134,S S 
1U9I,2910,903,1461,546,GGGGGGGGGG
1UHG,1533,465,811,257,HTTTHTTTTHTTTTTTTTH
1UJK,303,201,56,46,  
1UU3,279,112,103,64, 
1UU7,283,114,100,69, 
1UU8,280,115,99,66, 
1UU9,279,117,96,66, 
1UVR,287,103,114,70, 
1V18,551,380,97,74,    
1VEB,363,136,136,91,   
1VKL,1124,394,535,195,TT
1VQX,20,5,9,6,T SS HH
1VRV,98,41,44,13,E
1X80,701,304,259,138,
1XH4,359,131,136,92,   
1XH5,359,130,134,95,  
1XH6,355,127,136,92,  
1XH7,363,135,138,90,    
1XH8,361,138,131,92,  
1XH9,360,131,133,96,  
1XHA,372,143,139,90,  
1XJD,284,108,113,63,  
1Y98,225,74,92,59,S
1YDR,358,130,135,93,  
1YDS,358,130,135,93,  
1YDT,358,136,129,93,  
1YHS,271,110,108,53,TH
1YI3,271,109,110,52,TH
1YI4,271,109,108,54,TH
1YWT,466,360,47,59,  
1Z5M,278,112,102,64, 
1Z8D,824,420,247,157, H
1ZEB,481,161,206,114,H
1ZEF,482,156,209,117,H
1ZVV,1252,512,467,273,   
2AFF,140,17,89,34,T  
2AK7,174,57,90,27,  
2AZM,402,163,126,113,H H   
2B05,1442,1146,132,164,      
2BIK,274,109,111,54,H
2BR9,238,196,17,25, 
2BTP,488,371,54,63,  
2BVA,556,199,176,181,  
2BZI,274,106,114,54,H
2C1A,357,129,135,93,  
2C1B,357,129,132,96,  
2C1J,480,372,55,53,    
2C1N,472,350,68,54,  
2C30,291,118,112,61, 
2C63,956,764,91,101,    
2C74,483,386,45,52,  
2CDZ,292,114,113,65, 
2CEF,20,0,14,6, S
2CEZ,20,0,13,7, 
2CFJ,20,0,11,9,S
2CPK,358,135,130,93,   
2ERZ,358,134,131,93,  
2F57,600,240,222,138,  
2FEP,362,144,154,64, 
2FEW,242,107,92,43,E
